t,odom_vx,odom_wz,x,y,yaw
0.09801650047302246,0.0035917530791347713,-1.3901810683517035e-08,0.09801650047302246,1.3149607126081184,0.9057165872919408
0.13332080841064453,0.004751595683460128,-3.4757687662612825e-14,0.13332080841064453,1.315020788784091,0.9057724186660716
0.16816067695617676,0.006646252251297922,-1.450434235596679e-25,0.16816067695617676,1.3152239514579591,0.9059612265635542
0.20009851455688477,0.007331104614146715,-3.3873942500476973e-31,0.20009851455688477,1.3153282247281495,0.9060581322385525
0.23501992225646973,-0.0014066633912073964,-6.081908995566366e-20,0.23501992225646973,1.3146558721161603,0.9054332756229307
0.26789307594299316,-0.0001303588125871359,-1.0131196148467816e-25,0.26789307594299316,1.3146355143642867,0.9054143564336808
0.29969191551208496,0.0012376323617457803,-6.326492986655851e-37,0.29969191551208496,1.3146399676717808,0.9054184952561045
0.33295679092407227,0.0059225353746767476,-9.302587430868956e-14,0.33295679092407227,1.3149099858991506,0.905669435285421
0.36565256118774414,0.008257643049316267,-3.876171174981559e-25,0.36565256118774414,1.3151675674880376,0.9059088171316164
0.399461030960083,0.008820228633296512,-9.698426031096814e-31,0.399461030960083,1.3152829096269516,0.9060160096937624
0.4335029125213623,0.001693889890970938,5.342769360785881e-15,0.4335029125213623,1.3148173336867404,0.9055833294977411
0.46794962882995605,0.002530679542350811,1.3349327564223437e-20,0.46794962882995605,1.3148455169359212,0.9056095222324646
0.5023729801177979,0.004306195945696007,5.548963583950258e-32,0.5023729801177979,1.3149578136510156,0.9057138875699589
0.5385651588439941,0.0018272464296713782,5.300561757148802e-14,0.5385651588439941,1.3147781652112753,0.905546929169321
0.5686619281768799,0.0036740908370466764,3.319228792344751e-25,0.5686619281768799,1.3148577821441532,0.90562092277276
0.6022813320159912,0.004714841249329715,5.507286752270873e-31,0.6022813320159912,1.3149424831739487,0.9056996413672722
0.6351032257080078,0.007428821341637628,5.775042011826065e-22,0.6351032257080078,1.3151417263200416,0.9058848121750566
0.6683371067047119,0.008910396602069827,-1.2570233625128832e-33,0.6683371067047119,1.3153709687486916,0.9060978632250194
0.7020721435546875,0.010013215247857551,-3.946653666899535e-39,0.7020721435546875,1.3155728165847764,0.906285454617796
0.7359511852264404,0.0025322929117168177,-7.244835611495127e-14,0.7359511852264404,1.3151367481849137,0.905880185799212
0.7676873207092285,0.004503396729396233,-4.541096351461979e-25,0.7676873207092285,1.3152396715926005,0.9059758397721809
0.800060510635376,0.004970702408971982,-1.1329027898074981e-30,0.800060510635376,1.315297501798258,0.9060295854215977
0.8345072269439697,0.004252625500895734,-1.564193119143483e-14,0.8345072269439697,1.3152632938124345,0.905997790369265
0.8681533336639404,0.005773810021101988,-9.788024775025314e-26,0.8681533336639404,1.3154027004399602,0.9061273425148532
0.9023826122283936,0.006373496148801764,-9.78838676033671e-26,0.9023826122283936,1.315484320213341,0.9062031926920433
0.9349241256713867,-0.002292861623301919,-1.0174617143601794e-08,0.9349241256713867,1.3149040147212234,0.9056639000648509
0.9674496650695801,-0.00023183909151560443,-6.371908124009678e-20,0.9674496650695801,1.3148693924784527,0.9056317343972534
1.0013556480407715,0.0010840987642762004,-3.957235981960579e-31,1.0013556480407715,1.3148670248753147,0.9056295347951787
1.0344479084014893,0.012203954699073103,-5.632192561825951e-14,1.0344479084014893,1.3156586187368655,0.9063650075865035
1.0673189163208008,0.014070458986022032,-3.5116386327716932e-25,1.0673189163208008,1.3160416865589333,0.9067208959338924
1.1028614044189453,0.014564754412951367,-8.797452677721716e-31,1.1028614044189453,1.3162390918837004,0.9069042956555114
1.1353862285614014,0.0008022202638098437,7.901464165577764e-10,1.1353862285614014,1.315484842638409,0.9062035411539684
1.1692864894866943,0.003299546304002527,3.2883709627869833e-21,1.1692864894866943,1.3155608793605644,0.9062741826366365
1.202521562576294,0.004528981546540339,8.263727054986774e-27,1.202521562576294,1.3156606256664403,0.906366853228289
1.2346580028533936,0.0058119184899514285,8.795182897085307e-09,1.2346580028533936,1.315747545317271,0.9064476053114
1.274789571762085,0.008175404048318107,3.632526122869307e-20,1.274789571762085,1.3160044054355173,0.90668627552454
1.3025844097137451,0.008644642682999021,9.149481444335957e-26,1.3025844097137451,1.3161156566029235,0.9067896487007299
1.3352935314178467,-0.004858384745939833,-3.6004923597276835e-14,1.3352935314178467,1.3152024394292827,0.9059411440504961
1.3676283359527588,-0.0032843097326178583,-5.994923788765271e-20,1.3676283359527588,1.3151128191756816,0.9058578767460239
1.4025709629058838,-0.002236500643752924,-3.7384465106920816e-31,1.4025709629058838,1.3150096710902812,0.9057620402398683
1.4354100227355957,0.006053237986513676,1.0384799645028674e-13,1.4354100227355957,1.3154798945786021,0.9061989345656816
1.4687421321868896,0.008433612335821641,4.375041445321019e-25,1.4687421321868896,1.3157445328515618,0.9064448132866373
1.5029735565185547,0.008727768579938148,1.0933150381338166e-30,1.5029735565185547,1.3158541954922296,0.9065467022464628
1.538149118423462,-0.0025438079422572496,-3.268441414262756e-14,1.538149118423462,1.315128826846304,0.9058727544380218
1.5722599029541016,-0.0015560304431370717,-8.120354128188417e-20,1.5722599029541016,1.3150994270248184,0.9058454407837166
1.6008949279785156,-0.00011672636796027498,-3.2734166978854986e-31,1.6008949279785156,1.3150506893982106,0.9058001615665011
1.641249656677246,0.003945913884931841,6.443193899591804e-14,1.641249656677246,1.3152731201743841,0.9060068121892251
1.6663765907287598,0.005846818431780031,4.220333008113776e-25,1.6663765907287598,1.3154148592293522,0.9061384934591112
1.7036724090576172,0.0065962502813819894,7.142444023898498e-31,1.7036724090576172,1.3155358317861632,0.906250882307854
1.7362606525421143,0.009103145727358748,4.464542461343935e-42,1.7362606525421143,1.3157957926762618,0.9064923963403378
1.7680587768554688,0.0014601087184230564,1.8005883934724408e-19,1.7680587768554688,1.3152155074478173,0.9059532850915369
1.8006532192230225,0.0024342999493383744,2.9928756130892046e-25,1.8006532192230225,1.3152534449315572,0.905988530759345
1.8332726955413818,0.0010330809838736657,-8.35714347801803e-14,1.8332726955413818,1.315141510486469,0.9058845386690322
1.8676087856292725,0.0031549849861928258,-5.227307165447568e-25,1.8676087856292725,1.3152039496892065,0.9059425471175412
1.9065163135528564,0.003520456963766196,-1.3072366537813498e-30,1.9065163135528564,1.315241381552609,0.9059773230500652
1.9348781108856201,0.005101520143386801,-2.872083584505472e-14,1.9348781108856201,1.3153605238215043,0.9060880084158602
1.968355655670166,0.006978619481608912,-1.7913977965186502e-25,1.968355655670166,1.3155380559853067,0.9062529363010233
2.007032871246338,0.007376906018918424,-4.486430878916695e-31,2.007032871246338,1.3156299699842868,0.9063383247700514
2.0365169048309326,0.008441257294462058,-1.0781379076563052e-36,2.0365169048309326,1.3157585636248579,0.9064577885954813
2.068650722503662,-0.0014719168569807767,3.4312554241153077e-14,2.068650722503662,1.314947459039165,0.905704263060572
2.105088710784912,-0.0010340540545193378,4.2990191927341e-20,2.105088710784912,1.3149204758202635,0.9056791958185426
2.136786460876465,0.0006187409721034766,6.981199083953021e-26,2.136786460876465,1.3149035251374093,0.9056634486886717
2.1697475910186768,0.00735316775386752,1.1824172415492162e-08,2.1697475910186768,1.3154036633743433,0.9061280972329075
2.2018039226531982,0.0080983349563659,1.478019039389518e-14,2.2018039226531982,1.3155173219859233,0.9062337065642497
2.236954927444458,0.008862518578236441,1.478042841409151e-14,2.236954927444458,1.3156960019152286,0.9063997325283457
2.2695834636688232,0.00432753730609098,-0.020100001185215696,2.2695834636688232,1.3155547942113286,0.9062684932387406
2.3031816482543945,0.004846901228142465,-0.020100001185215696,2.3031816482543945,1.3156540019337553,0.9063605231881576
2.3393585681915283,0.0055504886690564605,-0.020100001185215696,2.3393585681915283,1.3158064278740313,0.9065016940932781
2.3681633472442627,0.019639584929265378,-0.004615705602099165,2.3681633472442627,1.316886316455531,0.9075029595799083
