t,cross_track_error_m
1.9065163135528564,0.16999824924055598
1.9348781108856201,0.16987343218774018
1.968355655670166,0.16968756306246707
2.007032871246338,0.16959138874813265
2.0365169048309326,0.1694568989319447
2.068650722503662,0.17030644427997849
2.105088710784912,0.17033475714163152
2.136786460876465,0.170352544765911
2.1697475910186768,0.16982825306894878
2.2018039226531982,0.16970926172693765
2.236954927444458,0.1695223165566509
2.2695834636688232,0.16967004578933195
2.3031816482543945,0.16956625569194286
2.3393585681915283,0.16940688734171844
2.3681633472442627,0.1682807876168586
2.401820659637451,0.16751529201398832
2.4345703125,0.16719959000731008
2.469832181930542,0.16649376041406105
2.502236843109131,0.1659889658901168
2.5365610122680664,0.16528768957230217
2.56960391998291,0.16057830020426286
2.6024398803710938,0.157512305681642
2.6348624229431152,0.15402303936460107
2.669614791870117,0.14957686174535803
2.700622081756592,0.14775559590898468
2.7376441955566406,0.1441167517444148
2.771270990371704,0.13629834278549585
2.805565595626831,0.13096806138354916
2.8365020751953125,0.12694590261910177
2.867166042327881,0.1170382041714638
2.902127981185913,0.11376640304787279
2.932457685470581,0.11034799373118259
2.9675610065460205,0.10269092007736168
3.0014541149139404,0.09677362202096149
3.0365078449249268,0.09256208069223902
3.0725462436676025,0.08784785870208568
3.102726459503174,0.08251957118527473
3.138861894607544,0.07802913900398177
3.1747076511383057,0.07576388286210603
3.2023699283599854,0.07228590293489269
3.233928918838501,0.07174938486019435
3.267991542816162,0.06840542635776778
3.2999982833862305,0.06345334319891721
3.3339755535125732,0.057375418674900036
3.3710193634033203,0.05953687067495663
3.4021451473236084,0.05445969793519099
3.434262752532959,0.05257570370958876
3.468380928039551,0.0514557473012837
3.5021727085113525,0.04774953150922983
3.541508197784424,0.045468968595865356
3.5678341388702393,0.04382805001872281
3.6022751331329346,0.04127503364289769
3.634646415710449,0.03632862900480346
3.665864944458008,0.034502626731342766
3.6994688510894775,0.031875907268634374
3.7355291843414307,0.029290677828351944
3.768066883087158,0.0231393654326652
3.803327798843384,0.01826528445405411
3.8450818061828613,0.014709369579479478
3.871022939682007,0.009759881630411913
3.9068591594696045,0.008267315642155762
3.9339475631713867,0.009587850146803602
3.9651906490325928,0.017603207614599662
3.99948787689209,0.021057192972408496
4.034425973892212,0.027312000136273808
4.066881418228149,0.027440034014643094
4.103124380111694,0.029649567063592702
4.136652231216431,0.03132711192716211
4.169101715087891,0.03552466965871233
4.203049898147583,0.03922195211166203
4.235090732574463,0.04473634811852716
4.2746663093566895,0.04689994597205234
4.302150249481201,0.05420177303028765
4.33719277381897,0.057514542182431024
4.367848873138428,0.06674702858763376
4.401432514190674,0.07235104046879952
4.434157371520996,0.08011330496843092
4.466464996337891,0.08103155451305986
4.500502347946167,0.08870111742116432
4.535267114639282,0.09134886823231936
4.567766904830933,0.09572559133939736
4.601113796234131,0.1037441574239808
4.631994009017944,0.1105252043596761
4.665884017944336,0.11797279232801197
4.698421239852905,0.1259010749335314
4.735373258590698,0.1319947193239199
4.770952939987183,0.1349440699751063
4.800462961196899,0.1427353345368031
4.835005283355713,0.14676594493313125
4.875975131988525,0.1598944788993226
4.90371036529541,0.16901091324545903
4.943978309631348,0.17586845758274597
4.973378419876099,0.18340879452450748
4.999788761138916,0.19376065828589656
5.035130262374878,0.20140595743942663
5.0667030811309814,0.21155456296044736
5.101380109786987,0.216443887709305
5.143254280090332,0.22914095156379283
5.169881343841553,0.23554367448333202
5.2028210163116455,0.24668487912299128
5.2356858253479,0.2536641970499099
5.27014946937561,0.26305205135372156
5.300098419189453,0.27041053157113454
5.336268424987793,0.28023243501864525
5.370936870574951,0.2852612822926587
5.400913238525391,0.29733288828700644
5.433973789215088,0.30211810204542283
5.4719202518463135,0.3084635681735897
5.50370979309082,0.31450617756846344
5.538861036300659,0.32261905284764353
5.568374872207642,0.331919980981021
5.603813886642456,0.34379850151394953
5.647695779800415,0.3484484763186313
5.6675660610198975,0.3587935472888795
5.702773094177246,0.362860495597423
5.742204904556274,0.3707353382248377
5.77112603187561,0.3748900330706121
5.801465749740601,0.38114143421375196
5.8337202072143555,0.3858651211231823
5.870519638061523,0.3909590171838769
