plan_t,x,y
3.745622396469116,0.014999961853027252,-0.015000038146972747
3.745622396469116,0.057610206604003816,-0.016818962097168058
3.745622396469116,0.099910545349121,-0.022262687683105558
3.745622396469116,0.14159290313720693,-0.03129116058349618
3.745622396469116,0.18235424041748038,-0.04383914947509775
3.745622396469116,0.22189792633056632,-0.05981533050537118
3.745622396469116,0.25993648529052726,-0.0791032028198243
3.745622396469116,0.2961927413940429,-0.10156246185302743
3.745622396469116,0.3304032516479491,-0.1270299148559571
3.745622396469116,0.36231876373291005,-0.155320167541504
3.745622396469116,0.391707420349121,-0.1862272262573243
3.745622396469116,0.41835521697998035,-0.21952655792236336
3.745622396469116,0.4420682907104491,-0.25497554779052745
3.745622396469116,0.46267406463623034,-0.2923164749145509
3.745622396469116,0.48002262115478506,-0.3312776565551759
3.745622396469116,0.4939878463745116,-0.37157527923583994
3.745622396469116,0.5044681167602538,-0.4129168319702149
3.745622396469116,0.5113869857788085,-0.45500087738037115
3.745622396469116,0.5146943283081054,-0.4975214004516602
3.745622396469116,0.514366111755371,-0.5401692962646485
3.745622396469116,0.5104043960571288,-0.5826339721679689
3.745622396469116,0.5028384780883788,-0.6246065521240235
3.745622396469116,0.49172306060791005,-0.665781593322754
3.745622396469116,0.4771391677856444,-0.705859718322754
3.745622396469116,0.459192771911621,-0.7445491027832032
3.745622396469116,0.43801456451416004,-0.7815683364868165
3.745622396469116,0.41375858306884755,-0.8166481399536133
3.745622396469116,0.3866012954711913,-0.8495331954956056
3.745622396469116,0.3567404556274413,-0.8799842071533204
3.745622396469116,0.3243930435180663,-0.9077797317504883
3.745622396469116,0.289794578552246,-0.9327174377441407
3.745622396469116,0.2531968307495116,-0.9546160507202149
3.745622396469116,0.2148659896850585,-0.9733160400390626
3.745622396469116,0.17508106231689444,-0.9886814498901367
3.745622396469116,0.13413135528564443,-1.000600357055664
3.745622396469116,0.09231464385986318,-1.0089862442016602
3.745622396469116,0.0499355697631835,-1.0137779998779297
3.745622396469116,0.007309532165527252,-1.0154329299926759
3.745622396469116,-0.03533458709716806,-1.0166690063476562
3.745622396469116,-0.07797870635986337,-1.0179050827026368
3.745622396469116,-0.12062282562255867,-1.0191410446166993
3.745622396469116,-0.16326694488525398,-1.0203771209716797
3.745622396469116,-0.20591083526611337,-1.0216131973266602
3.745622396469116,-0.24855518341064461,-1.0228492736816406
3.745622396469116,-0.29119930267333993,-1.0240853500366212
3.745622396469116,-0.3338431930541993,-1.0253214263916015
3.745622396469116,-0.3764873123168946,-1.026557502746582
3.745622396469116,-0.41913143157958993,-1.0277935791015627
3.745622396469116,-0.4617755508422852,-1.029029655456543
3.745622396469116,-0.5044196701049806,-1.0302656173706055
3.745622396469116,-0.5470636749267579,-1.031501693725586
3.745622396469116,-0.5897079086303711,-1.0327377700805664
3.745622396469116,-0.6323519134521485,-1.033973846435547
3.745622396469116,-0.6750000381469727,-1.0350000381469726
