t,odom_map_dx,odom_map_dy
0.27150535583496094,0.0,-1.6543612251060553e-24
0.47110486030578613,0.0,-1.6543612251060553e-24
0.670964241027832,0.0,-1.6543612251060553e-24
0.8708019256591797,0.0,-1.6543612251060553e-24
1.070920467376709,0.0,-1.6543612251060553e-24
1.2708592414855957,0.0,-1.6543612251060553e-24
1.470907211303711,0.0,-1.6543612251060553e-24
1.6709272861480713,0.0,-1.6543612251060553e-24
1.8709321022033691,0.0,-1.6543612251060553e-24
2.0709009170532227,0.0,-1.6543612251060553e-24
2.270801305770874,0.0,-1.6543612251060553e-24
2.470982551574707,0.0,-1.6543612251060553e-24
2.67087984085083,0.0,-1.6543612251060553e-24
2.8710217475891113,0.0,-1.6543612251060553e-24
3.071021556854248,0.0,-1.6543612251060553e-24
3.271122694015503,0.0,-1.6543612251060553e-24
3.470853328704834,0.0,-1.6543612251060553e-24
3.67102313041687,0.0,-1.6543612251060553e-24
3.87048602104187,0.0,-1.6543612251060553e-24
4.070690155029297,0.0,-1.6543612251060553e-24
4.270798206329346,0.0,-1.6543612251060553e-24
4.470528602600098,0.0,-1.6543612251060553e-24
4.670522212982178,0.00152306983178125,0.0010143523268714974
4.871136665344238,0.00152306983178125,0.0010143523268714974
5.070545673370361,-0.009966855827763469,-0.004439221225968957
5.2705237865448,0.002244739808080717,0.0018097611216550214
5.470578670501709,0.002244739808080717,0.0018097611216550214
5.670496225357056,0.010314772597687118,-0.002393595458243745
5.8708367347717285,0.015508283905895348,0.016946843247675716
6.0706400871276855,0.015508283905895348,0.016946843247675716
6.270496845245361,0.006420937697030543,0.003148321428119566
6.470567941665649,0.023294330436395973,0.0025979025023202887
6.670578241348267,0.023294330436395973,0.0025979025023202887
6.870603084564209,0.021432701536238663,0.0004552640921484682
7.070582151412964,0.03354516627343365,-0.00734918060505115
7.270821809768677,0.03354516627343365,-0.00734918060505115
7.470654487609863,0.027153280170159607,-0.01404815092278751
7.670550107955933,0.022960164909806225,-0.007384316210644401
7.870723009109497,0.022960164909806225,-0.007384316210644401
8.070587635040283,0.03378950297003807,0.000187662989950427
8.270642757415771,0.03871957251135711,0.007090093233088574
8.470739126205444,0.03871957251135711,0.007090093233088574
8.670706033706665,0.032253950399880896,-0.0009284721263373661
8.870663404464722,0.012834504334126537,-0.005629396863634066
9.070544004440308,0.012834504334126537,-0.005629396863634066
9.270796060562134,0.02079777278700687,-0.00211981967564853
9.47115969657898,0.024976168249538883,-0.000550274663069464
9.670612096786499,0.024976168249538883,-0.000550274663069464
9.870361566543579,0.020626999096290424,-0.001937583695152771
10.070555686950684,0.018374260226544908,-0.012538337590769616
10.270634889602661,0.018374260226544908,-0.012538337590769616
10.470481634140015,0.01374124748606795,-0.0035499006616893304
10.670562744140625,0.020788520064436124,-0.01230341659080153
10.870416164398193,0.020788520064436124,-0.01230341659080153
11.07041597366333,0.020788520064436124,-0.01230341659080153
11.273197889328003,0.021430010057933754,-0.013582532622353543
