t,vx_error,wz_error
0.09694623947143555,0.002181874088226705,-1.0208426013629404e-19
0.11996793746948242,-0.0002867510427664319,-1.6989893550355927e-25
0.15423107147216797,-0.006308117275296885,1.900051058194126e-17
0.18749213218688965,-0.008261788915409187,4.506553953414993e-23
0.2206096649169922,-0.00997888061069117,1.1539809020789925e-28
0.2530982494354248,-0.016994492232798957,8.073471322034287e-09
0.28694629669189453,-0.020785121700191107,5.055114361675271e-20
0.3207223415374756,-0.022338049101693878,1.2648476414708533e-25
0.3541996479034424,0.007182578310239353,6.577180853336445e-09
0.3881504535675049,0.0033599884275504806,4.096593239071584e-20
0.41944098472595215,0.00010963371585674572,2.5841294363040864e-31
0.4529118537902832,-0.003516467493960005,8.494003530916394e-09
0.4870564937591553,-0.008192500841347233,3.613315982476035e-20
0.5209660530090332,-0.00975738048358554,9.075250335014956e-26
0.5536582469940186,-0.0045524241007777085,-3.851692903257946e-09
0.587296724319458,-0.006531526142000914,-9.606676264448682e-15
0.6211380958557129,-0.009877171126183686,-6.020898645663945e-26
0.6528792381286621,-0.0027753042567915344,-2.258664060037635e-08
0.6863143444061279,-0.007452297088107405,-9.668350489159551e-20
0.71913743019104,-0.009081177204476163,-2.4179424781284197e-25
0.754361629486084,-0.005343709062650232,1.8168645204855519e-09
0.7869124412536621,-0.00808963125889016,3.024413081489031e-15
0.8212757110595703,-0.011197702071389346,1.893814741626409e-26
0.853473424911499,-0.012642591419637408,4.721956538899403e-32
0.886380672454834,-0.012574803026207086,-2.480313127063969e-16
0.9210934638977051,-0.014280636199937302,-6.1762848431480455e-22
0.9528615474700928,-0.017374712797933047,-3.86712624965027e-33
0.98769211769104,-0.0037696624611841703,6.013505496533205e-14
1.0212266445159912,-0.008010968180506242,2.5091052294535547e-25
1.0573060512542725,-0.009591080254796326,5.787934758754032e-31
1.0871121883392334,0.008865672056787288,2.1755289442220716e-19
1.119154930114746,0.0063415731497800994,3.589980652371161e-25
1.1539740562438965,0.003456648917078449,2.2750808050659536e-36
1.1879959106445312,-0.01832215180967478,-5.841330862418443e-20
1.2196338176727295,-0.02066808813709097,-9.783747603845475e-26
1.2520358562469482,-0.023801866121935158,-6.128900643230637e-37
1.2856574058532715,-0.01090009715335477,1.0799713410089656e-13
1.3208038806915283,-0.012708052466069363,2.701944959172816e-19
1.3547804355621338,-0.01666675747689096,4.499506908859342e-25
1.3867647647857666,-0.004826808593512642,-3.8188306060606336e-14
1.4189507961273193,-0.006398357403154267,-9.811972011284828e-20
1.454240322113037,-0.00870204080445244,-1.617730862669404e-25
1.4872376918792725,-0.0024208599317563713,-7.279663107155362e-15
1.5206236839294434,-0.005700597664183802,-4.5638951018464867e-26
1.5539660453796387,-0.007999034956572762,-7.603078694047914e-32
1.5881242752075195,-0.012490891718096283,7.437808622907184e-20
