t,left,right
5.1512227058410645,107.0,-4.0
5.200804233551025,147.0,-7.0
5.250547647476196,191.0,2.0
5.300836563110352,216.0,7.0
5.351173639297485,248.0,14.0
5.400646924972534,255.0,39.0
5.453784704208374,255.0,50.0
5.500755071640015,255.0,86.0
5.551758050918579,255.0,92.0
5.600837469100952,255.0,111.0
5.651591062545776,255.0,115.0
5.701524972915649,255.0,105.0
5.750699281692505,236.0,106.0
5.800753355026245,226.0,70.0
5.851382732391357,219.0,57.0
5.901170492172241,212.0,34.0
5.950768232345581,205.0,20.0
6.000921249389648,202.0,24.0
6.050683498382568,197.0,17.0
6.100870609283447,180.0,28.0
6.15135931968689,172.0,25.0
6.200672388076782,137.0,40.0
6.250746965408325,105.0,45.0
6.302954912185669,81.0,55.0
6.3514416217803955,53.0,71.0
6.4009552001953125,38.0,65.0
6.450729846954346,-32.0,143.0
6.500787734985352,-36.0,164.0
6.551058053970337,-49.0,185.0
6.600781202316284,-40.0,176.0
6.6514198780059814,-38.0,171.0
6.700887680053711,9.0,130.0
6.751581430435181,36.0,100.0
6.801010847091675,51.0,83.0
6.850623846054077,69.0,59.0
6.903321743011475,60.0,75.0
6.950925588607788,70.0,67.0
7.000774383544922,115.0,30.0
7.051287412643433,157.0,21.0
7.101018905639648,180.0,12.0
7.1519248485565186,191.0,6.0
7.2012999057769775,199.0,7.0
7.2521679401397705,175.0,26.0
7.301162242889404,163.0,38.0
7.3510191440582275,124.0,62.0
7.400903701782227,107.0,84.0
7.450844764709473,132.0,86.0
7.5008180141448975,126.0,99.0
7.551307916641235,144.0,77.0
7.601728439331055,136.0,83.0
7.650606870651245,120.0,71.0
7.701160192489624,56.0,144.0
7.751163482666016,18.0,190.0
7.800749778747559,21.0,188.0
7.852022171020508,27.0,163.0
7.901042699813843,21.0,160.0
7.950759649276733,42.0,142.0
8.00139331817627,43.0,138.0
8.0507333278656,75.0,96.0
8.101178884506226,80.0,89.0
8.150985956192017,94.0,72.0
8.201205730438232,99.0,67.0
8.252861976623535,118.0,47.0
8.301212787628174,123.0,44.0
8.351810932159424,118.0,50.0
8.401153802871704,165.0,32.0
8.45086669921875,184.0,21.0
8.505228996276855,186.0,19.0
8.551196336746216,182.0,24.0
8.601014852523804,177.0,27.0
8.651572227478027,145.0,48.0
8.70102047920227,135.0,55.0
8.751857042312622,117.0,74.0
8.801151752471924,149.0,75.0
8.851217985153198,167.0,56.0
8.901400089263916,172.0,51.0
8.951703071594238,189.0,31.0
9.001551628112793,195.0,20.0
9.053872108459473,198.0,18.0
9.100959300994873,189.0,16.0
9.151312828063965,178.0,23.0
9.200934886932373,192.0,11.0
9.250739574432373,155.0,31.0
9.301571607589722,150.0,32.0
9.35235595703125,151.0,34.0
9.400967597961426,146.0,36.0
9.451194524765015,134.0,43.0
9.501024961471558,138.0,41.0
9.551474332809448,156.0,21.0
9.60093641281128,150.0,21.0
9.650946855545044,158.0,11.0
9.702353239059448,172.0,2.0
