time_s,vx_m_s,wz_rad_s,v_left_m_s,v_right_m_s
0.0,0.0,0.0,0.0,0.0
0.10063600540161133,0.0,0.0,0.0,0.0
0.19989442825317383,0.0,0.0,0.0,0.0
0.29924654960632324,0.0,0.0,0.0,0.0
0.40172648429870605,0.015489330515265465,0.0,0.015489330515265465,0.015489330515265465
0.5003373622894287,0.020663145929574966,0.0,0.020663145929574966,0.020663145929574966
0.5985910892486572,0.024441231042146683,0.0,0.024441231042146683,0.024441231042146683
0.6993627548217773,0.02658400498330593,0.0,0.02658400498330593,0.02658400498330593
0.7997844219207764,0.027940327301621437,0.0,0.027940327301621437,0.027940327301621437
0.9001753330230713,0.02880489081144333,0.0,0.02880489081144333,0.02880489081144333
0.999347448348999,0.02903829701244831,0.0,0.02903829701244831,0.02903829701244831
1.0999116897583008,0.02921704761683941,0.0,0.02921704761683941,0.02921704761683941
1.1999495029449463,0.029694953933358192,0.0,0.029694953933358192,0.029694953933358192
1.2994461059570312,0.03033297508955002,0.0,0.03033297508955002,0.03033297508955002
1.3996596336364746,0.030839871615171432,0.0,0.030839871615171432,0.030839871615171432
1.499603033065796,0.03118824027478695,0.0,0.03118824027478695,0.03118824027478695
1.5996012687683105,0.031620897352695465,0.0,0.031620897352695465,0.031620897352695465
1.6993980407714844,0.03208758309483528,0.0,0.03208758309483528,0.03208758309483528
1.8006062507629395,0.032747041434049606,0.0,0.032747041434049606,0.032747041434049606
1.8993875980377197,0.033796705305576324,0.0,0.033796705305576324,0.033796705305576324
1.9995558261871338,0.035232074558734894,0.0,0.035232074558734894,0.035232074558734894
2.098728895187378,0.03705333173274994,0.0,0.03705333173274994,0.03705333173274994
2.2001445293426514,0.0393495112657547,0.0,0.0393495112657547,0.0393495112657547
2.299273729324341,0.04188669100403786,0.0,0.04188669100403786,0.04188669100403786
2.4011390209198,0.044820740818977356,0.0,0.044820740818977356,0.044820740818977356
2.499208450317383,0.04818015545606613,0.0,0.04818015545606613,0.04818015545606613
2.6020281314849854,0.05185050889849663,0.0,0.05185050889849663,0.05185050889849663
2.699763774871826,0.05474834889173508,0.0,0.05474834889173508,0.05474834889173508
2.7996630668640137,0.1058870255947113,0.0,0.1058870255947113,0.1058870255947113
2.900855541229248,0.1485908329486847,-0.17665280401706696,0.15963163319975138,0.137550032697618
3.012688159942627,0.19336023926734924,-0.37599077820777893,0.21685966290533543,0.16986081562936306
3.099637985229492,0.19819669425487518,-0.5520606637001038,0.23270048573613167,0.1636929027736187
3.2010650634765625,0.19934765994548798,-0.5846242904663086,0.23588667809963226,0.1628086417913437
3.2979836463928223,0.19446147978305817,-0.5669309496879578,0.22989466413855553,0.1590282954275608
3.3994345664978027,0.19009818136692047,-0.5322202444076538,0.22336194664239883,0.1568344160914421
3.5005297660827637,0.18520013988018036,-0.49846121668815613,0.21635396592319012,0.1540463138371706
3.601989984512329,0.17972293496131897,-0.45898205041885376,0.20840931311249733,0.1510365568101406
3.701420545578003,0.174932062625885,-0.4212026000022888,0.20125722512602806,0.14860690012574196
3.8003480434417725,0.17264114320278168,-0.3892080783843994,0.19696664810180664,0.1483156383037567
3.901780366897583,0.1737341582775116,-0.36886632442474365,0.19678830355405807,0.15068001300096512
4.001533269882202,0.20849457383155823,-0.3619286119937897,0.23111511208117008,0.18587403558194637
4.098586559295654,0.20786963403224945,-0.38020846247673035,0.2316326629370451,0.1841066051274538
4.20025110244751,0.21067693829536438,-0.36749017238616943,0.23364507406949997,0.1877088025212288
4.300347566604614,0.20676444470882416,-0.3224145174026489,0.22691535204648972,0.1866135373711586
4.399240255355835,0.2037595510482788,-0.26576775312423706,0.22037003561854362,0.187149066478014
4.4994120597839355,0.200384721159935,-0.21148397028446198,0.21360246930271387,0.18716697301715612
4.598849534988403,0.19805090129375458,-0.1652856171131134,0.20838125236332417,0.187720550224185
4.699556589126587,0.19589786231517792,-0.13412117958068848,0.20428043603897095,0.1875152885913849
4.799420595169067,0.19427107274532318,-0.11126720905303955,0.20122527331113815,0.1873168721795082
