time_s,vx_m_s,wz_rad_s,v_left_m_s,v_right_m_s,cte_m
0.0,0.0,-0.017360277473926544,0.001085017342120409,-0.001085017342120409,0.0016579557727866984
0.1002357006072998,0.0,0.0,0.0,0.0,0.0017406088161527062
0.20389938354492188,0.0,0.0,0.0,0.0,0.0016834812452608224
0.30033183097839355,0.0,0.0,0.0,0.0,0.0017262930431969292
0.39826178550720215,0.0,0.0,0.0,0.0,0.0020468119721080095
0.49889254570007324,0.0,0.0,0.0,0.0,0.002005596329973952
0.5981137752532959,0.0,-0.04292929917573929,0.0026830811984837055,-0.0026830811984837055,0.012943607720217533
0.7096729278564453,0.0,-0.06504299491643906,0.004065187182277441,-0.004065187182277441,0.013157547163383342
0.7983031272888184,0.0,-0.08589596301317215,0.005368497688323259,-0.005368497688323259,0.013084557531532506
0.8992393016815186,0.0,-0.10418237745761871,0.00651139859110117,-0.00651139859110117,0.013087330289918297
0.9989428520202637,0.0,-0.11865144222974777,0.007415715139359236,-0.007415715139359236,0.013098287620710823
1.1001322269439697,0.0,-0.1284443587064743,0.008027772419154644,-0.008027772419154644,0.013175655155159031
1.1981775760650635,0.0,-0.13481546938419342,0.008425966836512089,-0.008425966836512089,0.013087480739501849
1.3000843524932861,0.0,-0.1388951689004898,0.008680948056280613,-0.008680948056280613,0.01315657906187469
1.398723840713501,0.0,-0.1412542164325714,0.008828388527035713,-0.008828388527035713,0.013013117966110531
1.4986367225646973,0.0,-0.1425074338912964,0.008906714618206024,-0.008906714618206024,0.013062355138126218
1.5993051528930664,0.0,-0.14263617992401123,0.008914761245250702,-0.008914761245250702,0.013133192608177932
1.6987640857696533,0.0,-0.14292414486408234,0.008932759054005146,-0.008932759054005146,0.013061521995082722
1.7983977794647217,0.0,-0.14274908602237701,0.008921817876398563,-0.008921817876398563,0.013133431161002624
1.8979811668395996,0.0,-0.14322936534881592,0.008951835334300995,-0.008951835334300995,0.013073245027304684
1.9983725547790527,0.0,-0.14481452107429504,0.00905090756714344,-0.00905090756714344,0.012964076752610737
2.0991668701171875,0.0,-0.14717349410057068,0.009198343381285667,-0.009198343381285667,0.012971920325802048
2.198493480682373,0.0,-0.1501721441745758,0.009385759010910988,-0.009385759010910988,0.01279449263678849
2.3031632900238037,0.0,-0.15261517465114594,0.009538448415696621,-0.009538448415696621,0.012908904550613443
2.398319721221924,0.0,-0.15482327342033386,0.009676454588770866,-0.009676454588770866,0.012883385203168816
2.4984445571899414,0.0,-0.15590330958366394,0.009743956848978996,-0.009743956848978996,0.013248410874347914
2.5987050533294678,0.0,-0.15577688813209534,0.009736055508255959,-0.009736055508255959,0.013186305440680415
2.698519468307495,0.0,-0.15529392659664154,0.009705870412290096,-0.009705870412290096,0.013159233691609137
2.7983157634735107,0.0,-0.15468445420265198,0.009667778387665749,-0.009667778387665749,0.013155549102134657
2.8988139629364014,0.0,-0.15373177826404572,0.009608236141502857,-0.009608236141502857,0.013128028380077717
2.9984467029571533,0.0,-0.152872696518898,0.009554543532431126,-0.009554543532431126,0.013084233173199336
3.0982534885406494,0.0,-0.15266501903533936,0.00954156368970871,-0.00954156368970871,0.013146352642116627
3.1986680030822754,0.0,-0.1526571810245514,0.009541073814034462,-0.009541073814034462,0.016751380106800346
3.301579713821411,0.0,-0.15309464931488037,0.009568415582180023,-0.009568415582180023,0.02100604634667134
3.3986294269561768,0.0,-0.1537429243326187,0.00960893277078867,-0.00960893277078867,0.021346097191420766
3.5082271099090576,0.0,-0.15450482070446014,0.009656551294028759,-0.009656551294028759,0.021510098923793172
3.6012301445007324,0.0,-0.15569822490215302,0.009731139056384563,-0.009731139056384563,0.021562288870384128
3.7028043270111084,0.0,-0.15718503296375275,0.009824064560234547,-0.009824064560234547,0.02144472429414226
3.798285484313965,0.0,-0.15824170410633087,0.00989010650664568,-0.00989010650664568,0.021353997143546247
3.898787498474121,0.0,-0.15934722125530243,0.009959201328456402,-0.009959201328456402,0.0213132693642679
3.9984323978424072,0.0,-0.160064235329628,0.01000401470810175,-0.01000401470810175,0.02134582047577575
4.10129189491272,0.0,-0.16060693562030792,0.010037933476269245,-0.010037933476269245,0.02151943899655599
4.199169158935547,0.0,-0.16102683544158936,0.010064177215099335,-0.010064177215099335,0.021488176304394292
4.301070213317871,0.0,-0.16184699535369873,0.01011543720960617,-0.01011543720960617,0.021512603683771038
4.399255275726318,0.0,-0.16272760927677155,0.010170475579798222,-0.010170475579798222,0.02163416496564255
4.498795032501221,0.0,-0.16347086429595947,0.010216929018497467,-0.010216929018497467,0.021783756084978383
4.598580598831177,0.010111210867762566,-0.16438709199428558,0.020385404117405415,-0.00016298238188028336,0.02190598304255456
4.699406623840332,0.010346924886107445,-0.1651853621006012,0.02067101001739502,2.2839754819869995e-05,0.021919985672167738
4.8004186153411865,0.010640781372785568,-0.16612879931926727,0.021023831330239773,0.0002577314153313637,0.02206486595616731
4.898555040359497,0.011082014068961143,-0.16687482595443726,0.021511690691113472,0.000652337446808815,0.02211898531621404
5.0011022090911865,0.011408932507038116,-0.167511448264122,0.021878398023545742,0.0009394669905304909,0.021975130928157272
5.098369598388672,0.011567063629627228,-0.16826462745666504,0.022083602845668793,0.0010505244135856628,0.021922770531537312
5.201669216156006,0.011581825092434883,-0.16915783286094666,0.02215418964624405,0.0010094605386257172,0.02180383458358517
5.299357891082764,0.011602402664721012,-0.17014414072036743,0.022236411459743977,0.0009683938696980476,0.021950123477513146
5.398511648178101,0.011655613780021667,-0.1710124909877777,0.022343894466757774,0.0009673330932855606,0.02202830824671666
5.498438358306885,0.012017631903290749,-0.17141428589820862,0.022731024771928787,0.00130423903465271,0.02224947602763214
5.598597526550293,0.012538769282400608,-0.17186647653579712,0.023280424065887928,0.0017971144989132881,0.02253393043640271
5.698587656021118,0.013397496193647385,-0.17299453914165497,0.02420965489000082,0.002585337497293949,0.02266058790315134
5.798268795013428,0.014368228614330292,-0.17415966093540192,0.02525320742279291,0.003483249805867672,0.022696627982205765
5.898590564727783,0.015216001309454441,-0.1751919388771057,0.026165497489273548,0.004266505129635334,0.02234939042386816
5.998799085617065,0.015444140881299973,-0.1753999888896942,0.02640664018690586,0.004481641575694084,0.021219635138804902
6.0990331172943115,0.016157153993844986,-0.1758197396993637,0.027145887725055218,0.005168420262634754,0.02125325107663463
6.198752164840698,0.016506582498550415,-0.17648175358772278,0.02753669209778309,0.005476472899317741,0.021232651120296302
