t,left_target,left_actual,right_target,right_actual,left_pwm,right_pwm
0.012687980999999127,0.0,0.0,0.0,0.0,0.0,0.0
0.032936039999981404,0.0,0.0,0.0,0.0,0.0,0.0
0.054446218000009594,0.0,0.0,0.0,0.0,0.0,0.0
0.07829234700000143,0.0,0.0,0.0,0.0,0.0,0.0
0.09881224700001212,0.0,0.0,0.0,0.0,0.0,0.0
0.12084406100001388,0.0,0.0,0.0,0.0,0.0,0.0
0.1431096679999655,0.0,0.0,0.0,0.0,0.0,0.0
0.16649060999998255,0.0,0.0,0.0,0.0,0.0,0.0
0.18690023699997482,0.0,0.0,0.0,0.0,0.0,0.0
0.21164537900000369,0.0,0.0,0.0,0.0,0.0,0.0
0.231883229999994,0.0,0.0,0.0,0.0,0.0,0.0
0.25447328699999616,0.0,0.0,0.0,0.0,0.0,0.0
0.297758062000014,0.0,0.0,0.0,0.0,0.0,0.0
0.3197624829999768,0.0,0.0,0.0,0.0,0.0,0.0
0.34173643999997694,0.0,0.0,0.0,0.0,0.0,0.0
0.36322905099996206,0.0,0.0,0.0,0.0,0.0,0.0
0.3867915619999849,0.0,0.0,0.0,0.0,0.0,0.0
0.40778212099996836,0.0,0.0,0.0,0.0,0.0,0.0
0.4318758029999685,0.0,0.0,0.0,0.0,0.0,0.0
0.45376284799999667,0.0,0.0,0.0,0.0,0.0,0.0
0.47523085000000265,0.0,0.0,0.0,0.0,0.0,0.0
0.49867342400000325,0.0,0.0,0.0,0.0,0.0,0.0
0.5198540330000014,0.0,0.0,0.0,0.0,0.0,0.0
0.542162487999974,0.0,0.0,0.0,0.0,0.0,0.0
0.5643349100000137,0.0,0.0,0.0,0.0,0.0,0.0
0.5864160360000028,0.0,0.0,0.0,0.0,0.0,0.0
0.6101999250000176,0.0,0.0,0.0,0.0,0.0,0.0
0.6307673129999785,0.0,0.0,0.0,0.0,0.0,0.0
0.6532481859999848,0.0,0.0,0.0,0.0,0.0,0.0
0.6752936629999908,0.0,0.0,0.0,0.0,0.0,0.0
0.6988904460000072,0.0,0.0,0.0,0.0,0.0,0.0
0.7192624099999989,0.0,0.0,0.0,0.0,0.0,0.0
