t,left_target,left_actual,right_target,right_actual,left_pwm,right_pwm
0.02075230799982819,0.0,0.0,0.0,0.0,0.0,0.0
0.04319554999983666,0.0,0.0,0.0,0.0,0.0,0.0
0.06515163999983997,0.0,0.0,0.0,0.0,0.0,0.0
0.10920804900001713,0.0,0.0,0.0,0.0,0.0,0.0
0.13118189900001198,0.0,0.0,0.0,0.0,0.0,0.0
0.15323568899998463,0.0,0.0,0.0,0.0,0.0,0.0
0.1747010109997973,0.0,0.0,0.0,0.0,0.0,0.0
0.19816182099998514,0.0,0.0,0.0,0.0,0.0,0.0
0.22033631799990872,0.0,0.0,0.0,0.0,0.0,0.0
0.24215240399985305,0.0,0.0,0.0,0.0,0.0,0.0
0.2641869609999503,0.0,0.0,0.0,0.0,0.0,0.0
0.2853918910000175,0.0,0.0,0.0,0.0,0.0,0.0
0.30962002100000063,0.0,0.0,0.0,0.0,0.0,0.0
0.3301748509998106,0.0,0.0,0.0,0.0,0.0,0.0
0.35217142199985574,0.0,0.0,0.0,0.0,0.0,0.0
0.3741894349998347,0.0,0.0,0.0,0.0,0.0,0.0
0.39735330700000304,0.0,0.0,0.0,0.0,0.0,0.0
0.41910126299990225,0.0,0.0,0.0,0.0,0.0,0.0
0.4411037859999851,0.0,0.0,0.0,0.0,0.0,0.0
0.46307392499988964,0.0,0.0,0.0,0.0,0.0,0.0
0.4847391260000222,0.0,0.0,0.0,0.0,0.0,0.0
0.5301455299997997,0.0,0.0,0.0,0.0,0.0,0.0
0.5517109509999045,0.0,0.0,0.0,0.0,0.0,0.0
0.5741542239998125,0.0,0.0,0.0,0.0,0.0,0.0
0.5958510089999436,0.0,0.0,0.0,0.0,0.0,0.0
0.6187302949999776,0.0,0.0,0.0,0.0,0.0,0.0
0.6416204619999917,0.0,0.0,0.0,0.0,0.0,0.0
0.6641372729998238,0.0,0.0,0.0,0.0,0.0,0.0
0.6862013009999828,0.0,0.0,0.0,0.0,0.0,0.0
0.7077040319998105,0.0,0.0,0.0,0.0,0.0,0.0
0.7310584699998799,0.0,0.0,0.0,0.0,0.0,0.0
0.7521293779998359,0.0,0.0,0.0,0.0,0.0,0.0
0.7741464619998624,0.0,0.0,0.0,0.0,0.0,0.0
0.7963735349999297,0.0,0.0,0.0,0.0,0.0,0.0
0.8200452309999946,0.0,0.0,0.0,0.0,0.0,0.0
0.8420655779998469,0.0,0.0,0.0,0.0,0.0,0.0
0.8630737329999647,0.0,0.0,0.0,0.0,0.0,0.0
0.885124033000011,0.0,0.0,0.0,0.0,0.0,0.0
0.9065521049999461,0.0,0.0,0.0,0.0,0.0,0.0
0.929302683999822,0.0,0.0,0.0,0.0,0.0,0.0
0.953607454999883,0.0,0.0,0.0,0.0,0.0,0.0
0.9731105700000171,0.0,0.0,0.0,0.0,0.0,0.0
0.9950733799998943,0.0,0.0,0.0,0.0,0.0,0.0
1.017983994999895,0.0,0.0,0.0,0.0,0.0,0.0
1.041653930999928,0.1,0.0,0.1,0.0,-23.3,0.0
1.0649453899998207,0.1,0.0,0.1,0.0,-23.3,0.0
1.0852585469999667,0.1,0.0,0.1,0.0,-23.3,0.0
1.1073142870000083,0.1,0.06,0.1,0.0,0.0,41.94
1.1289610229998743,0.1,0.0,0.1,0.0,0.0,41.94
1.1733267189999879,0.1,0.0,0.1,0.0,0.0,41.94
1.1947791439999946,0.1,0.0,0.1,0.0,0.0,61.94
1.2181511179999234,0.1,0.0,0.1,0.06,0.0,61.94
1.2408995209998466,0.2,0.0,0.2,0.06,0.0,61.94
1.2848835409999992,0.2,0.0,0.2,0.06,0.0,61.94
1.307510690999834,0.2,0.06,0.2,0.06,60.7,91.71
1.3294948769998882,0.2,0.12,0.2,0.06,60.7,91.71
1.351049833999923,0.2,0.12,0.2,0.12,60.7,91.71
1.3741228859998955,0.2,0.12,0.2,0.12,60.7,91.71
1.3954740599999695,0.2,0.12,0.2,0.12,74.83,106.94
1.4181725409998762,0.2,0.18,0.2,0.18,74.83,106.94
1.4414545279998947,0.3,0.18,0.3,0.18,74.83,106.94
1.462420505999944,0.3,0.18,0.3,0.23,74.83,106.94
1.4861189219998323,0.3,0.18,0.3,0.18,74.83,106.94
1.5076891749999959,0.3,0.24,0.3,0.24,102.27,122.24
1.5296886569999515,0.3,0.29,0.3,0.23,102.27,122.24
1.5517164609998417,0.3,0.24,0.3,0.29,102.27,122.24
1.5738829239999177,0.3,0.29,0.3,0.29,102.27,122.24
1.5967687049999313,0.3,0.29,0.3,0.29,100.93,122.01
1.6177489539998078,0.3,0.3,0.3,0.3,100.93,122.01
1.6411988819997987,0.4,0.35,0.4,0.29,100.93,122.01
1.6632435799999712,0.4,0.29,0.4,0.35,100.93,122.01
1.6858793379999497,0.4,0.29,0.4,0.35,100.93,122.01
1.7087118379999993,0.4,0.36,0.4,0.36,127.44,148.69
1.7296449809998649,0.4,0.35,0.4,0.35,127.44,148.69
1.7513146599999345,0.4,0.41,0.4,0.35,127.44,148.69
1.77326562799999,0.4,0.36,0.4,0.36,127.44,148.69
1.8177415339998788,0.4,0.42,0.4,0.36,135.39,143.68
1.841201318000003,0.5,0.35,0.5,0.35,135.39,143.68
1.86318246299993,0.5,0.35,0.5,0.35,135.39,143.68
1.8852454020000096,0.5,0.42,0.5,0.36,135.39,143.68
1.9292442689998097,0.5,0.42,0.5,0.42,158.32,168.03
1.9511791079999057,0.5,0.41,0.5,0.47,158.32,168.03
1.973120475999849,0.5,0.42,0.5,0.48,158.32,168.03
1.994623172999809,0.5,0.43,0.5,0.43,172.21,181.9
2.0176844169998276,0.5,0.48,0.5,0.48,172.21,181.9
2.0422132259998307,0.5,0.49,0.5,0.49,172.21,181.9
2.0642828539998845,0.5,0.49,0.5,0.49,172.21,181.9
2.086325888999909,0.5,0.49,0.5,0.49,172.21,181.9
2.108267736000016,0.5,0.55,0.5,0.55,177.6,174.34
2.1306936309999855,0.5,0.49,0.5,0.55,177.6,174.34
2.15225095400001,0.5,0.49,0.5,0.49,177.6,174.34
2.174222690999841,0.5,0.49,0.5,0.55,177.6,174.34
2.1962387169999147,0.5,0.49,0.5,0.55,169.38,180.36
2.2205530879998605,0.5,0.49,0.5,0.49,169.38,180.36
2.241695773999936,0.5,0.48,0.5,0.54,169.38,180.36
2.2802861169998323,0.5,0.47,0.5,0.53,169.38,180.36
2.301890962000016,0.5,0.55,0.5,0.49,163.62,173.42
2.3249428289998377,0.5,0.55,0.5,0.49,163.62,173.42
2.346293681999896,0.5,0.49,0.5,0.49,163.62,173.42
2.3682419939998454,0.5,0.49,0.5,0.55,163.62,173.42
2.390290468999865,0.5,0.53,0.5,0.47,163.62,173.42
2.416298748999907,0.5,0.49,0.5,0.55,160.47,184.16
2.4366823709999608,0.5,0.47,0.5,0.53,160.47,184.16
2.4572067980000156,0.5,0.47,0.5,0.47,160.47,184.16
2.4792017029999442,0.5,0.47,0.5,0.53,160.47,184.16
2.5016340299998774,0.5,0.48,0.5,0.48,162.52,171.41
2.545210644000008,0.5,0.47,0.5,0.53,162.52,171.41
2.5672514379998574,0.5,0.53,0.5,0.53,162.52,171.41
2.5892861509998966,0.5,0.47,0.5,0.47,162.52,171.41
2.6106825719998596,0.5,0.47,0.5,0.47,160.08,170.08
2.634711108999909,0.5,0.49,0.5,0.49,160.08,170.08
2.6562460629997986,0.5,0.49,0.5,0.49,160.08,170.08
2.678304328999957,0.5,0.49,0.5,0.49,160.08,170.08
2.700299904999838,0.5,0.53,0.5,0.47,157.45,167.78
2.7219739029999346,0.5,0.49,0.5,0.49,157.45,167.78
2.744807169999831,0.5,0.49,0.5,0.49,157.45,167.78
2.766234759999861,0.5,0.43,0.5,0.43,157.45,167.78
2.788296513999967,0.5,0.49,0.5,0.49,157.45,167.78
2.810154453999985,0.5,0.53,0.5,0.47,162.39,172.69
2.8338730289999603,0.5,0.49,0.5,0.49,162.39,172.69
2.856709751999915,0.5,0.49,0.5,0.49,162.39,172.69
2.8782234569998764,0.5,0.49,0.5,0.49,162.39,172.69
2.9002946199998405,0.5,0.47,0.5,0.47,173.86,172.2
2.9222957319998386,0.5,0.53,0.5,0.47,173.86,172.2
2.9460175389999677,0.5,0.49,0.5,0.49,173.86,172.2
2.9662410589999126,0.5,0.49,0.5,0.55,173.86,172.2
2.9883014370000183,0.5,0.55,0.5,0.49,173.86,172.2
3.0100996629998917,0.5,0.49,0.5,0.49,177.4,176.84
3.035204937999879,0.4,0.53,0.4,0.47,177.4,176.84
3.057900631999928,0.4,0.53,0.4,0.53,177.4,176.84
3.080809004999992,0.4,0.53,0.4,0.53,177.4,176.84
3.1012908379998407,0.4,0.53,0.4,0.53,143.15,156.12
