t,left_target,left_actual,right_target,right_actual
0.009252376999995704,0.0,0.0,0.0,0.0
0.03093709899999908,0.0,0.0,0.0,0.0
0.052929151999990154,0.0,0.0,0.0,0.0
0.07465422699999635,0.0,0.0,0.0,0.0
0.09683981800000652,0.0,0.0,0.0,0.0
0.12193247700000143,0.0,0.0,0.0,0.0
0.1406208500000048,0.0,0.0,0.0,0.0
0.16237792499998704,0.0,0.0,0.0,0.0
0.18436588199998027,0.0,0.0,0.0,0.0
0.20714130199999659,0.0,0.0,0.0,0.0
0.2330024489999971,0.0,0.0,0.0,0.0
0.2505654349999986,0.0,0.0,0.0,0.0
0.27246603099999334,0.0,0.0,0.0,0.0
0.2944279399999914,0.0,0.0,0.0,0.0
0.31913806699998304,0.0,0.0,0.0,0.0
0.33839479799999594,0.0,0.0,0.0,0.0
0.3606552359999853,0.0,0.0,0.0,0.0
0.38294533799998476,0.0,0.0,0.0,0.0
0.4054330419999985,0.0,0.0,0.0,0.0
0.4299125400000037,0.0,0.0,0.0,0.0
0.4488749619999908,0.0,0.0,0.0,0.0
0.4709042289999843,0.0,0.0,0.0,0.0
0.49285880799999404,0.0,0.0,0.0,0.0
0.5156261299999869,0.0,0.0,0.0,0.0
0.5409716209999829,0.0,0.0,0.0,0.0
0.5584792129999983,0.0,0.0,0.0,0.0
0.5812508230000049,0.0,0.0,0.0,0.0
0.6033505549999916,0.0,0.0,0.0,0.0
0.6279936069999792,0.0,0.0,0.0,0.0
0.6463671589999933,0.0,0.0,0.0,0.0
0.6683856100000014,0.0,0.0,0.0,0.0
0.6903485409999917,0.0,0.0,0.0,0.0
0.7123533589999909,0.0,0.0,0.0,0.0
0.7373059829999988,0.0,0.0,0.0,0.0
0.7569392909999806,0.0,0.0,0.0,0.0
0.7795782599999939,0.0,0.0,0.0,0.0
0.8018589529999929,0.0,0.0,0.0,0.0
0.8245697950000022,0.0,0.0,0.0,0.0
0.8489790849999963,0.0,0.0,0.0,0.0
0.8668674809999857,0.0,0.0,0.0,0.0
0.889537329999996,0.0,0.0,0.0,0.0
0.9109627830000022,0.0,0.0,0.0,0.0
0.9356376439999963,0.0,0.0,0.0,0.0
0.9549405809999882,0.0,0.0,0.0,0.0
0.9765900680000072,0.0,0.0,0.0,0.0
0.9984577660000014,0.0,0.0,0.0,0.0
1.0213112330000058,0.66,0.0,0.66,0.0
1.0462543520000054,0.66,0.0,0.66,0.0
1.0652858299999934,0.66,0.0,0.66,0.0
1.0872939770000016,0.66,0.0,0.66,0.06
1.1092616759999885,0.66,0.0,0.66,0.06
1.1318708849999837,0.66,0.0,0.66,0.0
1.1569901329999936,0.66,0.0,0.66,0.0
1.1754067899999825,0.66,0.06,0.66,0.0
1.1975606019999816,0.66,0.0,0.66,0.0
1.2193216430000007,0.66,0.0,0.66,0.06
1.2431477909999842,0.66,0.0,0.66,0.0
1.2637450130000047,0.66,0.0,0.66,0.0
1.2855097970000031,0.66,0.06,0.66,0.06
1.307298134000007,0.66,0.06,0.66,0.0
1.3293726819999847,0.66,0.0,0.66,0.0
1.354185239000003,0.66,0.0,0.66,0.06
1.3739468029999955,0.66,0.0,0.66,0.0
1.395426174999983,0.66,0.06,0.66,0.0
1.4172808139999802,0.66,0.0,0.66,0.0
1.4404117849999807,0.66,0.0,0.66,0.0
1.4651695560000064,0.66,0.06,0.66,0.0
1.4834615059999976,0.66,0.0,0.66,0.0
1.5057946139999956,0.66,0.06,0.66,0.06
1.5277399099999798,0.66,0.0,0.66,0.0
1.5518824109999798,0.66,0.0,0.66,0.0
1.571313602999993,0.66,0.0,0.66,0.0
1.5933862290000036,0.66,0.0,0.66,0.0
1.6153750450000075,0.66,0.0,0.66,0.06
1.6373720539999965,0.66,0.0,0.66,0.06
1.6621601610000027,0.66,0.0,0.66,0.06
1.6817333070000018,0.66,0.0,0.66,0.0
1.7037603640000043,0.66,0.06,0.66,0.06
1.7252632560000052,0.66,0.06,0.66,0.06
1.748316017999997,0.66,0.06,0.66,0.06
1.7730146209999873,0.66,0.0,0.66,0.06
1.7917528779999827,0.66,0.06,0.66,0.06
1.8137639349999972,0.66,0.06,0.66,0.06
1.8357628960000056,0.66,0.06,0.66,0.06
1.85959588999998,0.66,0.06,0.66,0.06
1.8795123029999843,0.66,0.06,0.66,0.06
1.9012763810000024,0.66,0.06,0.66,0.06
1.9232947019999926,0.66,0.06,0.66,0.06
1.945318111000006,0.66,0.12,0.66,0.06
1.9706911520000006,0.66,0.06,0.66,0.06
1.9894313300000022,0.66,0.06,0.66,0.12
2.011384177999986,0.66,0.06,0.66,0.06
2.0334371550000014,0.0,0.12,0.0,0.12
2.0559667769999805,0.0,0.12,0.0,0.06
2.080659202999982,0.0,0.06,0.0,0.06
2.0993867409999893,0.0,0.06,0.0,0.06
2.1212763569999993,0.0,0.06,0.0,0.0
2.1438028419999853,0.0,0.06,0.0,0.06
2.1677695019999987,0.0,0.06,0.0,0.0
2.1877819789999933,0.0,0.0,0.0,0.0
2.209540873999998,0.0,0.0,0.0,0.0
2.2313175599999795,0.0,0.0,0.0,0.0
2.2533664419999866,0.0,0.0,0.0,0.0
2.278207253000005,0.0,0.0,0.0,0.0
2.2973022179999987,0.0,0.0,0.0,0.0
2.319309019000002,0.0,0.0,0.0,0.0
2.3412786039999958,0.0,0.0,0.0,0.0
2.3640971869999987,0.0,0.0,0.0,0.0
2.3890685570000016,0.0,0.0,0.0,0.0
2.407837150000006,0.0,0.0,0.0,0.0
2.429809899999981,0.0,0.0,0.0,0.0
2.4513489819999847,0.0,0.0,0.0,0.0
2.4754464890000065,0.0,0.0,0.0,0.0
2.4954196040000056,0.0,0.0,0.0,0.0
2.5172967700000015,0.0,0.0,0.0,0.0
2.5397787729999948,0.0,0.0,0.0,0.0
2.5618237799999974,0.0,0.0,0.0,0.0
2.6057960649999927,0.0,0.0,0.0,0.0
2.6277910869999914,0.0,0.0,0.0,0.0
2.649283128999997,0.0,0.0,0.0,0.0
2.6718618369999945,0.0,0.0,0.0,0.0
2.696499412999998,0.0,0.0,0.0,0.0
2.7153109169999823,0.0,0.0,0.0,0.0
2.737726135999992,0.0,0.0,0.0,0.0
2.760095530000001,0.0,0.0,0.0,0.0
2.7836884870000063,0.0,0.0,0.0,0.0
2.804027974999997,0.0,0.0,0.0,0.0
2.8252802700000075,0.0,0.0,0.0,0.0
2.847298876999986,0.0,0.0,0.0,0.0
2.8701244349999797,0.0,0.0,0.0,0.0
2.894476056000002,0.0,0.0,0.0,0.0
2.923978508999994,0.0,0.0,0.0,0.0
2.9484301629999834,0.0,0.0,0.0,0.0
2.967437412999999,0.0,0.0,0.0,0.0
2.9901878029999978,0.0,0.0,0.0,0.0
3.01135731399998,0.0,0.0,0.0,0.0
3.0351368649999984,0.0,0.0,0.0,0.0
3.0560679419999985,0.0,0.0,0.0,0.0
3.0782218139999884,0.0,0.0,0.0,0.0
3.100116770999989,0.0,0.0,0.0,0.0
3.121346378999988,0.0,0.0,0.0,0.0
3.146143250999984,0.0,0.0,0.0,0.0
3.165374407999991,0.0,0.0,0.0,0.0
3.18731653399999,0.0,0.0,0.0,0.0
3.209460774000007,0.0,0.0,0.0,0.0
3.232036762000007,0.0,0.0,0.0,0.0
3.25651375999999,0.0,0.0,0.0,0.0
3.2754342899999926,0.0,0.0,0.0,0.0
3.2973025269999994,0.0,0.0,0.0,0.0
3.319313773999994,0.0,0.0,0.0,0.0
