t,left_target,left_actual,right_target,right_actual,left_pwm,right_pwm
0.0011327339998388197,0.0,0.0,0.0,0.0,0.0,0.0
0.02448930599985033,0.0,0.0,0.0,0.0,0.0,0.0
0.04477462999989257,0.0,0.0,0.0,0.0,0.0,0.0
0.06676588599998468,0.0,0.0,0.0,0.0,0.0,0.0
0.08948903399982555,0.0,0.0,0.0,0.0,0.0,0.0
0.11152118699988023,0.0,0.0,0.0,0.0,0.0,0.0
0.13370384099994226,0.0,0.0,0.0,0.0,0.0,0.0
0.1547365769999942,0.0,0.0,0.0,0.0,0.0,0.0
0.17679449100000966,0.0,0.0,0.0,0.0,0.0,0.0
0.1995315589999791,0.0,0.0,0.0,0.0,0.0,0.0
0.22246165499996096,0.0,0.0,0.0,0.0,0.0,0.0
0.24466235699992467,0.0,0.0,0.0,0.0,0.0,0.0
0.2656516039999133,0.0,0.0,0.0,0.0,0.0,0.0
0.28822063499978867,0.0,0.0,0.0,0.0,0.0,0.0
0.3103561839998292,0.0,0.0,0.0,0.0,0.0,0.0
0.3324771069999315,0.0,0.0,0.0,0.0,0.0,0.0
0.35621317699997235,0.0,0.0,0.0,0.0,0.0,0.0
0.37579323499994643,0.0,0.0,0.0,0.0,0.0,0.0
0.3983446659999572,0.0,0.0,0.0,0.0,0.0,0.0
0.42146471999990354,0.0,0.0,0.0,0.0,0.0,0.0
0.44443801799980065,0.0,0.0,0.0,0.0,0.0,0.0
0.4647360789999766,0.0,0.0,0.0,0.0,0.0,0.0
0.48676221599998826,0.0,0.0,0.0,0.0,0.0,0.0
0.5094199860000117,0.0,0.0,0.0,0.0,0.0,0.0
0.5313753369998722,0.0,0.0,0.0,0.0,0.0,0.0
0.5537385069999345,0.0,0.0,0.0,0.0,0.0,0.0
0.5747286819998862,0.0,0.0,0.0,0.0,0.0,0.0
0.5967538589998185,0.0,0.0,0.0,0.0,0.0,0.0
0.6203558459999385,0.0,0.0,0.0,0.0,0.0,0.0
0.6411830719998761,0.0,0.0,0.0,0.0,0.0,0.0
0.6646634549999817,0.0,0.0,0.0,0.0,0.0,0.0
0.6857161269999779,0.0,0.0,0.0,0.0,0.0,0.0
