# Navigation Metrics Summary
nav_result,SUCCEEDED
start_x_m,2.7221
start_y_m,1.9228
start_yaw_deg,-126.02
goal_x_m,1.5458
goal_y_m,0.3053
goal_yaw_deg,-36.02
goal_dist_m,2.0
final_x_m,1.5593
final_y_m,0.3503
final_yaw_deg,-23.74
delta_x_m,+0.0135
delta_y_m,+0.0450
delta_yaw_deg,+12.29
cte_peak_m,0.0692
cte_avg_m,0.0379
cte_samples,182
actual_path_pts,182
plan_waypoints,16

"# Actual path driven (TF map->base_link, map frame)"
actual_x_m,actual_y_m
2.7110,1.9074
2.7108,1.9071
2.7108,1.9071
2.7108,1.9071
2.7106,1.9068
2.7106,1.9068
2.7108,1.9070
2.7108,1.9071
2.7108,1.9071
2.7102,1.9063
2.7096,1.9056
2.7088,1.9046
2.7083,1.9041
2.7083,1.9041
2.7069,1.9024
2.7040,1.8990
2.7009,1.8954
2.6967,1.8905
2.6933,1.8866
2.6884,1.8810
2.6884,1.8810
2.6746,1.8654
2.6662,1.8560
2.6575,1.8465
2.6480,1.8365
2.6384,1.8264
2.6275,1.8150
2.6154,1.8027
2.6041,1.7913
2.6041,1.7913
2.5817,1.7693
2.5701,1.7581
2.5701,1.7581
2.5470,1.7368
2.5351,1.7259
2.5351,1.7259
2.5133,1.7124
2.5016,1.7064
2.5016,1.7064
2.4780,1.6897
2.4654,1.6797
2.4532,1.6703
2.4414,1.6617
2.4293,1.6528
2.4293,1.6528
2.4062,1.6381
2.3940,1.6312
2.3940,1.6312
2.3738,1.6184
2.3629,1.6112
2.3518,1.6040
2.3426,1.5978
2.3318,1.5909
2.3209,1.5825
2.3119,1.5704
2.3016,1.5571
2.3016,1.5571
2.2912,1.5455
2.2798,1.5379
2.2682,1.5304
2.2452,1.5155
2.2333,1.5079
2.2218,1.4993
2.2140,1.4881
2.2051,1.4757
2.1957,1.4637
2.1860,1.4571
2.1860,1.4571
2.1632,1.4421
2.1516,1.4344
2.1400,1.4267
2.1276,1.4186
2.1276,1.4186
2.1136,1.4098
2.0825,1.3906
2.0708,1.3829
2.0590,1.3749
2.0590,1.3749
2.0353,1.3588
2.0244,1.3508
2.0127,1.3424
2.0013,1.3311
1.9900,1.3200
1.9900,1.3200
1.9785,1.3086
1.9673,1.3004
1.9562,1.2919
1.9350,1.2755
1.9253,1.2678
1.9149,1.2595
1.9149,1.2595
1.9029,1.2397
1.9029,1.2397
1.8971,1.2289
1.8789,1.2120
1.8789,1.2120
1.8602,1.1943
1.8503,1.1851
1.8411,1.1760
1.8411,1.1760
1.8283,1.1586
1.8224,1.1497
1.8140,1.1403
1.8058,1.1316
1.7968,1.1219
1.7879,1.1121
1.7879,1.1121
1.7703,1.0926
1.7703,1.0926
1.7520,1.0750
1.7520,1.0750
1.7329,1.0558
1.7329,1.0558
1.7249,1.0468
1.7066,1.0262
1.7066,1.0262
1.6869,1.0039
1.6869,1.0039
1.6599,0.9843
1.6452,0.9741
1.6342,0.9631
1.6342,0.9631
1.6146,0.9401
1.6049,0.9285
1.6049,0.9285
1.5869,0.9072
1.5772,0.8954
1.5772,0.8954
1.5667,0.8832
1.5473,0.8596
1.5383,0.8486
1.5290,0.8372
1.5195,0.8256
1.5195,0.8256
1.5005,0.8017
1.5005,0.8017
1.4938,0.7911
1.4858,0.7728
1.4785,0.7613
1.4698,0.7486
1.4606,0.7356
1.4510,0.7220
1.4510,0.7220
1.4347,0.6946
1.4271,0.6811
1.4206,0.6656
1.4146,0.6509
1.4146,0.6509
1.4044,0.6221
1.3994,0.6075
1.3949,0.5927
1.3929,0.5794
1.3901,0.5647
1.3888,0.5517
1.3900,0.5393
1.3917,0.5283
1.3935,0.5160
1.3954,0.5020
1.3954,0.5020
1.4007,0.4741
1.4046,0.4608
1.4046,0.4608
1.4163,0.4375
1.4291,0.4286
1.4425,0.4228
1.4531,0.4165
1.4602,0.4087
1.4683,0.4013
1.4683,0.4013
1.4803,0.3880
1.4862,0.3810
1.4930,0.3750
1.4986,0.3728
1.5065,0.3697
1.5148,0.3662
1.5220,0.3597
1.5309,0.3533
1.5309,0.3533
1.5440,0.3488
1.5478,0.3508
1.5478,0.3508
1.5593,0.3503

# Nav2 global plan waypoints (from /plan)
plan_x_m,plan_y_m
2.6700,1.9500
2.5701,1.8484
2.4694,1.7477
2.3686,1.6469
2.2679,1.5461
2.1671,1.4453
2.0664,1.3446
1.9657,1.2438
1.8649,1.1430
1.7642,1.0422
1.6635,0.9414
1.5627,0.8407
1.4739,0.7303
1.4421,0.5928
1.4767,0.4559
1.5700,0.3500
