# Navigation Metrics Summary
nav_result,SUCCEEDED
start_x_m,2.9243
start_y_m,2.4985
start_yaw_deg,-120.35
goal_x_m,1.9138
goal_y_m,0.7725
goal_yaw_deg,-75.35
goal_dist_m,2.0
final_x_m,1.8697
final_y_m,0.7082
final_yaw_deg,-78.57
delta_x_m,-0.0442
delta_y_m,-0.0643
delta_yaw_deg,-3.22
cte_peak_m,0.1037
cte_avg_m,0.0533
cte_samples,199
actual_path_pts,200
plan_waypoints,15

"# Actual path driven (TF map->base_link, map frame)"
actual_x_m,actual_y_m
2.9138,2.4797
2.9138,2.4798
2.9136,2.4794
2.9136,2.4794
2.9136,2.4794
2.9136,2.4793
2.9139,2.4800
2.9136,2.4794
2.9132,2.4787
2.9125,2.4775
2.9115,2.4757
2.9104,2.4738
2.9087,2.4709
2.9062,2.4666
2.9062,2.4666
2.8994,2.4551
2.8955,2.4485
2.8911,2.4411
2.8856,2.4318
2.8807,2.4235
2.8759,2.4153
2.8711,2.4072
2.8711,2.4072
2.8663,2.3992
2.8578,2.3847
2.8531,2.3768
2.8531,2.3768
2.8448,2.3626
2.8403,2.3550
2.8357,2.3472
2.8357,2.3472
2.8272,2.3327
2.8272,2.3327
2.8188,2.3184
2.8139,2.3101
2.8139,2.3101
2.8086,2.2943
2.8060,2.2857
2.8060,2.2857
2.7953,2.2666
2.7894,2.2564
2.7894,2.2564
2.7785,2.2374
2.7725,2.2270
2.7659,2.2155
2.7602,2.2057
2.7540,2.1950
2.7492,2.1856
2.7459,2.1783
2.7419,2.1700
2.7419,2.1700
2.7322,2.1527
2.7268,2.1434
2.7214,2.1340
2.7214,2.1340
2.7112,2.1163
2.7112,2.1163
2.7010,2.0985
2.6954,2.0886
2.6922,2.0791
2.6910,2.0705
2.6897,2.0608
2.6897,2.0608
2.6855,2.0495
2.6748,2.0291
2.6694,2.0187
2.6694,2.0187
2.6593,1.9985
2.6540,1.9879
2.6480,1.9764
2.6423,1.9653
2.6372,1.9545
2.6340,1.9469
2.6295,1.9369
2.6295,1.9369
2.6242,1.9263
2.6177,1.9140
2.6117,1.9026
2.5994,1.8792
2.5994,1.8792
2.5933,1.8676
2.5806,1.8473
2.5737,1.8368
2.5737,1.8368
2.5610,1.8155
2.5546,1.8043
2.5478,1.7927
2.5419,1.7828
2.5353,1.7716
2.5293,1.7602
2.5293,1.7602
2.5204,1.7381
2.5204,1.7381
2.5088,1.7163
2.5019,1.7050
2.5019,1.7050
2.4950,1.6937
2.4814,1.6716
2.4814,1.6716
2.4724,1.6601
2.4604,1.6491
2.4373,1.6266
2.4293,1.6149
2.4212,1.6034
2.4130,1.5917
2.4055,1.5811
2.3975,1.5700
2.3975,1.5700
2.3778,1.5456
2.3778,1.5456
2.3681,1.5343
2.3578,1.5221
2.3433,1.5026
2.3433,1.5026
2.3268,1.4806
2.3186,1.4698
2.3110,1.4596
2.3110,1.4596
2.3029,1.4467
2.2976,1.4389
2.2892,1.4280
2.2800,1.4162
2.2715,1.4055
2.2630,1.3947
2.2552,1.3849
2.2552,1.3849
2.2464,1.3739
2.2326,1.3538
2.2252,1.3429
2.2252,1.3429
2.2094,1.3224
2.2094,1.3224
2.1930,1.3014
2.1848,1.2908
2.1848,1.2908
2.1764,1.2806
2.1551,1.2698
2.1439,1.2636
2.1358,1.2536
2.1277,1.2438
2.1194,1.2338
2.1194,1.2338
2.1113,1.2239
2.0947,1.2035
2.0874,1.1938
2.0792,1.1828
2.0720,1.1729
2.0720,1.1729
2.0644,1.1633
2.0575,1.1542
2.0421,1.1344
2.0350,1.1253
2.0268,1.1147
2.0203,1.1014
2.0149,1.0879
2.0086,1.0730
2.0003,1.0607
2.0003,1.0607
1.9830,1.0369
1.9744,1.0250
1.9665,1.0128
1.9582,1.0007
1.9582,1.0007
1.9426,0.9788
1.9426,0.9788
1.9271,0.9546
1.9206,0.9420
1.9134,0.9289
1.9134,0.9289
1.9009,0.9036
1.8953,0.8914
1.8917,0.8761
1.8884,0.8570
1.8859,0.8393
1.8819,0.8242
1.8767,0.8079
1.8727,0.7937
1.8695,0.7813
1.8667,0.7669
1.8646,0.7551
1.8652,0.7478
1.8674,0.7422
1.8698,0.7380
1.8707,0.7337
1.8707,0.7337
1.8705,0.7198
1.8705,0.7198
1.8722,0.7139
1.8733,0.7110
1.8739,0.7094
1.8740,0.7075
1.8742,0.7065
1.8749,0.7071
1.8760,0.7086
1.8760,0.7086
1.8774,0.7106
1.8737,0.7100
1.8709,0.7090
1.8696,0.7087
1.8697,0.7082

# Nav2 global plan waypoints (from /plan)
plan_x_m,plan_y_m
2.8700,2.4500
2.7918,2.3305
2.7132,2.2114
2.6346,2.0922
2.5560,1.9730
2.4774,1.8538
2.3987,1.7347
2.3201,1.6155
2.2415,1.4963
2.1629,1.3771
2.0843,1.2580
2.0056,1.1388
1.9270,1.0196
1.8666,0.8914
1.8700,0.7500
