# Navigation Metrics Summary
nav_result,SUCCEEDED
start_x_m,2.5994
start_y_m,2.6417
start_yaw_deg,-105.42
goal_x_m,2.0676
goal_y_m,0.7137
goal_yaw_deg,209.58
goal_dist_m,2.0
final_x_m,2.1916
final_y_m,0.7522
final_yaw_deg,-137.19
delta_x_m,+0.1240
delta_y_m,+0.0385
delta_yaw_deg,+13.23
cte_peak_m,0.1958
cte_avg_m,0.1055
cte_samples,309
actual_path_pts,309
plan_waypoints,15

"# Actual path driven (TF map->base_link, map frame)"
actual_x_m,actual_y_m
2.5978,2.6339
2.5978,2.6339
2.5977,2.6338
2.5977,2.6338
2.5977,2.6338
2.5978,2.6339
2.5978,2.6339
2.5978,2.6339
2.5975,2.6331
2.5973,2.6320
2.5970,2.6309
2.5970,2.6310
2.5968,2.6303
2.5968,2.6303
2.5956,2.6259
2.5946,2.6220
2.5946,2.6220
2.5918,2.6114
2.5907,2.6074
2.5907,2.6074
2.5868,2.5925
2.5847,2.5846
2.5826,2.5767
2.5802,2.5677
2.5802,2.5677
2.5778,2.5590
2.5727,2.5403
2.5703,2.5310
2.5703,2.5310
2.5677,2.5213
2.5626,2.5026
2.5599,2.4927
2.5599,2.4927
2.5543,2.4714
2.5543,2.4714
2.5489,2.4507
2.5465,2.4410
2.5465,2.4410
2.5440,2.4312
2.5417,2.4221
2.5398,2.4141
2.5377,2.4050
2.5338,2.3880
2.5338,2.3880
2.5323,2.3746
2.5327,2.3696
2.5327,2.3696
2.5315,2.3575
2.5302,2.3504
2.5302,2.3504
2.5277,2.3366
2.5265,2.3297
2.5253,2.3226
2.5242,2.3155
2.5242,2.3155
2.5234,2.3100
2.5223,2.3028
2.5205,2.2900
2.5195,2.2824
2.5164,2.2765
2.5129,2.2696
2.5129,2.2696
2.5087,2.2556
2.5079,2.2488
2.5071,2.2418
2.5064,2.2350
2.5056,2.2278
2.5049,2.2209
2.5049,2.2209
2.5038,2.2078
2.5032,2.2009
2.5026,2.1934
2.5021,2.1884
2.5015,2.1811
2.5015,2.1811
2.5002,2.1640
2.4995,2.1555
2.4995,2.1555
2.4983,2.1363
2.4978,2.1273
2.4972,2.1168
2.4970,2.1087
2.4970,2.1087
2.4967,2.0985
2.4964,2.0898
2.4957,2.0730
2.4955,2.0651
2.4954,2.0591
2.4953,2.0516
2.4953,2.0516
2.4950,2.0376
2.4949,2.0302
2.4948,2.0228
2.4947,2.0156
2.4946,2.0081
2.4945,2.0000
2.4945,1.9915
2.4944,1.9830
2.4944,1.9830
2.4946,1.9709
2.4948,1.9647
2.4948,1.9647
2.4948,1.9482
2.4948,1.9397
2.4948,1.9318
2.4948,1.9242
2.4948,1.9242
2.4948,1.9164
2.4949,1.9090
2.4949,1.8975
2.4949,1.8975
2.4950,1.8857
2.4950,1.8857
2.4951,1.8794
2.4952,1.8660
2.4952,1.8660
2.4975,1.8544
2.5017,1.8502
2.5017,1.8502
2.5083,1.8416
2.5085,1.8356
2.5085,1.8356
2.5088,1.8231
2.5088,1.8231
2.5091,1.8096
2.5091,1.8096
2.5093,1.8031
2.5096,1.7918
2.5096,1.7918
2.5099,1.7789
2.5101,1.7718
2.5101,1.7718
2.5105,1.7578
2.5107,1.7506
2.5107,1.7506
2.5092,1.7382
2.5080,1.7334
2.5080,1.7334
2.5073,1.7204
2.5074,1.7136
2.5074,1.7136
2.5075,1.7034
2.5076,1.6984
2.5076,1.6984
2.5077,1.6900
2.5077,1.6858
2.5077,1.6858
2.5077,1.6790
2.5077,1.6765
2.5077,1.6765
2.5077,1.6702
2.5077,1.6702
2.5070,1.6643
2.5048,1.6643
2.5026,1.6634
2.5009,1.6608
2.5008,1.6560
2.5006,1.6523
2.5006,1.6523
2.5001,1.6416
2.4998,1.6359
2.4995,1.6292
2.4995,1.6292
2.4987,1.6138
2.4982,1.6070
2.4982,1.6070
2.4975,1.5942
2.4971,1.5881
2.4968,1.5822
2.4963,1.5763
2.4963,1.5763
2.4959,1.5703
2.4954,1.5646
2.4948,1.5559
2.4944,1.5495
2.4940,1.5447
2.4936,1.5398
2.4936,1.5398
2.4930,1.5330
2.4926,1.5290
2.4926,1.5290
2.4860,1.5269
2.4825,1.5251
2.4820,1.5206
2.4815,1.5167
2.4809,1.5115
2.4809,1.5115
2.4796,1.5001
2.4788,1.4938
2.4780,1.4865
2.4780,1.4865
2.4772,1.4801
2.4756,1.4661
2.4748,1.4597
2.4740,1.4530
2.4732,1.4464
2.4724,1.4397
2.4717,1.4336
2.4711,1.4285
2.4711,1.4285
2.4700,1.4193
2.4694,1.4145
2.4694,1.4145
2.4684,1.4074
2.4679,1.4034
2.4679,1.4034
2.4671,1.3966
2.4671,1.3966
2.4750,1.3849
2.4750,1.3849
2.4803,1.3725
2.4800,1.3692
2.4800,1.3692
2.4796,1.3642
2.4791,1.3588
2.4780,1.3461
2.4774,1.3387
2.4768,1.3322
2.4762,1.3243
2.4762,1.3243
2.4747,1.3072
2.4747,1.3072
2.4740,1.2992
2.4733,1.2919
2.4725,1.2828
2.4719,1.2753
2.4713,1.2692
2.4704,1.2571
2.4700,1.2526
2.4700,1.2526
2.4693,1.2442
2.4690,1.2402
2.4687,1.2371
2.4685,1.2336
2.4666,1.2303
2.4666,1.2303
2.4612,1.2256
2.4612,1.2256
2.4598,1.2218
2.4591,1.2140
2.4591,1.2140
2.4586,1.2093
2.4576,1.1991
2.4576,1.1991
2.4568,1.1916
2.4561,1.1847
2.4544,1.1685
2.4534,1.1606
2.4525,1.1524
2.4525,1.1524
2.4500,1.1346
2.4500,1.1346
2.4474,1.1169
2.4460,1.1084
2.4446,1.0996
2.4446,1.0996
2.4417,1.0838
2.4400,1.0750
2.4383,1.0662
2.4367,1.0585
2.4348,1.0500
2.4318,1.0410
2.4265,1.0322
2.4211,1.0263
2.4161,1.0174
2.4131,1.0102
2.4131,1.0102
2.4097,1.0006
2.4019,0.9809
2.3979,0.9717
2.3934,0.9618
2.3934,0.9618
2.3839,0.9446
2.3773,0.9356
2.3773,0.9356
2.3684,0.9298
2.3487,0.9160
2.3413,0.9054
2.3347,0.8968
2.3347,0.8968
2.3269,0.8888
2.3135,0.8822
2.2999,0.8759
2.2813,0.8637
2.2813,0.8637
2.2694,0.8509
2.2694,0.8509
2.2604,0.8428
2.2527,0.8357
2.2392,0.8233
2.2392,0.8233
2.2353,0.8193
2.2310,0.8148
2.2321,0.8039
2.2321,0.7988
2.2321,0.7988
2.2240,0.7911
2.2198,0.7873
2.2198,0.7873
2.2157,0.7835
2.2108,0.7788
2.2067,0.7749
2.2068,0.7694
2.2064,0.7660
2.2064,0.7660
2.1978,0.7579
2.1945,0.7549
2.1916,0.7522
2.1916,0.7522

# Nav2 global plan waypoints (from /plan)
plan_x_m,plan_y_m
2.5700,2.6500
2.5404,2.5109
2.5113,2.3717
2.4822,2.2325
2.4531,2.0933
2.4240,1.9541
2.3949,1.8150
2.3658,1.6758
2.3367,1.5366
2.3076,1.3974
2.2784,1.2582
2.2493,1.1190
2.2202,0.9798
2.1721,0.8471
2.0700,0.7500
