# Navigation Metrics Summary
nav_result,SUCCEEDED
start_x_m,2.5074
start_y_m,2.4390
start_yaw_deg,-114.42
goal_x_m,1.6806
goal_y_m,0.6179
goal_yaw_deg,155.58
goal_dist_m,2.0
final_x_m,1.7227
final_y_m,0.7229
final_yaw_deg,167.74
delta_x_m,+0.0422
delta_y_m,+0.1050
delta_yaw_deg,+12.16
cte_peak_m,0.0938
cte_avg_m,0.0474
cte_samples,200
actual_path_pts,201
plan_waypoints,16

"# Actual path driven (TF map->base_link, map frame)"
actual_x_m,actual_y_m
2.5091,2.4398
2.5091,2.4398
2.5089,2.4394
2.5088,2.4394
2.5088,2.4393
2.5090,2.4397
2.5090,2.4397
2.5084,2.4385
2.5084,2.4385
2.5085,2.4387
2.5076,2.4370
2.5064,2.4348
2.5035,2.4294
2.5005,2.4237
2.5005,2.4237
2.4938,2.4111
2.4899,2.4038
2.4899,2.4038
2.4792,2.3838
2.4792,2.3838
2.4737,2.3735
2.4623,2.3518
2.4623,2.3518
2.4564,2.3406
2.4504,2.3292
2.4448,2.3182
2.4328,2.2948
2.4328,2.2948
2.4216,2.2718
2.4156,2.2595
2.4091,2.2450
2.4030,2.2319
2.3975,2.2196
2.3975,2.2196
2.3933,2.2101
2.3830,2.1861
2.3786,2.1747
2.3740,2.1630
2.3740,2.1630
2.3755,2.1410
2.3764,2.1281
2.3764,2.1281
2.3709,2.1091
2.3676,2.0987
2.3644,2.0884
2.3613,2.0788
2.3583,2.0689
2.3580,2.0592
2.3588,2.0505
2.3597,2.0411
2.3584,2.0317
2.3563,2.0230
2.3539,2.0124
2.3539,2.0124
2.3498,1.9940
2.3498,1.9940
2.3485,1.9884
2.3462,1.9780
2.3440,1.9680
2.3417,1.9570
2.3431,1.9342
2.3449,1.9218
2.3449,1.9218
2.3432,1.9006
2.3432,1.9006
2.3415,1.8897
2.3382,1.8669
2.3382,1.8669
2.3366,1.8554
2.3349,1.8435
2.3316,1.8201
2.3297,1.8067
2.3282,1.7958
2.3265,1.7831
2.3265,1.7831
2.3260,1.7715
2.3271,1.7479
2.3271,1.7479
2.3270,1.7363
2.3247,1.7137
2.3247,1.7137
2.3225,1.6922
2.3213,1.6815
2.3203,1.6714
2.3194,1.6624
2.3184,1.6522
2.3184,1.6522
2.3192,1.6432
2.3222,1.6365
2.3255,1.6288
2.3261,1.6095
2.3252,1.5990
2.3243,1.5884
2.3234,1.5788
2.3224,1.5679
2.3224,1.5679
2.3213,1.5567
2.3191,1.5349
2.3191,1.5349
2.3165,1.5125
2.3151,1.5007
2.3128,1.4873
2.3087,1.4700
2.3046,1.4541
2.3010,1.4392
2.2987,1.4273
2.2987,1.4273
2.2963,1.4151
2.2918,1.3915
2.2918,1.3915
2.2865,1.3664
2.2837,1.3540
2.2837,1.3540
2.2787,1.3318
2.2757,1.3202
2.2727,1.3083
2.2727,1.3083
2.2751,1.2905
2.2801,1.2846
2.2837,1.2768
2.2837,1.2768
2.2812,1.2662
2.2784,1.2549
2.2730,1.2341
2.2730,1.2341
2.2700,1.2230
2.2670,1.2119
2.2609,1.1892
2.2609,1.1892
2.2549,1.1682
2.2523,1.1598
2.2523,1.1598
2.2472,1.1435
2.2443,1.1342
2.2443,1.1342
2.2386,1.1166
2.2386,1.1166
2.2337,1.1011
2.2308,1.0924
2.2275,1.0827
2.2275,1.0827
2.2243,1.0731
2.2211,1.0440
2.2211,1.0440
2.2159,1.0188
2.2159,1.0188
2.2086,0.9987
2.2047,0.9882
2.2005,0.9781
2.1965,0.9681
2.1920,0.9568
2.1920,0.9568
2.1842,0.9375
2.1846,0.9279
2.1846,0.9279
2.1873,0.9112
2.1832,0.9005
2.1776,0.8897
2.1724,0.8789
2.1668,0.8679
2.1668,0.8679
2.1542,0.8471
2.1476,0.8365
2.1409,0.8267
2.1409,0.8267
2.1214,0.8074
2.1214,0.8074
2.0971,0.7954
2.0971,0.7954
2.0768,0.7753
2.0671,0.7659
2.0671,0.7659
2.0573,0.7569
2.0471,0.7484
2.0255,0.7336
2.0255,0.7336
2.0058,0.7271
2.0058,0.7271
1.9940,0.7208
1.9818,0.7139
1.9700,0.7076
1.9528,0.7087
1.9443,0.7108
1.9443,0.7108
1.9338,0.7085
1.9210,0.7044
1.8969,0.7033
1.8855,0.7081
1.8726,0.7134
1.8613,0.7144
1.8497,0.7134
1.8381,0.7127
1.8212,0.7134
1.8010,0.7148
1.7808,0.7172
1.7660,0.7185
1.7660,0.7185
1.7564,0.7188
1.7456,0.7199
1.7227,0.7229
1.7227,0.7229

# Nav2 global plan waypoints (from /plan)
plan_x_m,plan_y_m
2.4700,2.4500
2.4281,2.3117
2.3953,2.1704
2.3624,2.0292
2.3296,1.8879
2.2967,1.7467
2.2638,1.6054
2.2310,1.4642
2.1981,1.3229
2.1652,1.1817
2.1324,1.0405
2.0995,0.8992
2.0514,0.7633
1.9486,0.6631
1.8109,0.6222
1.6700,0.6500
