# Navigation Metrics Summary
nav_result,SUCCEEDED
start_x_m,2.6321
start_y_m,2.9412
start_yaw_deg,-114.27
goal_x_m,1.8099
goal_y_m,1.1180
goal_yaw_deg,-114.27
goal_dist_m,2.0
final_x_m,1.8267
final_y_m,1.2525
final_yaw_deg,-112.84
delta_x_m,+0.0168
delta_y_m,+0.1345
delta_yaw_deg,+1.43
cte_peak_m,0.0311
cte_avg_m,0.0156
cte_samples,253
actual_path_pts,255
plan_waypoints,15

"# Actual path driven (TF map->base_link, map frame)"
actual_x_m,actual_y_m
2.6303,2.9357
2.6302,2.9355
2.6302,2.9354
2.6302,2.9356
2.6302,2.9356
2.6302,2.9355
2.6302,2.9355
2.6302,2.9355
2.6302,2.9355
2.6300,2.9350
2.6298,2.9346
2.6298,2.9346
2.6295,2.9340
2.6281,2.9311
2.6281,2.9311
2.6265,2.9277
2.6265,2.9277
2.6224,2.9189
2.6194,2.9126
2.6163,2.9058
2.6132,2.8991
2.6096,2.8915
2.6096,2.8915
2.6060,2.8836
2.6014,2.8737
2.5928,2.8553
2.5892,2.8471
2.5848,2.8374
2.5806,2.8279
2.5763,2.8183
2.5722,2.8092
2.5722,2.8092
2.5685,2.8007
2.5617,2.7841
2.5617,2.7841
2.5584,2.7762
2.5531,2.7628
2.5531,2.7628
2.5476,2.7484
2.5447,2.7406
2.5447,2.7406
2.5418,2.7319
2.5398,2.7090
2.5398,2.7090
2.5356,2.6897
2.5328,2.6817
2.5303,2.6746
2.5277,2.6672
2.5277,2.6672
2.5254,2.6606
2.5228,2.6531
2.5191,2.6422
2.5191,2.6422
2.5163,2.6342
2.5112,2.6204
2.5112,2.6204
2.5086,2.6126
2.5060,2.6044
2.5031,2.5957
2.5004,2.5872
2.4976,2.5788
2.4947,2.5697
2.4923,2.5622
2.4874,2.5473
2.4874,2.5473
2.4852,2.5406
2.4814,2.5295
2.4790,2.5225
2.4790,2.5225
2.4763,2.5204
2.4742,2.5200
2.4712,2.5176
2.4688,2.5117
2.4668,2.5057
2.4619,2.4915
2.4595,2.4850
2.4595,2.4850
2.4542,2.4704
2.4519,2.4646
2.4493,2.4577
2.4466,2.4509
2.4437,2.4437
2.4437,2.4437
2.4394,2.4304
2.4394,2.4304
2.4381,2.4244
2.4368,2.4181
2.4331,2.4090
2.4307,2.4036
2.4307,2.4036
2.4264,2.3942
2.4264,2.3942
2.4234,2.3880
2.4176,2.3758
2.4176,2.3758
2.4144,2.3693
2.4109,2.3621
2.4063,2.3530
2.4026,2.3458
2.3990,2.3407
2.3960,2.3377
2.3925,2.3339
2.3852,2.3210
2.3817,2.3143
2.3817,2.3143
2.3744,2.3009
2.3744,2.3009
2.3673,2.2880
2.3673,2.2880
2.3653,2.2843
2.3621,2.2785
2.3588,2.2726
2.3556,2.2668
2.3522,2.2607
2.3452,2.2480
2.3452,2.2480
2.3414,2.2412
2.3319,2.2256
2.3272,2.2183
2.3223,2.2099
2.3200,2.2061
2.3161,2.1993
2.3161,2.1993
2.3089,2.1864
2.3089,2.1864
2.3052,2.1799
2.2978,2.1667
2.2978,2.1667
2.2907,2.1541
2.2907,2.1541
2.2844,2.1429
2.2844,2.1429
2.2816,2.1357
2.2809,2.1281
2.2794,2.1191
2.2769,2.1110
2.2692,2.0970
2.2692,2.0970
2.2615,2.0832
2.2574,2.0760
2.2534,2.0688
2.2497,2.0621
2.2497,2.0621
2.2419,2.0484
2.2419,2.0484
2.2332,2.0327
2.2332,2.0327
2.2299,2.0269
2.2277,2.0229
2.2212,2.0120
2.2212,2.0120
2.2188,2.0116
2.2157,2.0097
2.2119,2.0057
2.2031,1.9910
2.1983,1.9830
2.1983,1.9830
2.1930,1.9740
2.1832,1.9581
2.1780,1.9496
2.1780,1.9496
2.1667,1.9311
2.1613,1.9223
2.1613,1.9223
2.1515,1.9064
2.1475,1.8994
2.1430,1.8918
2.1430,1.8918
2.1384,1.8842
2.1313,1.8726
2.1313,1.8726
2.1232,1.8597
2.1232,1.8597
2.1161,1.8483
2.1119,1.8416
2.1079,1.8349
2.1036,1.8278
2.0996,1.8198
2.0996,1.8198
2.0967,1.8134
2.0884,1.7978
2.0843,1.7911
2.0801,1.7839
2.0756,1.7763
2.0756,1.7763
2.0713,1.7689
2.0670,1.7616
2.0594,1.7485
2.0553,1.7415
2.0512,1.7343
2.0512,1.7343
2.0434,1.7208
2.0409,1.7169
2.0409,1.7169
2.0374,1.7105
2.0340,1.7043
2.0340,1.7043
2.0263,1.6901
2.0263,1.6901
2.0227,1.6834
2.0168,1.6726
2.0132,1.6658
2.0132,1.6658
2.0093,1.6585
2.0015,1.6439
2.0015,1.6439
1.9936,1.6290
1.9936,1.6290
1.9835,1.6068
1.9785,1.5944
1.9747,1.5864
1.9747,1.5864
1.9665,1.5702
1.9665,1.5702
1.9596,1.5566
1.9596,1.5566
1.9523,1.5423
1.9523,1.5423
1.9464,1.5305
1.9430,1.5237
1.9430,1.5237
1.9393,1.5164
1.9359,1.5098
1.9335,1.5022
1.9298,1.4868
1.9298,1.4868
1.9267,1.4792
1.9244,1.4744
1.9175,1.4605
1.9175,1.4605
1.9137,1.4528
1.9062,1.4376
1.9062,1.4376
1.8975,1.4196
1.8935,1.4111
1.8895,1.4029
1.8895,1.4029
1.8855,1.3946
1.8817,1.3851
1.8782,1.3745
1.8712,1.3546
1.8712,1.3546
1.8651,1.3411
1.8618,1.3335
1.8618,1.3335
1.8579,1.3250
1.8508,1.3091
1.8508,1.3091
1.8452,1.2963
1.8420,1.2890
1.8391,1.2824
1.8391,1.2824
1.8336,1.2698
1.8336,1.2698
1.8291,1.2584

# Nav2 global plan waypoints (from /plan)
plan_x_m,plan_y_m
2.6700,2.9500
2.6058,2.8214
2.5415,2.6928
2.4772,2.5643
2.4129,2.4357
2.3486,2.3071
2.2843,2.1786
2.2200,2.0500
2.1557,1.9214
2.0914,1.7929
2.0271,1.6643
1.9628,1.5357
1.8985,1.4072
1.8342,1.2786
1.7700,1.1500
