# Navigation Metrics Summary
nav_result,SUCCEEDED
start_x_m,2.9993
start_y_m,2.5276
start_yaw_deg,-118.98
goal_x_m,2.0305
goal_y_m,0.7780
goal_yaw_deg,61.02
goal_dist_m,2.0
final_x_m,2.0398
final_y_m,0.6979
final_yaw_deg,56.62
delta_x_m,+0.0094
delta_y_m,-0.0800
delta_yaw_deg,-4.40
cte_peak_m,0.1220
cte_avg_m,0.0624
cte_samples,327
actual_path_pts,327
plan_waypoints,22

"# Actual path driven (TF map->base_link, map frame)"
actual_x_m,actual_y_m
2.9921,2.5146
2.9924,2.5152
2.9925,2.5153
2.9925,2.5153
2.9922,2.5148
2.9922,2.5148
2.9919,2.5144
2.9915,2.5136
2.9915,2.5136
2.9904,2.5118
2.9891,2.5097
2.9865,2.5054
2.9829,2.4994
2.9814,2.4969
2.9774,2.4904
2.9733,2.4837
2.9692,2.4769
2.9645,2.4692
2.9645,2.4692
2.9591,2.4605
2.9524,2.4499
2.9393,2.4291
2.9322,2.4181
2.9322,2.4181
2.9185,2.3970
2.9185,2.3970
2.9045,2.3772
2.8976,2.3673
2.8911,2.3586
2.8847,2.3498
2.8781,2.3411
2.8709,2.3318
2.8636,2.3225
2.8577,2.3178
2.8548,2.3177
2.8548,2.3177
2.8432,2.3065
2.8385,2.3011
2.8327,2.2944
2.8327,2.2944
2.8202,2.2804
2.8137,2.2735
2.8084,2.2684
2.8045,2.2653
2.7992,2.2607
2.7923,2.2540
2.7923,2.2540
2.7773,2.2390
2.7773,2.2390
2.7613,2.2240
2.7533,2.2166
2.7472,2.2110
2.7426,2.2069
2.7426,2.2069
2.7377,2.2023
2.7236,2.1901
2.7236,2.1901
2.7076,2.1768
2.7038,2.1738
2.6959,2.1673
2.6959,2.1673
2.6879,2.1610
2.6698,2.1464
2.6698,2.1464
2.6604,2.1407
2.6521,2.1372
2.6426,2.1325
2.6250,2.1201
2.6160,2.1133
2.6160,2.1133
2.6068,2.1063
2.5882,2.0927
2.5882,2.0927
2.5786,2.0857
2.5687,2.0785
2.5482,2.0648
2.5482,2.0648
2.5382,2.0596
2.5265,2.0532
2.5053,2.0402
2.5053,2.0402
2.4816,2.0251
2.4680,2.0176
2.4559,2.0107
2.4559,2.0107
2.4330,1.9982
2.4210,1.9919
2.4210,1.9919
2.3939,1.9745
2.3806,1.9646
2.3681,1.9571
2.3571,1.9516
2.3459,1.9462
2.3345,1.9409
2.3240,1.9357
2.3129,1.9306
2.3027,1.9270
2.3027,1.9270
2.2833,1.9239
2.2730,1.9210
2.2730,1.9210
2.2534,1.9120
2.2439,1.9077
2.2366,1.9041
2.2282,1.9001
2.2282,1.9001
2.2097,1.8990
2.2097,1.8990
2.1995,1.9000
2.1901,1.8997
2.1765,1.8928
2.1692,1.8891
2.1627,1.8854
2.1558,1.8816
2.1489,1.8777
2.1423,1.8735
2.1357,1.8694
2.1290,1.8649
2.1212,1.8588
2.1129,1.8521
2.1053,1.8458
2.0994,1.8415
2.0938,1.8372
2.0938,1.8372
2.0834,1.8289
2.0834,1.8289
2.0722,1.8193
2.0640,1.8114
2.0640,1.8114
2.0564,1.8036
2.0436,1.7909
2.0436,1.7909
2.0390,1.7867
2.0277,1.7758
2.0277,1.7758
2.0232,1.7713
2.0174,1.7654
2.0077,1.7494
2.0033,1.7416
2.0033,1.7416
1.9929,1.7301
1.9876,1.7241
1.9876,1.7241
1.9824,1.7181
1.9771,1.7121
1.9718,1.7058
1.9619,1.6942
1.9565,1.6877
1.9538,1.6826
1.9514,1.6779
1.9488,1.6728
1.9435,1.6663
1.9389,1.6607
1.9389,1.6607
1.9288,1.6482
1.9288,1.6482
1.9186,1.6354
1.9139,1.6294
1.9098,1.6242
1.9053,1.6185
1.9053,1.6185
1.9011,1.6131
