t,left,right
3.465242385864258,10.0,10.0
3.5143656730651855,20.0,20.0
3.5661096572875977,30.0,30.0
3.614560604095459,40.0,40.0
3.6654582023620605,46.0,50.0
3.7145836353302,45.0,60.0
3.7652382850646973,50.0,70.0
3.81431245803833,57.0,80.0
3.8642687797546387,62.0,90.0
3.9147863388061523,65.0,100.0
3.9671223163604736,69.0,110.0
4.014841079711914,70.0,120.0
4.067978620529175,72.0,130.0
4.114173412322998,68.0,140.0
4.164526462554932,68.0,150.0
4.2159013748168945,64.0,160.0
4.264922618865967,63.0,170.0
4.314613580703735,56.0,180.0
4.3678765296936035,52.0,187.0
4.4143922328948975,48.0,181.0
4.464486360549927,42.0,178.0
4.515104293823242,41.0,168.0
4.567418813705444,35.0,165.0
4.61505389213562,34.0,155.0
4.67011284828186,24.0,145.0
4.715736389160156,27.0,135.0
4.765243768692017,27.0,125.0
4.814661026000977,30.0,119.0
4.868406534194946,30.0,113.0
4.914850234985352,32.0,114.0
4.9642555713653564,36.0,109.0
5.01437520980835,42.0,109.0
5.066857099533081,50.0,100.0
5.114696025848389,47.0,107.0
5.167249917984009,54.0,103.0
5.214756011962891,60.0,103.0
5.267250299453735,64.0,101.0
5.3187642097473145,67.0,104.0
5.365861415863037,72.0,103.0
5.4143359661102295,77.0,98.0
5.464613676071167,83.0,91.0
5.514423847198486,82.0,86.0
5.564224720001221,80.0,86.0
5.614201068878174,75.0,85.0
5.665233373641968,74.0,86.0
5.717947483062744,72.0,87.0
5.764155864715576,72.0,85.0
5.814911365509033,70.0,78.0
5.865187883377075,63.0,80.0
5.91485333442688,56.0,84.0
5.970448970794678,46.0,90.0
6.015306234359741,36.0,91.0
6.064647197723389,31.0,90.0
6.114888906478882,30.0,88.0
6.164347410202026,27.0,90.0
6.215125322341919,29.0,96.0
6.265827894210815,28.0,99.0
6.314555406570435,31.0,106.0
6.36499810218811,31.0,112.0
6.414267063140869,33.0,117.0
6.46633243560791,34.0,121.0
6.515103816986084,35.0,124.0
6.564168453216553,37.0,126.0
6.6151580810546875,36.0,131.0
6.6646692752838135,37.0,133.0
6.714418888092041,40.0,126.0
6.7664783000946045,41.0,127.0
6.814756155014038,40.0,126.0
6.865325212478638,42.0,125.0
6.9145166873931885,42.0,124.0
6.964938402175903,43.0,122.0
7.015323877334595,42.0,120.0
7.065986633300781,41.0,119.0
7.12412428855896,42.0,119.0
7.1667609214782715,44.0,118.0
7.214113235473633,44.0,117.0
7.265348672866821,41.0,117.0
7.3146491050720215,41.0,120.0
7.366031646728516,40.0,117.0
7.414546012878418,41.0,118.0
7.466823577880859,38.0,117.0
7.515338182449341,37.0,120.0
7.5644145011901855,36.0,122.0
7.614906549453735,34.0,123.0
7.666342496871948,30.0,118.0
7.715067386627197,27.0,116.0
7.766950368881226,26.0,118.0
7.8145458698272705,25.0,108.0
7.8643317222595215,21.0,104.0
7.914911508560181,17.0,108.0
7.965311527252197,17.0,108.0
8.014695405960083,18.0,108.0
8.064410924911499,19.0,109.0
8.11433720588684,22.0,110.0
8.16453504562378,22.0,110.0
8.215454339981079,18.0,110.0
8.264944076538086,21.0,117.0
8.315728187561035,23.0,121.0
8.365553617477417,20.0,118.0
8.41439175605774,23.0,119.0
8.464245319366455,24.0,119.0
8.514687299728394,23.0,120.0
8.565850257873535,27.0,115.0
8.61515188217163,28.0,115.0
8.668049335479736,35.0,121.0
8.715176582336426,39.0,123.0
8.766116380691528,43.0,121.0
8.814860582351685,42.0,124.0
8.868187427520752,43.0,125.0
8.915895938873291,44.0,126.0
8.968612670898438,39.0,123.0
9.015820980072021,34.0,118.0
9.065457105636597,33.0,117.0
9.114540576934814,29.0,116.0
9.16900372505188,22.0,114.0
9.215046644210815,17.0,111.0
9.265967607498169,11.0,107.0
9.314528465270996,6.0,104.0
9.364238500595093,6.0,104.0
9.41483759880066,13.0,105.0
9.46530532836914,13.0,105.0
9.514802694320679,15.0,106.0
9.564960241317749,16.0,107.0
9.614996910095215,17.0,107.0
9.666216373443604,24.0,114.0
9.7164888381958,27.0,117.0
9.766830205917358,24.0,120.0
9.815519571304321,26.0,122.0
9.864888191223145,26.0,122.0
9.91493844985962,26.0,121.0
9.964883089065552,27.0,123.0
10.01543641090393,28.0,124.0
10.06509256362915,28.0,120.0
10.11515212059021,29.0,122.0
10.166099071502686,27.0,123.0
10.215147495269775,26.0,123.0
10.264631748199463,28.0,121.0
10.316605567932129,27.0,122.0
10.367458820343018,20.0,115.0
10.415156602859497,17.0,113.0
10.46948766708374,20.0,116.0
10.517887830734253,19.0,117.0
10.568159103393555,13.0,116.0
10.615200281143188,10.0,113.0
10.666541337966919,11.0,115.0
10.71535611152649,10.0,115.0
10.765209436416626,13.0,114.0
10.814666748046875,13.0,115.0
10.864595413208008,17.0,107.0
10.916058778762817,15.0,105.0
10.966243505477905,15.0,110.0
11.015168190002441,18.0,113.0
11.065269231796265,19.0,123.0
11.115464210510254,25.0,128.0
11.164360761642456,26.0,135.0
11.216110467910767,31.0,139.0
11.26504921913147,35.0,138.0
11.314837455749512,37.0,140.0
11.367697715759277,39.0,136.0
11.41443157196045,38.0,134.0
11.464340209960938,37.0,129.0
11.516023635864258,35.0,128.0
11.568156003952026,30.0,123.0
11.61501431465149,28.0,121.0
11.668410301208496,26.0,122.0
11.714745283126831,23.0,120.0
11.764281749725342,13.0,114.0
11.814840316772461,7.0,108.0
11.86437726020813,9.0,109.0
11.915209770202637,9.0,109.0
11.968368768692017,7.0,107.0
12.014875173568726,5.0,104.0
12.065964698791504,15.0,105.0
