timestamp,elapsed_s,x,y,yaw_deg,target_dist,target_angle
1779632226.6700618,0.007054567337036133,0.4962099860855054,0.002289104396272103,0.22862123364482898,0.5,0.0
1779632226.7081056,0.045098304748535156,0.49626370472850945,0.002837998742979051,-0.05887563358006556,0.5,0.0
1779632226.8483207,0.18531346321105957,0.4963999416704643,0.0033642611608394146,-0.3206844582765713,0.5,0.0
1779632226.8634503,0.20044302940368652,0.49645405088760153,0.0032917493963756234,-0.28865192955143815,0.5,0.0
1779632226.877203,0.21419572830200195,0.49634562476475436,0.003715085425515527,-0.5250479356055763,0.5,0.0
1779632226.918823,0.2558157444000244,0.49640406724946495,0.0036594331167527396,-0.4725617156813596,0.5,0.0
1779632226.9892893,0.3262820243835449,0.4966002158465217,0.004066276985186161,-0.6868783504872262,0.5,0.0
1779632227.0057635,0.3427562713623047,0.4967266483380786,0.00440962988671576,-0.8816359214306106,0.5,0.0
1779632227.083999,0.4209916591644287,0.49674849661607473,0.004284330121636738,-0.7933791686038072,0.5,0.0
1779632227.0952764,0.4322690963745117,0.4969161559858144,0.00462864673512981,-0.9756093621364121,0.5,0.0
1779632227.1755438,0.5125365257263184,0.49699352752906506,0.004976261925772699,-1.1460671963864921,0.5,0.0
1779632227.1881027,0.5250954627990723,0.4968865416576618,0.004768403610781239,-1.0317593760426638,0.5,0.0
1779632227.3283935,0.6653861999511719,0.4968858754722732,0.005017219215203915,-1.1930704750191063,0.5,0.0
1779632227.3367229,0.6737155914306641,0.496888077785683,0.005293626977387864,-1.338737552256873,0.5,0.0
1779632227.3530455,0.6900382041931152,0.4968896494408287,0.005028158803530636,-1.2048235211707032,0.5,0.0
1779632227.3916788,0.7286715507507324,0.49698886416187454,0.005327067340728263,-1.3476305424972868,0.5,0.0
1779632227.5185175,0.8555102348327637,0.49707130099765795,0.005605082656611007,-1.4812390204840002,0.5,0.0
1779632227.5334263,0.8704190254211426,0.49651385283065846,0.0047330776644907025,-1.1121485334564312,0.5,0.0
1779632227.5525224,0.8895151615142822,0.4964598126485798,0.004549098325474278,-1.0008669699105577,0.5,0.0
1779632227.622941,0.9599337577819824,0.4966222213137406,0.004867941384400112,-1.1627508357559264,0.5,0.0
1779632227.7043774,1.041370153427124,0.4955570691729608,0.004000034157231264,-0.7856163020626736,0.5,0.0
1779632227.7562582,1.0932509899139404,0.4956090450546499,0.004314899115400592,-0.96592507276473,0.5,0.0
1779632227.796771,1.1337637901306152,0.49595620623091574,0.004218493997750054,-0.879010760806583,0.5,0.0
1779632227.8445284,1.1815211772918701,0.4959667566525704,0.0045114076117542395,-1.0499067022458386,0.5,0.0
1779632227.893325,1.2303178310394287,0.49586913704586955,0.00531765425664693,-1.470501352237311,0.5,0.0
1779632227.9407706,1.2777633666992188,0.4960720782925762,0.0055357354165907445,-1.5868516300797788,0.5,0.0
1779632228.0403283,1.3773210048675537,0.4962405782446537,0.005793316183739313,-1.6967111288741024,0.5,0.0
1779632228.0498695,1.3868622779846191,0.49612273358537845,0.005500464473701424,-1.5255138723692159,0.5,0.0
1779632228.1804097,1.5174024105072021,0.4963003675763765,0.005700299276048389,-1.6363843153257451,0.5,0.0
1779632228.1912155,1.5282082557678223,0.4965970442855795,0.00539570366612851,-1.4728493527020978,0.5,0.0
1779632228.2091074,1.54610013961792,0.49662627761984807,0.005634425754225349,-1.590600847933145,0.5,0.0
1779632228.375851,1.712843656539917,0.49679439707660955,0.006361642294837617,-1.96006203643904,0.5,0.0
1779632228.386336,1.7233288288116455,0.49685209600345376,0.00596263230045364,-1.7633027885452925,0.5,0.0
1779632228.4023762,1.7393689155578613,0.49675743895913005,0.0056562916555445795,-1.5873564796141775,0.5,0.0
1779632228.433164,1.7701566219329834,0.49677354094105713,0.005868778930596516,-1.6936188325638017,0.5,0.0
1779632228.4704616,1.8074543476104736,0.4966887442253312,0.005571667056428574,-1.5245638897800522,0.5,0.0
1779632228.4852011,1.8221938610076904,0.49671287070670195,0.005792571248949959,-1.6371062793541955,0.5,0.0
1779632228.5230846,1.8600773811340332,0.4968213629739538,0.004991238054658058,-1.2095417857572321,0.5,0.0
1779632228.6062257,1.943218469619751,0.4969267737091383,0.005293849026964408,-1.3518834884219717,0.5,0.0
1779632228.6196704,1.9566631317138672,0.4969260270994955,0.0055424970843591555,-1.4816423279204705,0.5,0.0
1779632228.6569,1.9938926696777344,0.49692637111568555,0.005766278480374988,-1.5984520261448951,0.5,0.0
1779632228.7518628,2.088855504989624,0.4971618521971638,0.005508447938261278,-1.439742703489936,0.5,0.0
1779632228.7638607,2.100853443145752,0.49690682928586377,0.0056780310798203,-1.5581357146110903,0.5,0.0
1779632228.8967679,2.2337605953216553,0.4968117462851816,0.005399726521018019,-1.4024629385574308,0.5,0.0
1779632228.91031,2.247302770614624,0.49691571903394,0.005661490283917395,-1.5255060526431892,0.5,0.0
1779632228.9232578,2.2602505683898926,0.49677580764654405,0.0058393023402461995,-1.6336387842678184,0.5,0.0
1779632228.9585972,2.2955899238586426,0.49669636486986135,0.005991891377999816,-1.7264427436177179,0.5,0.0
1779632228.9966245,2.3336172103881836,0.4968169719587906,0.006194508892339764,-1.8171488774339952,0.5,0.0
1779632229.2268765,2.5638692378997803,0.4969254515082907,0.006325092692377656,-1.8989486473397776,0.5,0.0
1779632229.2421944,2.5791871547698975,0.49692449773573283,0.006470508546011017,-1.9739467491935723,0.5,0.0
1779632229.263157,2.600149631500244,0.496822355531347,0.006113167463586318,-1.7768113509095196,0.5,0.0
1779632229.367914,2.704906702041626,0.49692997941547723,0.00630362439937811,-1.862457765072919,0.5,0.0
1779632229.38199,2.718982696533203,0.49684302769735395,0.006463335184252253,-1.9338193961442247,0.5,0.0
1779632229.3996549,2.736647605895996,0.49693419410821316,0.00662742997848095,-2.0085897719379604,0.5,0.0
1779632229.4641218,2.801114559173584,0.4969289688142885,0.006228709750966391,-1.8077248380356112,0.5,0.0
1779632229.477779,2.8147716522216797,0.4970792432321344,0.006378535268943244,-1.888462687753435,0.5,0.0
1779632229.5665567,2.9035494327545166,0.4972977735306079,0.006576928893630565,-1.967225233756259,0.5,0.0
1779632229.6577003,2.9946930408477783,0.49725924363167245,0.006697267788132675,-2.0354514187175257,0.5,0.0
1779632229.6689599,3.0059525966644287,0.49732386355239255,0.006777487414558746,-2.095373839767269,0.5,0.0
1779632229.6846874,3.0216801166534424,0.497382800324045,0.006901446922600278,-2.149142469895162,0.5,0.0
1779632229.756141,3.0931336879730225,0.49743558904541596,0.006961194669590541,-2.1976724878397196,0.5,0.0
1779632229.7972906,3.1342833042144775,0.49748329403295366,0.007014931354693611,-2.241331921375994,0.5,0.0
1779632229.8104403,3.147433042526245,0.4974260608566599,0.00709157545954621,-2.2822139488194444,0.5,0.0
1779632229.894885,3.2318778038024902,0.4973757254679828,0.007160529525389529,-2.319023135465304,0.5,0.0
1779632229.9049737,3.241966485977173,0.4974288042405186,0.007194391729089904,-2.350567757269341,0.5,0.0
1779632230.04282,3.379812717437744,0.4973732888631184,0.006790614866374011,-2.115273578572581,0.5,0.0
1779632230.0553086,3.392301321029663,0.4974268181171246,0.006861456993427325,-2.1671935419575448,0.5,0.0
1779632230.0956469,3.4326395988464355,0.4972928431603453,0.00694101657883174,-2.2085918338947126,0.5,0.0
1779632230.111996,3.448988676071167,0.49735520012264184,0.006996721208011893,-2.2511377637565873,0.5,0.0
1779632230.1769502,3.5139429569244385,0.49730729394948103,0.006561094405413884,-2.0260335962631975,0.5,0.0
1779632230.1917207,3.5287134647369385,0.49736843804982556,0.006706773258294323,-2.086790580243638,0.5,0.0
1779632230.233057,3.57004976272583,0.4976616455293091,0.006844052258239771,-2.1441732514873473,0.5,0.0
1779632230.3794394,3.7164320945739746,0.49758450099087564,0.006937770973472562,-2.1947127814849106,0.5,0.0
1779632230.39511,3.732102632522583,0.4976034264004014,0.007003233728718188,-2.243632849810384,0.5,0.0
1779632230.4418724,3.778865098953247,0.49729479586427483,0.006565241443363283,-2.0190064137944783,0.5,0.0
1779632230.512197,3.8491897583007812,0.49725773209726165,0.0066867528973754645,-2.082085654322932,0.5,0.0
1779632230.5262034,3.8631961345672607,0.4972252984155864,0.006796107376361247,-2.1388787495838963,0.5,0.0
1779632230.5690744,3.906067132949829,0.49723945890940713,0.006378441453024264,-1.9232882678926337,0.5,0.0
1779632230.656058,3.9930508136749268,0.4972059347971195,0.0060043992785067495,-1.7308542920476686,0.5,0.0
1779632230.6703944,4.007387161254883,0.4971632470402772,0.005737075696875391,-1.5673087681111257,0.5,0.0
1779632230.7086928,4.045685529708862,0.49699882687806324,0.005959377685868969,-1.6714386732400937,0.5,0.0
