timestamp,status,x,z,yaw_rad
1779831428.897024,SUCCESS,0.003488,0.306993,0.030113
1779831431.130142,SUCCESS,-0.002529,0.306737,0.015723
1779831431.987242,SUCCESS,-0.015409,0.306772,-0.013736
1779831432.664771,SUCCESS,-0.029241,0.304766,-0.034432
1779831433.525222,SUCCESS,-0.047798,0.303286,-0.084010
1779831434.173924,SUCCESS,-0.061365,0.301543,-0.110342
1779831436.672777,SUCCESS,-0.067125,0.301376,-0.121577
1779831437.391493,SUCCESS,-0.062459,0.299578,-0.109054
1779831438.037261,SUCCESS,-0.041088,0.298575,-0.059943
1779831438.648992,SUCCESS,-0.013145,0.296443,0.024504
1779831439.133167,SUCCESS,0.000002,0.294170,0.062791
1779831441.457407,SUCCESS,0.015331,0.292201,0.111094
1779831441.944178,SUCCESS,0.024891,0.293575,0.136046
1779831443.203972,SUCCESS,0.028943,0.294280,0.143183
1779831444.083685,SUCCESS,0.023888,0.298557,0.126660
1779831444.914598,SUCCESS,0.022764,0.301947,0.122310
1779831445.761624,SUCCESS,0.026224,0.306084,0.126951
1779831448.011039,SUCCESS,0.025072,0.310738,0.144773
1779831448.565202,SUCCESS,0.013440,0.310926,0.114857
1779831449.028313,SUCCESS,-0.003218,0.312114,0.062519
1779831449.577597,SUCCESS,-0.021563,0.312616,0.036726
1779831450.004395,SUCCESS,-0.034799,0.311933,0.001357
1779831450.456237,SUCCESS,-0.056811,0.308841,-0.033277
1779831450.823394,SUCCESS,-0.077774,0.304899,-0.074638
1779831452.723966,SUCCESS,-0.078616,0.305410,-0.062713
1779831453.496334,SUCCESS,-0.066964,0.307521,-0.030893
1779831454.191080,SUCCESS,-0.054848,0.311697,-0.032357
1779831459.804226,SUCCESS,0.009526,0.282586,0.065398
1779831461.708810,SUCCESS,0.010563,0.281380,0.070283
1779831462.961248,SUCCESS,0.007591,0.281585,0.058158
1779831464.162442,SUCCESS,-0.000941,0.282526,0.049653
1779831464.872587,SUCCESS,-0.004182,0.282589,0.048621
1779831465.331439,SUCCESS,-0.011713,0.282295,0.040980
1779831466.608519,SUCCESS,-0.024539,0.281886,0.022098
1779831466.620047,SUCCESS,-0.024539,0.281886,0.022098
