pwm_left,pwm_right,linear_vel,angular_vel
0,0,-0.0007747291749405116,0.013385714285714287
0,40,-0.005489273303387111,0.01445714285714286
0,80,0.0031516453374078475,0.007966666666666667
0,120,0.0371019185435025,0.3357095238095238
0,130,0.050911702469546946,0.34846190476190475
0,140,0.048256480315520885,0.5474857142857142
0,150,0.0809870095795272,0.6215047619047619
0,160,0.08875297017683033,0.6235809523809523
0,170,0.09875434621266008,0.773447619047619
0,180,0.1053832699572799,0.8615428571428574
0,190,0.13229501918837538,1.0635523809523808
0,200,0.1320853100201219,1.2379857142857142
0,210,0.1473212980236151,1.3868047619047617
0,220,0.16017816692406542,1.3941952380952378
0,230,0.1642991974275756,1.5212333333333332
0,240,0.18749286281272087,1.7871428571428571
0,250,0.2054906492011084,1.8862952380952385
40,0,0.003626511808858839,0.015895238095238094
40,40,0.018972990827904573,-0.005480952380952382
40,80,0.07952970277054916,0.01825238095238095
40,120,0.10745324856654988,0.06122380952380953
40,130,0.1228130447062327,0.09844285714285714
40,140,0.1276924365912897,0.13754285714285716
40,150,0.12838181512539,0.1788952380952381
40,160,0.14699525003673605,0.2445952380952381
40,170,0.15481440461654214,0.3467142857142857
40,180,0.16845074313418643,0.4278095238095238
40,190,0.1672029921313749,0.5084100000000001
40,200,0.20583987783985128,0.6331619047619048
40,210,0.22540445881081372,0.77663
40,220,0.2191080410922185,0.855257142857143
40,230,0.22075916889560893,1.0130095238095236
40,240,0.24189031388095084,1.1198571428571429
40,250,0.2546371438461925,1.3154476190476192
80,0,0.010576440605348661,-0.029514285714285715
80,40,0.08274869536169616,-0.031071428571428576
80,80,0.13128031722464795,-0.009871428571428571
80,120,0.16446825833723147,0.03171904761904761
80,130,0.16238819417673966,0.0651095238095238
80,140,0.17964760933101503,0.06333809523809524
80,150,0.17926492636888328,0.10940476190476192
80,160,0.19191273357491787,0.09941904761904763
80,170,0.20820500713688425,0.141447619047619
80,180,0.2208598156220615,0.18324761904761905
80,190,0.22719431083505764,0.2591333333333332
80,200,0.21932728720208627,0.30091428571428575
80,210,0.26257981560890165,0.3799857142857143
80,220,0.25166021419735135,0.5035380952380952
80,230,0.268521596023641,0.5792428571428572
80,240,0.27480603434391027,0.6900857142857143
80,250,0.29827859106756954,0.8843428571428572
120,0,0.06566368504563173,-0.20325238095238096
120,40,0.12188464667909435,-0.057952380952380936
120,80,0.17646464294754252,-0.03996666666666667
120,120,0.20717940720619682,-0.03688095238095238
120,130,0.22120928442153828,0.012323809523809523
120,140,0.2238527131090883,0.012419047619047618
120,150,0.24051865835735758,0.04607619047619047
120,160,0.24580950244022573,0.07633809523809525
120,170,0.26437225208473103,0.08146190476190476
120,180,0.26191434869253544,0.10256666666666667
120,190,0.27552490995676215,0.12369047619047616
120,200,0.28207698962190697,0.14591904761904761
120,210,0.29842555953092736,0.20637142857142854
120,220,0.29835972925336146,0.26216666666666666
120,230,0.3132791933460527,0.3294761904761905
