elapsed_s,timestamp_iso,state,cpu_pct,ram_pct,gpu_pct,cmd_vel_x,cmd_vel_z
0.67,2026-05-25T18:47:24.749062,IDLE,65.5,55.5,0.0,0.0000,0.0000
1.17,2026-05-25T18:47:25.250684,IDLE,64.2,55.5,0.0,0.0000,0.0000
1.67,2026-05-25T18:47:25.748806,IDLE,58.0,55.6,0.0,0.0000,0.0000
2.17,2026-05-25T18:47:26.250452,IDLE,63.8,55.6,0.0,0.0000,0.0000
2.67,2026-05-25T18:47:26.750260,IDLE,62.2,55.6,0.0,0.0000,0.0000
3.17,2026-05-25T18:47:27.249737,IDLE,61.1,55.6,0.0,0.0000,0.0000
3.67,2026-05-25T18:47:27.749383,IDLE,68.0,55.6,0.0,0.0000,0.0000
4.17,2026-05-25T18:47:28.249512,IDLE,61.5,55.6,0.0,0.0000,0.0000
4.67,2026-05-25T18:47:28.750280,IDLE,64.4,55.6,0.0,0.0000,0.0000
5.17,2026-05-25T18:47:29.249249,IDLE,63.5,55.6,0.0,0.0000,0.0000
5.67,2026-05-25T18:47:29.748945,IDLE,66.3,55.6,0.0,0.0000,0.0000
6.17,2026-05-25T18:47:30.249815,IDLE,64.2,55.6,0.0,0.0000,0.0000
6.68,2026-05-25T18:47:30.758044,IDLE,62.7,55.6,0.0,0.0000,0.0000
7.17,2026-05-25T18:47:31.250687,IDLE,57.8,55.6,0.0,0.0000,0.0000
7.67,2026-05-25T18:47:31.749728,IDLE,66.9,55.6,0.0,0.0000,0.0000
8.17,2026-05-25T18:47:32.249393,IDLE,63.0,55.6,0.0,0.0000,0.0000
8.67,2026-05-25T18:47:32.749779,IDLE,61.8,55.6,0.0,0.0000,0.0000
9.17,2026-05-25T18:47:33.249282,IDLE,62.1,55.7,0.0,0.0000,0.0000
9.67,2026-05-25T18:47:33.747911,IDLE,62.7,55.6,0.0,0.0000,0.0000
10.19,2026-05-25T18:47:34.266005,IDLE,62.9,55.6,0.0,0.0000,0.0000
10.67,2026-05-25T18:47:34.748912,IDLE,61.2,55.6,0.0,0.0000,0.0000
11.17,2026-05-25T18:47:35.249308,IDLE,62.6,55.7,0.0,0.0000,0.0000
11.67,2026-05-25T18:47:35.749107,IDLE,63.2,55.7,0.0,0.0000,0.0000
12.17,2026-05-25T18:47:36.250076,IDLE,64.4,55.6,0.0,0.0000,0.0000
12.67,2026-05-25T18:47:36.750142,IDLE,62.3,55.6,0.0,0.0000,0.0000
13.17,2026-05-25T18:47:37.250039,IDLE,62.7,55.7,0.0,0.0000,0.0000
13.67,2026-05-25T18:47:37.748967,IDLE,59.6,55.7,0.0,0.0000,0.0000
14.17,2026-05-25T18:47:38.249738,IDLE,64.0,55.7,0.0,0.0000,0.0000
14.67,2026-05-25T18:47:38.749558,IDLE,63.1,55.7,0.0,0.0000,0.0000
15.17,2026-05-25T18:47:39.252514,IDLE,62.9,55.7,0.0,0.0000,0.0000
15.67,2026-05-25T18:47:39.748487,IDLE,67.5,55.7,0.0,0.0000,0.0000
16.17,2026-05-25T18:47:40.250544,IDLE,63.3,55.7,0.0,0.0000,0.0000
16.67,2026-05-25T18:47:40.751801,IDLE,66.0,55.7,0.0,0.0000,0.0000
17.17,2026-05-25T18:47:41.249383,IDLE,63.0,55.7,0.0,0.0000,0.0000
17.67,2026-05-25T18:47:41.748040,IDLE,63.2,55.7,0.0,0.0000,0.0000
18.17,2026-05-25T18:47:42.250642,IDLE,64.5,55.7,0.0,0.0000,0.0000
18.67,2026-05-25T18:47:42.749385,IDLE,65.8,55.7,0.0,0.0000,0.0000
19.17,2026-05-25T18:47:43.250823,IDLE,61.8,55.7,0.0,0.0000,0.0000
19.67,2026-05-25T18:47:43.748326,IDLE,66.3,55.7,0.0,0.0000,0.0000
20.17,2026-05-25T18:47:44.250853,IDLE,62.2,55.7,0.0,0.0000,0.0000
20.67,2026-05-25T18:47:44.749648,IDLE,63.7,55.7,0.0,0.0000,0.0000
21.17,2026-05-25T18:47:45.249801,IDLE,65.3,55.7,0.0,0.0000,0.0000
21.67,2026-05-25T18:47:45.749089,IDLE,65.0,55.7,0.0,0.0000,0.0000
22.17,2026-05-25T18:47:46.250645,IDLE,63.3,55.7,0.0,0.0000,0.0000
22.67,2026-05-25T18:47:46.749633,IDLE,66.6,55.7,0.0,0.0000,0.0000
23.17,2026-05-25T18:47:47.252098,IDLE,63.2,55.7,0.0,0.0000,0.0000
