timestamp_iso,event_type,description,value
2026-05-26T01:29:06.274690,NODE_START,DockingSupervisor (RPP + Visual Servo) initialised,
2026-05-26T01:29:26.227631,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.642
2026-05-26T01:29:26.228687,GOAL_POSE,RViz zone goal received,"(0.40,0.01)"
2026-05-26T01:29:26.237765,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T01:29:34.877920,BLIND_APPROACH,Handoff to dead-reckoning,marker_z=0.153 target=0.103
2026-05-26T01:29:36.978601,MISSION_SUCCESS,Blind approach: standoff reached,traveled=0.107 target=0.103
2026-05-26T01:31:19.147644,RESET,Mission reset — returned to IDLE,
2026-05-26T01:31:19.150447,GOAL_POSE,RViz zone goal received,"(0.82,0.04)"
2026-05-26T01:31:19.168429,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.618
2026-05-26T01:31:19.172578,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T01:31:21.978186,SAFETY_ABORT,Visual servo: marker lost >2 s,
2026-05-26T01:32:39.613578,RESET,Mission reset — returned to IDLE,
2026-05-26T01:32:39.619498,GOAL_POSE,RViz zone goal received,"(0.46,-0.67)"
2026-05-26T01:32:39.631285,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.654
2026-05-26T01:32:39.631846,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T01:32:45.874123,SAFETY_ABORT,Visual servo: marker lost >2 s,
2026-05-26T01:34:04.722102,RESET,Mission reset — returned to IDLE,
2026-05-26T01:34:04.731255,GOAL_POSE,RViz zone goal received,"(0.13,-0.52)"
2026-05-26T01:34:04.739775,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T01:34:04.818670,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.610
2026-05-26T01:34:09.278403,SAFETY_ABORT,Visual servo: marker lost >2 s,
2026-05-26T01:36:33.921463,RESET,Mission reset triggered by service call,
2026-05-26T01:36:33.922403,STATE_CHANGE,Transitioned to IDLE,via reset
2026-05-26T01:36:49.457401,GOAL_POSE,RViz zone goal received,"(0.84,-0.68)"
2026-05-26T01:36:49.472763,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T01:36:49.479722,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.367
2026-05-26T01:36:52.280045,SAFETY_ABORT,Visual servo: marker lost >2 s,
2026-05-26T01:37:22.685318,RESET,Mission reset triggered by service call,
2026-05-26T01:37:22.686719,STATE_CHANGE,Transitioned to IDLE,via reset
2026-05-26T01:37:36.487745,GOAL_POSE,RViz zone goal received,"(1.04,-0.99)"
2026-05-26T01:37:36.494332,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T01:37:36.498626,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.477
2026-05-26T01:37:40.177073,SAFETY_ABORT,Visual servo: marker lost >2 s,
2026-05-26T01:42:17.435287,RESET,Mission reset — returned to IDLE,
2026-05-26T01:42:17.442868,GOAL_POSE,RViz zone goal received,"(1.07,-1.08)"
2026-05-26T01:42:17.452171,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T01:42:17.455036,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.445
2026-05-26T01:42:21.178025,SAFETY_ABORT,Visual servo: marker lost >2 s,
2026-05-26T01:43:50.440414,RESET,Mission reset — returned to IDLE,
2026-05-26T01:43:50.449661,GOAL_POSE,RViz zone goal received,"(0.74,-0.99)"
2026-05-26T01:43:50.455048,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T01:43:50.522748,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.484
2026-05-26T01:43:54.077877,SAFETY_ABORT,Visual servo: marker lost >2 s,
