wall_time,elapsed_s,phase,cam_tag_x_m,cam_tag_z_m,cam_tag_dist_m,cam_marker_yaw_deg,robot_x,robot_y,robot_yaw_deg,tag_odom_x,tag_odom_y,dock_approach_yaw_deg,t_robot_m,lat_err_m,t_carrot_m,carrot_odom_x,carrot_odom_y,angle_to_carrot_deg,heading_err_deg,wz_proportional,wz_after_deadband,wz_commanded,vx_commanded,k_steer,friction_deadband,lookahead_dist,max_wz,v_linear,actual_vx,actual_wz
1779762447.7387,0.079,SERVO,-0.0183,0.5608,0.5611,0.25,0.9948,0.1173,6.76,1.6754,0.2130,8.01,-0.6873,0.0000,-0.0873,1.5890,0.2009,8.01,1.25,0.0109,0.1500,0.1500,0.1500,1.000,0.150,0.600,1.000,0.150,0.0000,0.0000
1779762447.8362,0.176,SERVO,-0.0182,0.5614,0.5617,0.16,0.9961,0.1174,6.91,1.6753,0.2172,8.01,-0.6865,-0.0042,-0.0865,1.5896,0.2051,8.41,1.49,0.0130,0.1500,0.1500,0.1500,1.000,0.150,0.600,1.000,0.150,0.1500,0.1500
1779762447.9374,0.277,SERVO,-0.0182,0.5614,0.5617,0.16,0.9986,0.1177,7.09,1.6753,0.2172,8.01,-0.6840,-0.0042,-0.0840,1.5922,0.2055,8.41,1.32,0.0115,0.1500,0.1500,0.1500,1.000,0.150,0.600,1.000,0.150,0.1500,0.1500
1779762448.0373,0.377,SERVO,-0.0179,0.5635,0.5638,0.01,1.0118,0.1193,7.14,1.6871,0.2227,8.01,-0.6831,-0.0083,-0.0831,1.6048,0.2112,8.80,1.66,0.0145,0.1500,0.1500,0.1500,1.000,0.150,0.600,1.000,0.150,0.1500,0.1500
1779762448.1369,0.477,SERVO,-0.0181,0.5644,0.5647,-0.28,1.0299,0.1216,7.25,1.6996,0.2241,8.01,-0.6775,-0.0081,-0.0775,1.6229,0.2133,8.79,1.53,0.0134,0.1500,0.1500,0.1500,1.000,0.150,0.600,1.000,0.150,0.1500,0.1500
1779762448.2419,0.582,SERVO,-0.0177,0.5622,0.5625,-0.25,1.0465,0.1239,7.90,1.7218,0.2284,8.01,-0.6833,-0.0094,-0.0833,1.6393,0.2168,8.91,1.01,0.0088,0.0000,0.0000,0.1500,1.000,0.150,0.600,1.000,0.150,0.1500,0.1500
1779762448.3423,0.682,SERVO,-0.0172,0.5595,0.5597,-0.25,1.0609,0.1259,8.31,1.7231,0.2351,9.36,-0.6711,0.0000,-0.0711,1.6529,0.2235,9.36,1.05,0.0091,0.0000,0.0000,0.1500,1.000,0.150,0.600,1.000,0.150,0.1500,0.0000
1779762448.4369,0.777,SERVO,-0.0172,0.5595,0.5597,-0.25,1.0744,0.1280,8.83,1.7231,0.2351,9.36,-0.6575,-0.0002,-0.0575,1.6663,0.2257,9.38,0.55,0.0048,0.0000,0.0000,0.1500,1.000,0.150,0.600,1.000,0.150,0.1500,0.0000
1779762448.5367,0.877,SERVO,-0.0118,0.5423,0.5425,-0.19,1.0881,0.1301,9.34,1.7413,0.2476,9.36,-0.6636,-0.0096,-0.0636,1.6785,0.2372,10.28,0.94,0.0082,0.0000,0.0000,0.1500,1.000,0.150,0.600,1.000,0.150,0.1500,0.0000
1779762448.6371,0.977,SERVO,-0.0098,0.5356,0.5357,-0.14,1.1011,0.1322,9.34,1.7435,0.2472,9.36,-0.6525,-0.0090,-0.0525,1.6917,0.2387,10.22,0.88,0.0077,0.0000,0.0000,0.1500,1.000,0.150,0.600,1.000,0.150,0.1500,0.0000
