timestamp_iso,event_type,description,value
2026-05-26T03:35:02.165835,NODE_START,DockingSupervisor (RPP + Visual Servo) initialised,
2026-05-26T03:35:14.014419,GOAL_POSE,RViz zone goal received,"(0.29,-0.01)"
2026-05-26T03:35:14.024733,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T03:35:14.048707,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.576
2026-05-26T03:35:16.967684,BLIND_APPROACH,Tag lost at close range — blind handoff,last_z=0.361 est_z=0.248 tag_age=0.57
2026-05-26T03:35:17.275744,MISSION_SUCCESS,Blind approach: standoff reached,traveled=0.050 target=0.048
2026-05-26T03:35:58.813765,RESET,Mission reset — returned to IDLE,
2026-05-26T03:35:58.816283,GOAL_POSE,RViz zone goal received,"(0.44,-0.02)"
2026-05-26T03:35:58.821597,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T03:35:58.877743,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.645
2026-05-26T03:36:01.865383,BLIND_APPROACH,Tag lost at close range — blind handoff,last_z=0.412 est_z=0.306 tag_age=0.53
2026-05-26T03:36:02.367628,MISSION_SUCCESS,Blind approach: standoff reached,traveled=0.087 target=0.086
2026-05-26T03:36:48.211716,RESET,Mission reset — returned to IDLE,
2026-05-26T03:36:48.215024,GOAL_POSE,RViz zone goal received,"(0.38,-0.41)"
2026-05-26T03:36:48.222330,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T03:36:48.282413,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.650
2026-05-26T03:36:50.668128,BLIND_APPROACH,Tag lost at close range — blind handoff,last_z=0.367 est_z=0.259 tag_age=0.54
2026-05-26T03:36:50.973942,MISSION_SUCCESS,Blind approach: standoff reached,traveled=0.048 target=0.039
2026-05-26T03:37:21.968334,RESET,Mission reset — returned to IDLE,
2026-05-26T03:37:21.976296,GOAL_POSE,RViz zone goal received,"(0.17,-0.36)"
2026-05-26T03:37:21.985671,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T03:37:22.033820,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.660
2026-05-26T03:37:24.767771,BLIND_APPROACH,Tag lost at close range — blind handoff,last_z=0.463 est_z=0.344 tag_age=0.60
2026-05-26T03:37:25.572480,MISSION_SUCCESS,Blind approach: standoff reached,traveled=0.159 target=0.144
2026-05-26T03:37:58.848160,RESET,Mission reset — returned to IDLE,
2026-05-26T03:37:58.856739,GOAL_POSE,RViz zone goal received,"(-0.21,-0.27)"
2026-05-26T03:37:58.863822,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T03:37:59.012538,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.579
2026-05-26T03:38:00.670251,BLIND_APPROACH,Handoff to dead-reckoning,marker_z=0.310 target=0.150
