elapsed_s,timestamp_iso,state,cpu_pct,ram_pct,gpu_pct,cmd_vel_x,cmd_vel_z
0.65,2026-05-25T19:29:28.516965,IDLE,59.6,55.8,0.0,0.0000,0.0000
1.15,2026-05-25T19:29:29.016441,IDLE,69.4,55.8,0.0,0.0000,0.0000
1.65,2026-05-25T19:29:29.515093,IDLE,62.4,55.8,0.0,0.0000,0.0000
2.16,2026-05-25T19:29:30.018536,IDLE,59.7,55.8,0.0,0.0000,0.0000
2.65,2026-05-25T19:29:30.516739,IDLE,62.8,55.9,0.0,0.0000,0.0000
3.15,2026-05-25T19:29:31.016363,IDLE,57.7,55.8,0.0,0.0000,0.0000
3.65,2026-05-25T19:29:31.517154,IDLE,59.1,55.8,0.0,0.0000,0.0000
4.15,2026-05-25T19:29:32.016892,IDLE,56.4,55.8,0.0,0.0000,0.0000
4.65,2026-05-25T19:29:32.515782,IDLE,58.2,55.9,0.0,0.0000,0.0000
5.15,2026-05-25T19:29:33.016207,IDLE,58.8,55.9,0.0,0.0000,0.0000
5.65,2026-05-25T19:29:33.515991,IDLE,56.4,55.8,0.0,0.0000,0.0000
6.15,2026-05-25T19:29:34.016077,IDLE,53.8,55.9,0.0,0.0000,0.0000
6.65,2026-05-25T19:29:34.516811,IDLE,55.9,55.8,0.0,0.0000,0.0000
7.15,2026-05-25T19:29:35.015706,IDLE,54.7,55.7,0.0,0.0000,0.0000
7.65,2026-05-25T19:29:35.515294,IDLE,56.4,55.7,0.0,0.0000,0.0000
8.15,2026-05-25T19:29:36.015574,IDLE,55.9,55.8,0.0,0.0000,0.0000
8.66,2026-05-25T19:29:36.519482,IDLE,58.3,55.7,0.0,0.0000,0.0000
9.15,2026-05-25T19:29:37.016070,IDLE,56.1,55.8,0.0,0.0000,0.0000
9.65,2026-05-25T19:29:37.515555,IDLE,58.6,55.7,0.0,0.0000,0.0000
10.15,2026-05-25T19:29:38.017983,IDLE,59.2,55.8,0.0,0.0000,0.0000
10.65,2026-05-25T19:29:38.515818,IDLE,54.7,55.8,0.0,0.0000,0.0000
11.15,2026-05-25T19:29:39.017447,IDLE,56.4,55.8,0.0,0.0000,0.0000
11.65,2026-05-25T19:29:39.515440,IDLE,58.9,55.8,0.0,0.0000,0.0000
12.15,2026-05-25T19:29:40.015515,IDLE,54.5,55.9,0.0,0.0000,0.0000
12.65,2026-05-25T19:29:40.515814,IDLE,58.2,55.9,0.0,0.0000,0.0000
13.15,2026-05-25T19:29:41.016195,IDLE,56.1,55.8,0.0,0.0000,0.0000
