timestamp_iso,event_type,description,value
2026-05-26T14:18:43.102984,NODE_START,DockingSupervisor (RPP + Visual Servo) initialised,
2026-05-26T14:18:56.266210,GOAL_POSE,RViz zone goal received,"(0.30,-0.11)"
2026-05-26T14:18:56.279492,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T14:18:56.281016,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=0.643
2026-05-26T14:18:56.289752,GOAL_SENT,Visual homing nav goal sent,"standoff=(0.415,-0.205)"
2026-05-26T14:18:56.296762,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T14:18:57.744925,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.598
2026-05-26T14:19:00.603478,BLIND_APPROACH,Handoff to dead-reckoning,marker_z=0.338 target=0.150
2026-05-26T14:19:01.508597,MISSION_SUCCESS,Blind approach: standoff reached,traveled=0.164 target=0.150
2026-05-26T14:19:32.306193,RESET,Mission reset — returned to IDLE,
2026-05-26T14:19:32.309695,GOAL_POSE,RViz zone goal received,"(0.11,0.08)"
2026-05-26T14:19:32.329058,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T14:19:32.337001,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=0.695
2026-05-26T14:19:32.344448,GOAL_SENT,Visual homing nav goal sent,"standoff=(0.347,-0.010)"
2026-05-26T14:19:32.355304,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T14:19:34.264599,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.593
2026-05-26T14:19:36.501779,BLIND_APPROACH,Handoff to dead-reckoning,marker_z=0.344 target=0.150
2026-05-26T14:19:37.305409,MISSION_SUCCESS,Blind approach: standoff reached,traveled=0.154 target=0.150
