elapsed_s,timestamp_iso,state,cpu_pct,ram_pct,gpu_pct,cmd_vel_x,cmd_vel_z
0.60,2026-05-25T18:12:34.470149,IDLE,67.5,51.4,0.0,0.0000,0.0000
1.10,2026-05-25T18:12:34.970969,IDLE,60.0,51.5,0.0,0.0000,0.0000
1.60,2026-05-25T18:12:35.469028,IDLE,60.9,51.3,0.0,0.0000,0.0000
2.10,2026-05-25T18:12:35.969863,IDLE,59.7,51.4,0.0,0.0000,0.0000
2.60,2026-05-25T18:12:36.468409,IDLE,59.9,51.3,0.0,0.0000,0.0000
3.10,2026-05-25T18:12:36.968530,IDLE,60.2,51.4,0.0,0.0000,0.0000
3.60,2026-05-25T18:12:37.469238,IDLE,64.8,51.4,0.0,0.0000,0.0000
4.10,2026-05-25T18:12:37.968958,IDLE,58.6,51.4,0.0,0.0000,0.0000
4.60,2026-05-25T18:12:38.467935,IDLE,60.4,51.4,0.0,0.0000,0.0000
5.10,2026-05-25T18:12:38.967842,IDLE,58.9,51.4,0.0,0.0000,0.0000
5.60,2026-05-25T18:12:39.469672,IDLE,61.6,51.5,0.0,0.0000,0.0000
6.10,2026-05-25T18:12:39.968985,IDLE,62.1,51.5,0.0,0.0000,0.0000
6.60,2026-05-25T18:12:40.469282,IDLE,62.5,51.4,0.0,0.0000,0.0000
7.10,2026-05-25T18:12:40.968143,IDLE,59.1,51.3,0.0,0.0000,0.0000
7.60,2026-05-25T18:12:41.469883,IDLE,63.0,51.3,0.0,0.0000,0.0000
8.10,2026-05-25T18:12:41.967878,IDLE,61.0,51.4,0.0,0.0000,0.0000
8.60,2026-05-25T18:12:42.471554,IDLE,59.2,51.4,0.0,0.0000,0.0000
9.10,2026-05-25T18:12:42.969297,IDLE,63.9,51.5,0.0,0.0000,0.0000
9.60,2026-05-25T18:12:43.467636,IDLE,58.1,51.4,0.0,0.0000,0.0000
10.10,2026-05-25T18:12:43.968786,IDLE,59.6,51.5,0.0,0.0000,0.0000
10.60,2026-05-25T18:12:44.470419,IDLE,57.9,51.5,0.0,0.0000,0.0000
11.10,2026-05-25T18:12:44.969515,IDLE,63.4,51.5,0.0,0.0000,0.0000
11.61,2026-05-25T18:12:45.474837,IDLE,61.5,51.5,0.0,0.0000,0.0000
12.10,2026-05-25T18:12:45.968057,IDLE,58.6,51.5,0.0,0.0000,0.0000
12.60,2026-05-25T18:12:46.467637,IDLE,61.3,51.4,0.0,0.0000,0.0000
13.10,2026-05-25T18:12:46.968801,IDLE,56.4,51.5,0.0,0.0000,0.0000
13.60,2026-05-25T18:12:47.470248,IDLE,57.2,51.6,0.0,0.0000,0.0000
14.10,2026-05-25T18:12:47.969443,IDLE,61.0,51.5,0.0,0.0000,0.0000
