timestamp_iso,event_type,description,value
2026-05-26T02:02:49.537366,NODE_START,DockingSupervisor (RPP + Visual Servo) initialised,
2026-05-26T02:06:16.338729,GOAL_POSE,RViz zone goal received,"(0.30,0.03)"
2026-05-26T02:06:16.347246,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T02:06:16.541893,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.639
2026-05-26T02:06:28.538383,SAFETY_ABORT,Visual servo: marker lost >2 s,
2026-05-26T02:06:52.259680,RESET,Mission reset — returned to IDLE,
2026-05-26T02:06:52.263127,GOAL_POSE,RViz zone goal received,"(0.27,0.02)"
2026-05-26T02:06:52.273169,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T02:06:52.275120,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.652
2026-05-26T02:07:04.938428,SAFETY_ABORT,Visual servo: marker lost >2 s,
