wall_time,elapsed_s,phase,cam_tag_x_m,cam_tag_z_m,cam_tag_dist_m,cam_marker_yaw_deg,robot_x,robot_y,robot_yaw_deg,tag_odom_x,tag_odom_y,dock_approach_yaw_deg,t_robot_m,lat_err_m,t_carrot_m,carrot_odom_x,carrot_odom_y,angle_to_carrot_deg,heading_err_deg,wz_proportional,wz_after_deadband,wz_commanded,vx_commanded,k_steer,friction_deadband,lookahead_dist,max_wz,v_linear,actual_vx,actual_wz
1779768859.2504,0.049,SERVO,0.2448,0.7145,0.7553,0.81,0.4698,-0.2233,-86.69,0.8405,-0.2448,8.66,-0.7912,0.3672,-0.2000,0.6435,-0.2748,-23.12,-23.12,-2.2449,-2.2449,-2.2449,0.2000,10.000,0.000,0.100,3.500,0.200,0.0000,0.0000
1779768859.3570,0.156,SERVO,0.2415,0.7055,0.7457,-0.53,0.4699,-0.2244,-86.67,0.8315,-0.2415,8.06,-0.7894,0.3558,-0.2000,0.6335,-0.2696,-23.05,-23.05,-2.2751,-2.2751,-2.2751,0.2000,10.000,0.000,0.100,3.500,0.200,0.2000,-2.2449
1779768859.4494,0.248,SERVO,0.2433,0.7106,0.7511,-1.04,0.4701,-0.2275,-86.47,0.8366,-0.2433,7.31,-0.7987,0.3476,-0.2000,0.6383,-0.2687,-22.83,-22.83,-2.2411,-2.2411,-2.2411,0.2000,10.000,0.000,0.100,3.500,0.200,0.2000,-2.2751
1779768859.5518,0.350,SERVO,0.2443,0.7141,0.7547,-1.25,0.4703,-0.2332,-87.69,0.8401,-0.2443,7.22,-0.8020,0.3476,-0.2000,0.6419,-0.2694,-22.77,-22.77,-2.2238,-2.2238,-2.2238,0.2000,10.000,0.000,0.100,3.500,0.200,0.2000,-2.2411
1779768859.6568,0.455,SERVO,0.2443,0.7141,0.7547,-1.25,0.4703,-0.2449,-91.22,0.8401,-0.2443,7.22,-0.8020,0.3476,-0.2000,0.6419,-0.2694,-22.77,-22.77,-2.2238,-2.2238,-2.2238,0.2000,10.000,0.000,0.100,3.500,0.200,0.2000,-2.2238
1779768859.7518,0.550,SERVO,0.2443,0.7141,0.7547,-1.25,0.4694,-0.2602,-95.23,0.8401,-0.2443,7.22,-0.8020,0.3476,-0.2000,0.6419,-0.2694,-22.77,-22.77,-2.2238,-2.2238,-2.2238,0.2000,10.000,0.000,0.100,3.500,0.200,0.2000,-2.2238
1779768859.8533,0.651,SERVO,0.2443,0.7141,0.7547,-1.25,0.4668,-0.2758,-100.96,0.8401,-0.2443,7.22,-0.8020,0.3476,-0.2000,0.6419,-0.2694,-22.77,-22.77,-2.2238,-2.2238,-2.2238,0.2000,10.000,0.000,0.100,3.500,0.200,0.2000,-2.2238
1779768859.9517,0.750,SERVO,0.2443,0.7141,0.7547,-1.25,0.4620,-0.2940,-107.66,0.8401,-0.2443,7.22,-0.8020,0.3476,-0.2000,0.6419,-0.2694,-22.77,-22.77,-2.2238,-2.2238,-2.2238,0.2000,10.000,0.000,0.100,3.500,0.200,0.2000,-2.2238
1779768860.0506,0.849,SERVO,0.2443,0.7141,0.7547,-1.25,0.4566,-0.3079,-113.44,0.8401,-0.2443,7.22,-0.8020,0.3476,-0.2000,0.6419,-0.2694,-22.77,-22.77,-2.2238,-2.2238,-2.2238,0.2000,10.000,0.000,0.100,3.500,0.200,0.2000,-2.2238
1779768860.1516,0.950,SERVO,0.2443,0.7141,0.7547,-1.25,0.4483,-0.3244,-120.29,0.8401,-0.2443,7.22,-0.8020,0.3476,-0.2000,0.6419,-0.2694,-22.77,-22.77,-2.2238,-2.2238,-2.2238,0.2000,10.000,0.000,0.100,3.500,0.200,0.2000,-2.2238
1779768860.2517,1.050,SERVO,0.2443,0.7141,0.7547,-1.25,0.4396,-0.3374,-126.40,0.8401,-0.2443,7.22,-0.8020,0.3476,-0.2000,0.6419,-0.2694,-22.77,-22.77,-2.2238,-2.2238,-2.2238,0.2000,10.000,0.000,0.100,3.500,0.200,0.2000,-2.2238
1779768860.3519,1.151,SERVO,0.2443,0.7141,0.7547,-1.25,0.4291,-0.3504,-131.98,0.8401,-0.2443,7.22,-0.8020,0.3476,-0.2000,0.6419,-0.2694,-22.77,-22.77,-2.2238,-2.2238,-2.2238,0.2000,10.000,0.000,0.100,3.500,0.200,0.2000,-2.2238
