wall_time,elapsed_s,phase,cam_tag_x_m,cam_tag_z_m,cam_tag_dist_m,cam_marker_yaw_deg,robot_x,robot_y,robot_yaw_deg,tag_odom_x,tag_odom_y,dock_approach_yaw_deg,t_robot_m,lat_err_m,t_carrot_m,carrot_odom_x,carrot_odom_y,angle_to_carrot_deg,heading_err_deg,wz_proportional,wz_after_deadband,wz_commanded,vx_commanded,k_steer,friction_deadband,lookahead_dist,max_wz,v_linear,actual_vx,actual_wz
1779755366.2795,0.064,SERVO,-0.0975,0.6352,0.6427,1.27,0.0015,-0.0000,-0.78,0.7640,0.0867,0.00,-0.7612,-0.0971,-0.1612,0.6028,0.0889,8.41,9.19,0.4010,0.4010,0.4010,0.0500,2.500,0.150,0.600,1.000,0.050,0.0000,0.0000
1779755366.3748,0.159,SERVO,-0.0974,0.6348,0.6422,1.40,0.0016,-0.0000,-0.99,0.7639,0.0846,0.00,-0.7607,-0.0978,-0.1607,0.6032,0.0874,8.27,9.26,0.4040,0.4040,0.4040,0.0500,2.500,0.150,0.600,1.000,0.050,0.0500,0.4010
1779755366.4784,0.263,SERVO,-0.0977,0.6358,0.6432,1.05,0.0012,-0.0000,-0.69,0.7649,0.0845,0.00,-0.7627,-0.0937,-0.1627,0.6023,0.0864,8.19,8.88,0.3875,0.3875,0.3875,0.0500,2.500,0.150,0.600,1.000,0.050,0.0500,0.4040
1779755366.5773,0.361,SERVO,-0.0980,0.6379,0.6454,1.05,0.0001,-0.0000,-0.76,0.7662,0.0887,0.00,-0.7649,-0.0989,-0.1649,0.6014,0.0909,8.60,9.36,0.4086,0.4086,0.4086,0.0500,2.500,0.150,0.600,1.000,0.050,0.1855,0.0700
1779755366.6756,0.460,SERVO,-0.0979,0.6376,0.6450,1.40,0.0007,-0.0000,-0.91,0.7657,0.0857,0.00,-0.7636,-0.0979,-0.1636,0.6022,0.0883,8.36,9.27,0.4045,0.4045,0.4045,0.0500,2.500,0.150,0.600,1.000,0.050,0.1858,0.0538
1779755366.7782,0.563,SERVO,-0.0977,0.6368,0.6442,1.31,0.0039,-0.0001,-0.76,0.7667,0.0872,0.00,-0.7616,-0.0973,-0.1616,0.6051,0.0893,8.46,9.22,0.4021,0.4021,0.4021,0.0500,2.500,0.150,0.600,1.000,0.050,0.1862,0.0589
1779755366.8768,0.661,SERVO,-0.0969,0.6306,0.6380,1.79,0.0126,-0.0002,-0.72,0.7670,0.0871,0.00,-0.7533,-0.0967,-0.1533,0.6138,0.0890,8.44,9.16,0.3995,0.3995,0.3995,0.0500,2.500,0.150,0.600,1.000,0.050,0.1853,0.0708
1779755366.9746,0.759,SERVO,-0.0970,0.6279,0.6353,1.94,0.0262,-0.0004,-0.74,0.7767,0.0869,0.00,-0.7493,-0.0970,-0.1493,0.6274,0.0888,8.44,9.18,0.4006,0.4006,0.4006,0.0500,2.500,0.150,0.600,1.000,0.050,0.1832,0.0721
1779755367.0745,0.859,SERVO,-0.0976,0.6218,0.6294,1.92,0.0432,-0.0006,-0.64,0.7865,0.0884,0.00,-0.7423,-0.0973,-0.1423,0.6443,0.0900,8.57,9.21,0.4019,0.4019,0.4019,0.0500,2.500,0.150,0.600,1.000,0.050,0.1783,0.0941
1779755367.1760,0.961,SERVO,-0.0979,0.6191,0.6268,1.81,0.0611,-0.0007,-0.44,0.8012,0.0908,0.00,-0.7394,-0.0972,-0.1394,0.6618,0.0918,8.76,9.20,0.4016,0.4016,0.4016,0.0500,2.500,0.150,0.600,1.000,0.050,0.1708,0.1412
1779755367.2914,1.076,SERVO,-0.0979,0.6191,0.6268,1.81,0.0762,-0.0008,-0.05,0.8012,0.0908,0.00,-0.7249,-0.0921,-0.1249,0.6763,0.0909,8.68,8.73,0.3807,0.3807,0.3807,0.0500,2.500,0.150,0.600,1.000,0.050,0.1623,0.1714
1779755367.3767,1.161,SERVO,-0.0955,0.5997,0.6073,1.39,0.0939,-0.0008,0.06,0.8137,0.0946,0.00,-0.7199,-0.0947,-0.1199,0.6938,0.0945,9.03,8.97,0.3914,0.3914,0.3914,0.0500,2.500,0.150,0.600,1.000,0.050,0.1466,0.1705
1779755367.4783,1.263,SERVO,-0.0955,0.5997,0.6073,1.39,0.1087,-0.0007,0.39,0.8137,0.0946,0.00,-0.7057,-0.0906,-0.1057,0.7080,0.0939,8.97,8.59,0.3746,0.3746,0.3746,0.0500,2.500,0.150,0.600,1.000,0.050,0.1309,0.1622
1779755367.5756,1.360,SERVO,-0.0930,0.5805,0.5879,1.46,0.1258,-0.0006,0.50,0.8264,0.0977,0.00,-0.7014,-0.0923,-0.1014,0.7250,0.0968,9.24,8.74,0.3814,0.3814,0.3814,0.0500,2.500,0.150,0.600,1.000,0.050,0.1146,0.1524
1779755367.6729,1.457,SERVO,-0.0930,0.5805,0.5879,1.46,0.1392,-0.0005,0.45,0.8264,0.0977,0.00,-0.6879,-0.0929,-0.0879,0.7385,0.0970,9.25,8.80,0.3841,0.3841,0.3841,0.0500,2.500,0.150,0.600,1.000,0.050,0.1084,0.1584
1779755367.7790,1.564,SERVO,-0.0904,0.5577,0.5649,0.55,0.1468,-0.0004,0.81,0.8291,0.0996,0.00,-0.6837,-0.0904,-0.0837,0.7455,0.0984,9.37,8.57,0.3738,0.3738,0.3738,0.0500,2.500,0.150,0.600,1.000,0.050,0.1015,0.1623
1779755367.8764,1.661,SERVO,-0.0887,0.5426,0.5498,0.53,0.1609,-0.0002,0.73,0.8211,0.1002,0.00,-0.6615,-0.0920,-0.0615,0.7596,0.0994,9.45,8.72,0.3803,0.3803,0.3803,0.0500,2.500,0.150,0.600,1.000,0.050,0.0965,0.1907
1779755367.9758,1.760,SERVO,-0.0876,0.5348,0.5420,0.67,0.1717,-0.0001,0.86,0.8239,0.0959,0.00,-0.6536,-0.0862,-0.0536,0.7703,0.0951,9.03,8.17,0.3567,0.3567,0.3567,0.0500,2.500,0.150,0.600,1.000,0.050,0.0920,0.1867
1779755368.0774,1.862,SERVO,-0.0855,0.5149,0.5220,0.88,0.1808,0.0001,0.88,0.8173,0.0952,0.00,-0.6379,-0.0853,-0.0379,0.7794,0.0946,8.98,8.09,0.3532,0.3532,0.3532,0.0500,2.500,0.150,0.600,1.000,0.050,0.0881,0.1924
1779755368.1786,1.963,SERVO,-0.0855,0.5149,0.5220,0.88,0.1867,0.0002,1.27,0.8173,0.0952,0.00,-0.6326,-0.0810,-0.0326,0.7848,0.0945,8.96,7.69,0.3355,0.3355,0.3355,0.0500,2.500,0.150,0.600,1.000,0.050,0.0850,0.1842
1779755368.2844,2.069,SERVO,-0.0834,0.4954,0.5023,1.20,0.1994,0.0005,1.44,0.8115,0.0999,0.00,-0.6144,-0.0840,-0.0144,0.7971,0.0996,9.41,7.97,0.3478,0.3478,0.3478,0.0500,2.500,0.150,0.600,1.000,0.050,0.0813,0.1889
1779755368.3771,2.161,SERVO,-0.0810,0.4791,0.4859,1.10,0.2041,0.0006,1.67,0.8065,0.0993,0.00,-0.6051,-0.0810,-0.0051,0.8014,0.0991,9.36,7.69,0.3355,0.3355,0.3355,0.0500,2.500,0.150,0.600,1.000,0.050,0.0778,0.1887
1779755368.4809,2.265,SERVO,-0.0805,0.4740,0.4808,1.22,0.2154,0.0010,2.19,0.8036,0.0996,0.00,-0.5915,-0.0761,0.0000,0.8036,0.0996,9.52,7.33,0.3198,0.3198,0.3198,0.0500,2.500,0.150,0.600,1.000,0.050,0.0738,0.1992
1779755368.5767,2.361,SERVO,-0.0787,0.4673,0.4739,1.58,0.2192,0.0012,2.34,0.8053,0.1024,0.00,-0.5897,-0.0772,0.0000,0.8053,0.1024,9.80,7.46,0.3255,0.3255,0.3255,0.0500,2.500,0.150,0.600,1.000,0.050,0.0713,0.2008
1779755368.6781,2.463,SERVO,-0.0765,0.4574,0.4637,1.62,0.2266,0.0015,2.61,0.8036,0.1034,0.00,-0.5810,-0.0756,0.0000,0.8036,0.1034,10.02,7.41,0.3235,0.3235,0.3235,0.0500,2.500,0.150,0.600,1.000,0.050,0.0676,0.2052
1779755368.7810,2.566,SERVO,-0.0765,0.4574,0.4637,1.70,0.2355,0.0019,3.01,0.8036,0.1034,0.00,-0.5727,-0.0715,0.0000,0.8036,0.1034,10.13,7.12,0.3107,0.3107,0.3107,0.0500,2.500,0.150,0.600,1.000,0.050,0.0662,0.2078
1779755368.8763,2.661,SERVO,-0.0727,0.4431,0.4491,1.49,0.2439,0.0023,3.19,0.8026,0.1058,0.00,-0.5636,-0.0723,0.0000,0.8026,0.1058,10.50,7.31,0.3189,0.3189,0.3189,0.0500,2.500,0.150,0.600,1.000,0.050,0.0629,0.2149
1779755368.9764,2.761,SERVO,-0.0703,0.4348,0.4405,1.24,0.2507,0.0028,4.11,0.8019,0.1046,0.00,-0.5571,-0.0620,0.0000,0.8019,0.1046,10.46,6.35,0.2772,0.2772,0.2772,0.0500,2.500,0.150,0.600,1.000,0.050,0.0593,0.2216
1779755369.0786,2.863,SERVO,-0.0703,0.4348,0.4405,1.24,0.2548,0.0031,4.36,0.8019,0.1046,0.00,-0.5533,-0.0596,0.0000,0.8019,0.1046,10.51,6.15,0.2684,0.2684,0.2684,0.0500,2.500,0.150,0.600,1.000,0.050,0.0561,0.2305
1779755369.1831,2.968,SERVO,-0.0661,0.4252,0.4303,1.08,0.2592,0.0034,4.19,0.8023,0.1094,0.00,-0.5494,-0.0661,0.0000,0.8023,0.1094,11.04,6.86,0.2992,0.2992,0.2992,0.0500,2.500,0.150,0.600,1.000,0.050,0.0525,0.1878
1779755369.2807,3.065,SERVO,-0.0628,0.4174,0.4221,0.88,0.2676,0.0040,4.47,0.7966,0.1057,0.00,-0.5353,-0.0601,0.0000,0.7966,0.1057,10.88,6.41,0.2797,0.2797,0.2797,0.0500,2.500,0.150,0.600,1.000,0.050,0.0508,0.1920
1779755369.3763,3.161,SERVO,-0.0628,0.4174,0.4221,0.88,0.2740,0.0046,5.26,0.7966,0.1057,0.00,-0.5297,-0.0527,0.0000,0.7966,0.1057,10.95,5.69,0.2481,0.2481,0.2481,0.0500,2.500,0.150,0.600,1.000,0.050,0.0500,0.2088
1779755369.4757,3.260,SERVO,-0.0628,0.4174,0.4221,0.88,0.2769,0.0049,5.79,0.7966,0.1057,0.00,-0.5273,-0.0478,0.0000,0.7966,0.1057,10.97,5.18,0.2261,0.2261,0.2261,0.0500,2.500,0.150,0.600,1.000,0.050,0.0500,0.2364
