timestamp_iso,event_type,description,value
2026-05-26T12:43:29.591592,NODE_START,DockingSupervisor (RPP + Visual Servo) initialised,
2026-05-26T12:43:54.111940,GOAL_POSE,RViz zone goal received,"(0.23,-0.01)"
2026-05-26T12:43:54.131095,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T12:43:54.138966,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=0.713
2026-05-26T12:43:54.146156,GOAL_SENT,Visual homing nav goal sent,"standoff=(0.531,-0.062)"
2026-05-26T12:43:54.161081,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T12:43:56.845339,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.598
2026-05-26T12:43:59.587965,SAFETY_ABORT,Visual servo: marker lost >2 s,
2026-05-26T12:44:34.234879,RESET,Mission reset — returned to IDLE,
2026-05-26T12:44:34.253922,GOAL_POSE,RViz zone goal received,"(0.46,-0.22)"
2026-05-26T12:44:34.275167,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T12:44:34.288062,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=0.680
2026-05-26T12:44:34.297886,GOAL_SENT,Visual homing nav goal sent,"standoff=(0.777,-0.390)"
2026-05-26T12:44:34.309863,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T12:44:35.689237,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.600
2026-05-26T12:44:37.087209,BLIND_APPROACH,Tag lost at close range — blind handoff,last_z=0.462 est_z=0.358 tag_age=0.52
2026-05-26T12:44:37.991010,MISSION_SUCCESS,Blind approach: standoff reached,traveled=0.174 target=0.158
2026-05-26T12:46:12.127546,RESET,Mission reset — returned to IDLE,
2026-05-26T12:46:12.140849,GOAL_POSE,RViz zone goal received,"(0.31,-0.42)"
2026-05-26T12:46:12.152978,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T12:46:12.206874,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=0.886
2026-05-26T12:46:12.209474,GOAL_SENT,Visual homing nav goal sent,"standoff=(0.849,-0.756)"
2026-05-26T12:46:12.224511,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T12:46:15.325307,STATE_CHANGE,Transitioned to BUFFERING_ROUGH,visual homing nav succeeded
2026-05-26T12:46:15.880673,STATE_CHANGE,Transitioned to NAV_TO_STAGING,"goal=(0.544,-0.607) yaw=-44.4deg"
2026-05-26T12:46:15.886897,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T12:46:16.394789,STATE_CHANGE,Transitioned to IDLE,staging_failed status=6
2026-05-26T12:46:29.062202,GOAL_POSE,RViz zone goal received,"(0.17,-0.55)"
2026-05-26T12:46:29.074649,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T12:46:29.085280,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=0.682
2026-05-26T12:46:29.087312,GOAL_SENT,Visual homing nav goal sent,"standoff=(0.848,-0.746)"
2026-05-26T12:46:29.096576,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T12:46:29.474437,STATE_CHANGE,Transitioned to LOCAL_SEARCH,"origin=(0.66,-0.29)"
2026-05-26T12:46:29.481427,GOAL_ACCEPTED,Spiral accepted,
2026-05-26T12:46:29.519079,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=0.678
2026-05-26T12:46:29.533621,GOAL_SENT,Visual homing nav goal sent,"standoff=(0.849,-0.742)"
2026-05-26T12:46:29.558036,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T12:46:29.572980,STATE_CHANGE,Transitioned to LOCAL_SEARCH,"origin=(0.66,-0.29)"
2026-05-26T12:46:29.578852,GOAL_ACCEPTED,Spiral accepted,
2026-05-26T12:47:02.637225,GOAL_POSE,RViz zone goal received,"(0.11,0.49)"
2026-05-26T12:47:02.646096,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T12:47:18.521965,GOAL_POSE,RViz zone goal received,"(-0.32,0.58)"
2026-05-26T12:47:18.529704,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T12:47:18.538607,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=0.860
2026-05-26T12:47:18.540263,GOAL_SENT,Visual homing nav goal sent,"standoff=(-0.569,-0.500)"
2026-05-26T12:47:18.552334,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T12:47:18.934595,STATE_CHANGE,Transitioned to LOCAL_SEARCH,"origin=(-0.20,-1.08)"
2026-05-26T12:47:18.942011,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=0.859
2026-05-26T12:47:18.944586,GOAL_SENT,Visual homing nav goal sent,"standoff=(-0.567,-0.502)"
2026-05-26T12:47:18.954749,GOAL_ACCEPTED,Spiral accepted,
2026-05-26T12:47:18.954999,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T12:47:18.974828,STATE_CHANGE,Transitioned to LOCAL_SEARCH,"origin=(-0.20,-1.08)"
2026-05-26T12:47:18.980105,GOAL_ACCEPTED,Spiral accepted,
2026-05-26T12:48:31.177738,RESET,Mission reset triggered by service call,
2026-05-26T12:48:31.178554,STATE_CHANGE,Transitioned to IDLE,via reset
2026-05-26T12:48:41.054882,GOAL_POSE,RViz zone goal received,"(-1.05,-0.03)"
2026-05-26T12:48:41.064387,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T12:48:41.265132,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=0.924
2026-05-26T12:48:41.287884,GOAL_SENT,Visual homing nav goal sent,"standoff=(-0.539,-1.607)"
2026-05-26T12:48:41.298092,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T12:48:41.557834,STATE_CHANGE,Transitioned to LOCAL_SEARCH,"origin=(0.08,-1.18)"
2026-05-26T12:48:41.564991,GOAL_ACCEPTED,Spiral accepted,
2026-05-26T12:48:41.578596,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=0.923
2026-05-26T12:48:41.589206,GOAL_SENT,Visual homing nav goal sent,"standoff=(-0.539,-1.604)"
2026-05-26T12:48:41.600404,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T12:48:41.615110,STATE_CHANGE,Transitioned to LOCAL_SEARCH,"origin=(0.08,-1.18)"
2026-05-26T12:48:41.619422,GOAL_ACCEPTED,Spiral accepted,
2026-05-26T12:49:00.114963,RESET,Mission reset triggered by service call,
2026-05-26T12:49:00.115742,STATE_CHANGE,Transitioned to IDLE,via reset
