timestamp_iso,event_type,description,value
2026-05-25T18:42:01.620983,NODE_START,DockingSupervisor initialised,
2026-05-25T18:42:48.302210,GOAL_POSE,RViz zone goal received,"(1.94,1.11)"
2026-05-25T18:42:48.309332,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
2026-05-25T18:42:52.823457,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker=1 dist=1.536
2026-05-25T18:42:52.844326,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
2026-05-25T18:43:19.779590,STATE_CHANGE,Transitioned to NAV_TO_STAGING,via VISUAL_HOMING fresh re-read of marker 1
2026-05-25T18:43:19.785679,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
2026-05-25T18:45:15.544313,RESET,Mission reset triggered by service call,
2026-05-25T18:45:15.556587,STATE_CHANGE,Transitioned to IDLE,via reset
2026-05-25T18:45:21.894849,GOAL_POSE,RViz zone goal received,"(2.56,2.77)"
2026-05-25T18:45:21.906017,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
2026-05-25T18:45:32.002175,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker=0 dist=0.779
2026-05-25T18:45:32.012672,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
2026-05-25T18:45:43.858602,STATE_CHANGE,Transitioned to NAV_TO_STAGING,via VISUAL_HOMING fresh re-read of marker 0
2026-05-25T18:45:43.864769,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
