elapsed_s,timestamp_iso,state,cpu_pct,ram_pct,gpu_pct,cmd_vel_x,cmd_vel_z
0.60,2026-05-25T18:30:46.146005,IDLE,56.4,52.1,0.0,0.0000,0.0000
1.10,2026-05-25T18:30:46.643606,IDLE,71.0,52.2,0.0,0.0000,0.0000
1.60,2026-05-25T18:30:47.144199,IDLE,54.9,52.3,0.0,0.0000,0.0000
2.10,2026-05-25T18:30:47.644171,IDLE,58.9,52.2,0.0,0.0000,0.0000
2.60,2026-05-25T18:30:48.144003,IDLE,55.3,52.2,0.0,0.0000,0.0000
3.10,2026-05-25T18:30:48.644458,IDLE,56.9,52.2,0.0,0.0000,0.0000
3.60,2026-05-25T18:30:49.144353,IDLE,62.1,52.2,0.0,0.0000,0.0000
4.10,2026-05-25T18:30:49.644252,IDLE,56.7,52.2,0.0,0.0000,0.0000
4.60,2026-05-25T18:30:50.143118,IDLE,59.9,52.2,0.0,0.0000,0.0000
5.10,2026-05-25T18:30:50.644104,IDLE,57.5,52.2,0.0,0.0000,0.0000
5.60,2026-05-25T18:30:51.144911,IDLE,60.0,52.2,0.0,0.0000,0.0000
6.10,2026-05-25T18:30:51.647505,IDLE,60.1,52.2,0.0,0.0000,0.0000
6.60,2026-05-25T18:30:52.143077,IDLE,61.3,52.3,0.0,0.0000,0.0000
7.10,2026-05-25T18:30:52.648389,IDLE,63.9,52.2,0.0,0.0000,0.0000
7.60,2026-05-25T18:30:53.144577,IDLE,62.0,52.3,0.0,0.0000,0.0000
8.10,2026-05-25T18:30:53.644760,IDLE,62.7,52.2,0.0,0.0000,0.0000
8.60,2026-05-25T18:30:54.145778,IDLE,62.4,52.3,0.0,0.0000,0.0000
9.10,2026-05-25T18:30:54.643031,IDLE,64.1,52.3,0.0,0.0000,0.0000
9.60,2026-05-25T18:30:55.144789,IDLE,60.7,52.2,0.0,0.0000,0.0000
10.10,2026-05-25T18:30:55.649047,IDLE,64.5,52.2,0.0,0.0000,0.0000
10.60,2026-05-25T18:30:56.142914,IDLE,59.5,52.2,0.0,0.0000,0.0000
11.10,2026-05-25T18:30:56.644632,IDLE,59.7,52.3,0.0,0.0000,0.0000
11.60,2026-05-25T18:30:57.145658,IDLE,64.1,52.3,0.0,0.0000,0.0000
12.10,2026-05-25T18:30:57.644730,IDLE,55.7,52.2,0.0,0.0000,0.0000
12.60,2026-05-25T18:30:58.147775,IDLE,58.9,52.2,0.0,0.0000,0.0000
13.10,2026-05-25T18:30:58.644470,IDLE,57.5,52.3,0.0,0.0000,0.0000
13.60,2026-05-25T18:30:59.144075,IDLE,59.7,52.2,0.0,0.0000,0.0000
14.10,2026-05-25T18:30:59.645109,IDLE,58.6,52.2,0.0,0.0000,0.0000
14.60,2026-05-25T18:31:00.144641,IDLE,57.6,52.2,0.0,0.0000,0.0000
15.10,2026-05-25T18:31:00.645099,IDLE,58.8,52.2,0.0,0.0000,0.0000
15.60,2026-05-25T18:31:01.144500,IDLE,59.0,52.2,0.0,0.0000,0.0000
16.10,2026-05-25T18:31:01.644958,IDLE,58.4,52.2,0.0,0.0000,0.0000
16.60,2026-05-25T18:31:02.143454,IDLE,59.3,52.3,0.0,0.0000,0.0000
17.10,2026-05-25T18:31:02.644000,IDLE,58.5,52.2,0.0,0.0000,0.0000
17.60,2026-05-25T18:31:03.144796,IDLE,64.1,52.2,0.0,0.0000,0.0000
18.10,2026-05-25T18:31:03.644552,IDLE,59.0,52.2,0.0,0.0000,0.0000
18.60,2026-05-25T18:31:04.142976,IDLE,59.1,52.3,0.0,0.0000,0.0000
19.10,2026-05-25T18:31:04.645192,IDLE,59.6,52.2,0.0,0.0000,0.0000
19.60,2026-05-25T18:31:05.144345,IDLE,63.4,52.3,0.0,0.0000,0.0000
20.10,2026-05-25T18:31:05.643028,IDLE,56.8,52.2,0.0,0.0000,0.0000
20.60,2026-05-25T18:31:06.143225,IDLE,59.2,52.2,0.0,0.0000,0.0000
21.10,2026-05-25T18:31:06.644441,IDLE,58.2,52.2,0.0,0.0000,0.0000
21.60,2026-05-25T18:31:07.143117,IDLE,59.1,52.2,0.0,0.0000,0.0000
22.10,2026-05-25T18:31:07.645629,IDLE,56.7,52.2,0.0,0.0000,0.0000
22.60,2026-05-25T18:31:08.142994,IDLE,58.9,52.2,0.0,0.0000,0.0000
23.10,2026-05-25T18:31:08.643021,IDLE,58.6,52.2,0.0,0.0000,0.0000
23.60,2026-05-25T18:31:09.143864,IDLE,60.8,52.2,0.0,0.0000,0.0000
24.10,2026-05-25T18:31:09.643367,IDLE,57.4,52.2,0.0,0.0000,0.0000
