timestamp_iso,event_type,description,value
2026-05-26T14:16:58.024668,NODE_START,DockingSupervisor (RPP + Visual Servo) initialised,
2026-05-26T14:17:06.779967,GOAL_POSE,RViz zone goal received,"(0.26,-0.00)"
2026-05-26T14:17:06.785591,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T14:17:06.796369,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=0.666
2026-05-26T14:17:06.803476,GOAL_SENT,Visual homing nav goal sent,"standoff=(0.464,0.136)"
2026-05-26T14:17:06.812212,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T14:17:08.894238,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.599
2026-05-26T14:17:11.126128,BLIND_APPROACH,Handoff to dead-reckoning,marker_z=0.334 target=0.150
2026-05-26T14:17:11.928593,MISSION_SUCCESS,Blind approach: standoff reached,traveled=0.156 target=0.150
2026-05-26T14:18:13.586371,RESET,Mission reset — returned to IDLE,
2026-05-26T14:18:13.590075,GOAL_POSE,RViz zone goal received,"(-0.30,0.08)"
2026-05-26T14:18:13.602011,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=0.656
2026-05-26T14:18:13.604751,GOAL_SENT,Visual homing nav goal sent,"standoff=(0.574,-0.085)"
2026-05-26T14:18:13.613812,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T14:18:13.615307,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T14:18:13.998240,STATE_CHANGE,Transitioned to LOCAL_SEARCH,"origin=(0.16,0.14)"
2026-05-26T14:18:14.007159,GOAL_ACCEPTED,Spiral accepted,
2026-05-26T14:18:14.079570,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=0.657
2026-05-26T14:18:14.090272,GOAL_SENT,Visual homing nav goal sent,"standoff=(0.578,-0.084)"
2026-05-26T14:18:14.096381,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T14:18:14.114914,STATE_CHANGE,Transitioned to LOCAL_SEARCH,"origin=(0.16,0.14)"
2026-05-26T14:18:14.121150,GOAL_ACCEPTED,Spiral accepted,
2026-05-26T14:18:18.120654,GOAL_POSE,RViz zone goal received,"(-0.37,0.03)"
2026-05-26T14:18:18.132748,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T14:18:18.136222,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=0.656
2026-05-26T14:18:18.139214,GOAL_SENT,Visual homing nav goal sent,"standoff=(0.576,-0.087)"
2026-05-26T14:18:18.154344,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T14:18:18.173503,STATE_CHANGE,Transitioned to LOCAL_SEARCH,"origin=(0.17,0.14)"
2026-05-26T14:18:18.187172,GOAL_ACCEPTED,Spiral accepted,
2026-05-26T14:18:18.190568,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=0.657
2026-05-26T14:18:18.196021,GOAL_SENT,Visual homing nav goal sent,"standoff=(0.577,-0.088)"
2026-05-26T14:18:18.206289,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T14:18:18.219242,STATE_CHANGE,Transitioned to LOCAL_SEARCH,"origin=(0.17,0.14)"
2026-05-26T14:18:18.225948,GOAL_ACCEPTED,Spiral accepted,
