wall_time,elapsed_s,phase,cam_tag_x_m,cam_tag_z_m,cam_tag_dist_m,cam_marker_yaw_deg,robot_x,robot_y,robot_yaw_deg,tag_odom_x,tag_odom_y,dock_approach_yaw_deg,t_robot_m,lat_err_m,t_carrot_m,carrot_odom_x,carrot_odom_y,angle_to_carrot_deg,heading_err_deg,wz_proportional,wz_after_deadband,wz_commanded,vx_commanded,k_steer,friction_deadband,lookahead_dist,max_wz,v_linear,actual_vx,actual_wz
1779795875.7862,0.096,SERVO,0.1385,0.5658,0.5825,1.16,0.5292,-0.1820,-25.95,1.0833,-0.6040,-13.00,-0.6389,0.2864,-0.4889,0.6183,-0.4991,-48.37,-48.37,-1.3615,-1.3615,-1.3615,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,-0.0166
1779795875.8867,0.197,SERVO,0.1375,0.5574,0.5741,1.19,0.5428,-0.1886,-26.13,1.0835,-0.6047,-13.01,-0.6305,0.2849,-0.4805,0.6315,-0.5042,-48.18,-48.18,-1.3639,-1.3639,-1.3639,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779795875.9951,0.305,SERVO,0.1361,0.5476,0.5642,1.17,0.5570,-0.1956,-26.49,1.0924,-0.6133,-13.10,-0.6186,0.2868,-0.4686,0.6462,-0.5129,-47.82,-47.82,-1.3490,-1.3490,-1.3490,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779795876.0901,0.400,SERVO,0.1321,0.5194,0.5359,1.31,0.5730,-0.2038,-27.24,1.0864,-0.6166,-16.34,-0.6042,0.2498,-0.4542,0.6537,-0.4897,-47.00,-47.00,-1.4767,-1.4767,-1.4767,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779795876.1852,0.496,SERVO,0.1250,0.4996,0.5150,0.89,0.5883,-0.2121,-28.95,1.0752,-0.6243,-16.41,-0.5816,0.2571,-0.4316,0.6625,-0.5028,-46.73,-46.73,-1.4562,-1.4562,-1.4562,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779795876.2880,0.598,SERVO,0.1196,0.4905,0.5049,0.98,0.6036,-0.2213,-31.66,1.0657,-0.6376,-17.61,-0.5704,0.2576,-0.4204,0.6679,-0.5149,-45.98,-45.98,-1.4355,-1.4355,-1.4355,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779795876.3876,0.698,SERVO,0.1076,0.4721,0.4842,1.06,0.6182,-0.2308,-34.18,1.0539,-0.6467,-17.43,-0.5438,0.2671,-0.3938,0.6797,-0.5330,-44.34,-44.34,-1.3596,-1.3596,-1.3596,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779795876.4866,0.797,SERVO,0.1076,0.4721,0.4842,1.06,0.6312,-0.2403,-37.39,1.0539,-0.6467,-17.43,-0.5438,0.2671,-0.3938,0.6756,-0.5455,-44.34,-44.34,-1.3596,-1.3596,-1.3596,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779795876.5931,0.903,SERVO,0.0977,0.4620,0.4723,1.12,0.6431,-0.2499,-40.62,1.0299,-0.6965,-22.14,-0.5304,0.2688,-0.3804,0.6771,-0.5576,-43.09,-43.09,-1.3242,-1.3242,-1.3242,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779795876.6883,0.999,SERVO,0.0977,0.4620,0.4723,1.12,0.6562,-0.2620,-44.70,1.0299,-0.6965,-22.14,-0.5304,0.2688,-0.3804,0.6682,-0.5713,-43.09,-43.09,-1.3242,-1.3242,-1.3242,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779795876.7873,1.097,SERVO,0.0977,0.4620,0.4723,1.12,0.6681,-0.2742,-48.06,1.0299,-0.6965,-22.14,-0.5304,0.2688,-0.3804,0.6619,-0.5837,-43.09,-43.09,-1.3242,-1.3242,-1.3242,0.2000,1.500,0.000,0.150,3.500,0.200,0.2000,-1.3242
1779795876.8874,1.198,SERVO,0.0977,0.4620,0.4723,1.12,0.6808,-0.2893,-52.22,1.0299,-0.6965,-22.14,-0.5304,0.2688,-0.3804,0.6521,-0.5975,-43.09,-43.09,-1.3242,-1.3242,-1.3242,0.2000,1.500,0.000,0.150,3.500,0.200,0.2000,-1.3242
1779795876.9882,1.298,SERVO,0.0977,0.4620,0.4723,1.12,0.6917,-0.3039,-55.39,1.0299,-0.6965,-22.14,-0.5304,0.2688,-0.3804,0.6461,-0.6100,-43.09,-43.09,-1.3242,-1.3242,-1.3242,0.2000,1.500,0.000,0.150,3.500,0.200,0.2000,-1.3242
1779795877.1876,1.498,BLIND,0.0977,0.4620,0.4723,1.12,0.7107,-0.3356,-63.17,1.0299,-0.6965,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.2000,1.500,0.000,0.150,3.500,0.200,0.2000,0.0000
1779795877.2850,1.595,BLIND,0.0977,0.4620,0.4723,1.12,0.7185,-0.3519,-66.99,1.0299,-0.6965,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.2000,1.500,0.000,0.150,3.500,0.200,0.2000,0.0000
1779795877.3850,1.695,BLIND,0.0977,0.4620,0.4723,1.12,0.7261,-0.3698,-69.29,1.0299,-0.6965,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.2000,1.500,0.000,0.150,3.500,0.200,0.2000,0.0000
1779795877.4854,1.795,BLIND,0.0977,0.4620,0.4723,1.12,0.7334,-0.3890,-70.90,1.0299,-0.6965,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.2000,1.500,0.000,0.150,3.500,0.200,0.2000,0.0000
1779795877.5861,1.895,BLIND,0.0977,0.4620,0.4723,1.12,0.7404,-0.4086,-71.74,1.0299,-0.6965,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.2000,1.500,0.000,0.150,3.500,0.200,0.2000,0.0000
1779795877.6859,1.995,BLIND,0.0977,0.4620,0.4723,1.12,0.7463,-0.4273,-72.90,1.0299,-0.6965,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.2000,1.500,0.000,0.150,3.500,0.200,0.2000,0.0000
1779795877.7848,2.094,BLIND,0.0977,0.4620,0.4723,1.12,0.7524,-0.4469,-73.51,1.0299,-0.6965,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.2000,1.500,0.000,0.150,3.500,0.200,0.2000,0.0000
1779795877.8849,2.195,BLIND,0.0977,0.4620,0.4723,1.12,0.7580,-0.4659,-74.14,1.0299,-0.6965,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.2000,1.500,0.000,0.150,3.500,0.200,0.2000,0.0000
