wall_time,elapsed_s,phase,cam_tag_x_m,cam_tag_z_m,cam_tag_dist_m,cam_marker_yaw_deg,robot_x,robot_y,robot_yaw_deg,tag_odom_x,tag_odom_y,dock_approach_yaw_deg,t_robot_m,lat_err_m,t_carrot_m,carrot_odom_x,carrot_odom_y,angle_to_carrot_deg,heading_err_deg,wz_proportional,wz_after_deadband,wz_commanded,vx_commanded,k_steer,friction_deadband,lookahead_dist,max_wz,v_linear,actual_vx,actual_wz
1779797459.1225,0.046,SERVO,-0.2211,0.5425,0.5859,1.26,0.1437,0.0024,-19.91,0.8476,-0.0174,22.84,-0.6410,0.2914,-0.4910,0.3950,-0.2080,-39.93,-20.02,-0.6265,-0.6265,-0.6265,0.2000,1.500,0.000,0.150,3.500,0.200,0.2937,0.1000
1779797459.2212,0.144,SERVO,-0.2150,0.5276,0.5697,1.24,0.1673,-0.0056,-18.33,0.8476,-0.0174,22.84,-0.6224,0.2749,-0.4724,0.4122,-0.2007,-38.54,-20.21,-0.6619,-0.6619,-0.6619,0.2000,1.500,0.000,0.150,3.500,0.200,0.0437,0.0149
1779797459.3204,0.243,SERVO,-0.2081,0.5116,0.5523,1.35,0.1908,-0.0132,-17.16,0.8476,-0.0174,22.84,-0.6037,0.2587,-0.4537,0.4295,-0.1935,-37.06,-19.90,-0.6830,-0.6830,-0.6830,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779797459.4210,0.344,SERVO,-0.2010,0.4941,0.5334,1.39,0.2144,-0.0206,-16.53,0.8476,-0.0174,22.84,-0.5848,0.2428,-0.4348,0.4468,-0.1861,-35.46,-18.92,-0.6818,-0.6818,-0.6818,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779797459.5199,0.443,SERVO,-0.1947,0.4764,0.5146,1.38,0.2341,-0.0264,-16.02,0.8476,-0.0174,22.84,-0.5688,0.2298,-0.4188,0.4616,-0.1799,-34.03,-18.00,-0.6758,-0.6758,-0.6758,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779797459.6209,0.544,SERVO,-0.1922,0.4669,0.5050,1.03,0.2544,-0.0323,-15.96,0.8476,-0.0174,22.84,-0.5525,0.2165,-0.4025,0.4767,-0.1736,-32.44,-16.48,-0.6462,-0.6462,-0.6462,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779797459.7211,0.644,SERVO,-0.1887,0.4479,0.4861,1.05,0.2761,-0.0388,-16.57,0.8476,-0.0174,22.84,-0.5350,0.2021,-0.3850,0.4927,-0.1668,-30.58,-14.01,-0.5772,-0.5772,-0.5772,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779797459.8242,0.746,SERVO,-0.1871,0.4379,0.4762,1.07,0.2969,-0.0451,-17.01,0.8476,-0.0174,22.84,-0.5183,0.1882,-0.3683,0.5082,-0.1603,-28.61,-11.60,-0.5013,-0.5013,-0.5013,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779797459.9293,0.852,SERVO,-0.1868,0.4261,0.4652,1.12,0.3164,-0.0511,-17.45,0.8476,-0.0174,22.84,-0.5026,0.1751,-0.3526,0.5226,-0.1542,-26.57,-9.12,-0.4124,-0.4124,-0.4124,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779797460.0206,0.944,SERVO,-0.1863,0.4139,0.4540,1.12,0.3336,-0.0565,-17.77,0.8476,-0.0174,22.84,-0.4889,0.1634,-0.3389,0.5352,-0.1489,-24.61,-6.84,-0.3221,-0.3221,-0.3221,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779797460.1212,1.044,SERVO,-0.1863,0.4139,0.4540,1.12,0.3436,-0.0597,-18.11,0.8476,-0.0174,22.84,-0.4809,0.1566,-0.3309,0.5426,-0.1458,-23.39,-5.28,-0.2546,-0.2546,-0.2546,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
