timestamp_iso,event_type,description,value
2026-05-25T16:58:40.626382,MISSION_SUCCESS,Final Combined Error,0.143878
2026-05-25T17:00:51.910298,RESET,Mission reset triggered by service call,
2026-05-25T17:00:51.911765,STATE_CHANGE,Transitioned to IDLE,via reset
2026-05-25T17:01:05.390903,GOAL_POSE,RViz zone goal received,"(1.71,0.11)"
2026-05-25T17:01:05.396791,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
2026-05-25T17:01:08.578437,STATE_CHANGE,Transitioned to LOCAL_SEARCH,zone goal reached with no tag detection
2026-05-25T17:01:08.586725,STATE_CHANGE,Transitioned to LOCAL_SEARCH,"origin=(1.99,0.42) waypoints=16"
2026-05-25T17:01:08.592586,GOAL_ACCEPTED,Spiral NavigateThroughPoses goal accepted,
2026-05-25T17:02:02.285577,STATE_CHANGE,Transitioned to IDLE,spiral_status=6
2026-05-25T17:06:35.445879,RESET,Mission reset triggered by service call,
2026-05-25T17:06:35.446781,STATE_CHANGE,Transitioned to IDLE,via reset
2026-05-25T17:06:41.472663,GOAL_POSE,RViz zone goal received,"(1.69,0.58)"
2026-05-25T17:06:41.488507,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
2026-05-25T17:06:42.191181,STATE_CHANGE,Transitioned to LOCAL_SEARCH,zone goal reached with no tag detection
2026-05-25T17:06:42.193484,STATE_CHANGE,Transitioned to LOCAL_SEARCH,"origin=(1.68,0.63) waypoints=16"
2026-05-25T17:06:42.197397,GOAL_ACCEPTED,Spiral NavigateThroughPoses goal accepted,
2026-05-25T17:06:42.217735,STATE_CHANGE,Transitioned to BUFFERING_ROUGH,tag detected during LOCAL_SEARCH
2026-05-25T17:06:42.986456,STATE_CHANGE,Transitioned to NAV_TO_STAGING,"goal=(2.338,2.358) yaw=-175.0deg"
2026-05-25T17:06:42.994065,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
2026-05-25T17:14:23.666524,RESET,Mission reset triggered by service call,
2026-05-25T17:14:23.667652,STATE_CHANGE,Transitioned to IDLE,via reset
2026-05-25T17:19:29.703659,NODE_START,DockingSupervisor initialised,
2026-05-25T17:20:25.549216,GOAL_POSE,RViz zone goal received,"(2.23,0.96)"
2026-05-25T17:20:25.558064,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
2026-05-25T17:20:30.216370,STATE_CHANGE,Transitioned to BUFFERING_ROUGH,
2026-05-25T17:20:31.429415,STATE_CHANGE,Transitioned to NAV_TO_STAGING,"goal=(0.699,-0.270) yaw=21.2deg"
2026-05-25T17:20:31.445355,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
2026-05-25T17:20:42.869512,STATE_CHANGE,Transitioned to BUFFERING_PRECISION,marker3_dist=0.754
2026-05-25T17:20:43.676002,STATE_CHANGE,Transitioned to NAV_TO_DOCK,"goal=(1.087,-0.050) yaw=5.9deg"
2026-05-25T17:20:49.771717,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
2026-05-25T17:20:56.152296,MISSION_SUCCESS,Final Combined Error,0.146387
2026-05-25T17:21:09.569143,RESET,Mission reset triggered by service call,
2026-05-25T17:21:09.577031,STATE_CHANGE,Transitioned to IDLE,via reset
2026-05-25T17:21:34.049227,GOAL_POSE,RViz zone goal received,"(1.86,1.33)"
2026-05-25T17:21:34.053078,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
2026-05-25T17:21:45.634034,STATE_CHANGE,Transitioned to BUFFERING_ROUGH,
2026-05-25T17:21:48.718556,STATE_CHANGE,Transitioned to NAV_TO_STAGING,"goal=(1.248,-0.662) yaw=32.0deg"
2026-05-25T17:21:48.725802,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
2026-05-25T17:21:58.549308,STATE_CHANGE,Transitioned to BUFFERING_PRECISION,marker3_dist=0.413
2026-05-25T17:21:59.029448,STATE_CHANGE,Transitioned to NAV_TO_DOCK,"goal=(1.579,-0.496) yaw=4.0deg"
2026-05-25T17:22:05.116112,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
2026-05-25T17:22:07.613542,SAFETY_ABORT,"Goal overshoot detected inside danger zone. Min dist: 0.006, Current: 0.027",
2026-05-25T17:24:34.696972,RESET,Mission reset triggered by service call,
2026-05-25T17:24:34.703000,STATE_CHANGE,Transitioned to IDLE,via reset
2026-05-25T17:25:07.867490,GOAL_POSE,RViz zone goal received,"(1.55,1.42)"
2026-05-25T17:25:07.878061,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
2026-05-25T17:25:13.589564,STATE_CHANGE,Transitioned to BUFFERING_ROUGH,
2026-05-25T17:25:14.546900,STATE_CHANGE,Transitioned to NAV_TO_STAGING,"goal=(1.257,-0.588) yaw=16.5deg"
2026-05-25T17:25:14.558192,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
2026-05-25T17:25:26.253774,STATE_CHANGE,Transitioned to BUFFERING_PRECISION,marker3_dist=0.545
2026-05-25T17:25:26.923071,STATE_CHANGE,Transitioned to NAV_TO_DOCK,"goal=(1.725,-0.393) yaw=-0.5deg"
2026-05-25T17:25:33.014213,GOAL_ACCEPTED,Nav2 goal accepted and tracking started,
2026-05-25T17:25:39.140029,SAFETY_ABORT,"Goal overshoot detected inside danger zone. Min dist: 0.006, Current: 0.027",
