timestamp_iso,event_type,description,value
2026-05-25T23:43:04.726748,NODE_START,DockingSupervisor (RPP + Visual Servo) initialised,
2026-05-25T23:43:54.445231,GOAL_POSE,RViz zone goal received,"(1.17,0.17)"
2026-05-25T23:43:54.450497,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T23:43:54.475301,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=1.203
2026-05-25T23:43:54.483437,GOAL_SENT,Visual homing nav goal sent,"standoff=(1.062,1.022)"
2026-05-25T23:43:54.493612,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T23:44:00.477281,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.847
2026-05-25T23:44:09.731328,SAFETY_ABORT,Visual servo: marker lost >2 s,
