wall_time,elapsed_s,phase,cam_tag_x_m,cam_tag_z_m,cam_tag_dist_m,cam_marker_yaw_deg,robot_x,robot_y,robot_yaw_deg,tag_odom_x,tag_odom_y,dock_approach_yaw_deg,t_robot_m,lat_err_m,t_carrot_m,carrot_odom_x,carrot_odom_y,angle_to_carrot_deg,heading_err_deg,wz_proportional,wz_after_deadband,wz_commanded,vx_commanded,k_steer,friction_deadband,lookahead_dist,max_wz,v_linear,actual_vx,actual_wz
1779768372.3252,0.047,SERVO,0.2852,0.6264,0.6882,1.50,0.6834,0.6824,5.11,1.4572,0.4637,-2.33,-0.7820,0.1870,0.2000,1.6570,0.4556,-13.11,-18.22,-0.2502,-0.2502,-0.2502,0.2000,2.000,0.000,0.150,3.500,0.200,0.0000,0.0000
1779768372.4233,0.145,SERVO,0.2848,0.6254,0.6872,1.33,0.6835,0.6824,5.04,1.4565,0.4649,-2.33,-0.7813,0.1858,0.2000,1.6564,0.4567,-13.06,-18.10,-0.2488,-0.2488,-0.2488,0.2000,2.000,0.000,0.150,3.500,0.200,0.2000,-0.2502
1779768372.5262,0.248,SERVO,0.2848,0.6254,0.6872,1.33,0.6864,0.6826,5.10,1.4565,0.4649,-2.33,-0.7784,0.1862,0.2000,1.6564,0.4567,-13.11,-18.21,-0.2510,-0.2510,-0.2510,0.2000,2.000,0.000,0.150,3.500,0.200,0.2000,-0.2488
1779768372.6248,0.347,SERVO,0.2848,0.6254,0.6872,1.33,0.6976,0.6836,4.98,1.4565,0.4649,-2.33,-0.7673,0.1877,0.2000,1.6564,0.4567,-13.31,-18.29,-0.2548,-0.2548,-0.2548,0.2000,2.000,0.000,0.150,3.500,0.200,0.2000,-0.2510
1779768372.7245,0.447,SERVO,0.2821,0.6188,0.6801,1.21,0.7167,0.6852,4.55,1.4816,0.4631,-2.33,-0.7733,0.1908,0.2000,1.6814,0.4549,-13.43,-17.97,-0.2489,-0.2489,-0.2489,0.2000,2.000,0.000,0.150,3.500,0.200,0.2000,-0.2548
1779768372.8246,0.547,SERVO,0.2811,0.6150,0.6762,0.90,0.7375,0.6868,4.32,1.4976,0.4624,-2.33,-0.7686,0.1933,0.2000,1.6974,0.4542,-13.62,-17.94,-0.2495,-0.2495,-0.2495,0.2000,2.000,0.000,0.150,3.500,0.200,0.2000,-0.2489
1779768372.9247,0.647,SERVO,0.2811,0.6150,0.6762,0.90,0.7570,0.6882,3.80,1.4976,0.4624,-2.33,-0.7492,0.1955,0.2000,1.6974,0.4542,-13.97,-17.77,-0.2520,-0.2520,-0.2520,0.2000,2.000,0.000,0.150,3.500,0.200,0.2000,-0.2495
1779768373.0281,0.750,SERVO,0.2783,0.6063,0.6671,0.52,0.7748,0.6893,3.28,1.5178,0.4559,-2.33,-0.7519,0.2029,0.2000,1.7176,0.4478,-14.37,-17.65,-0.2492,-0.2492,-0.2492,0.2000,2.000,0.000,0.150,3.500,0.200,0.2000,-0.2520
1779768373.1224,0.844,SERVO,0.2771,0.6026,0.6632,0.49,0.7930,0.6901,2.37,1.5324,0.4435,-2.33,-0.7488,0.2163,0.2000,1.7322,0.4353,-15.18,-17.55,-0.2479,-0.2479,-0.2479,0.2000,2.000,0.000,0.150,3.500,0.200,0.2000,-0.2492
1779768373.2218,0.944,SERVO,0.2735,0.5932,0.6532,0.27,0.8127,0.6910,2.12,1.5356,0.4458,-2.33,-0.7322,0.2156,0.2000,1.7354,0.4377,-15.35,-17.47,-0.2510,-0.2510,-0.2510,0.2000,2.000,0.000,0.150,3.500,0.200,0.2000,-0.2479
