timestamp_iso,event_type,description,value
2026-05-25T22:21:45.835168,NODE_START,DockingSupervisor (RPP + Visual Servo) initialised,
2026-05-25T22:22:27.470372,GOAL_POSE,RViz zone goal received,"(1.53,0.32)"
2026-05-25T22:22:27.475406,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T22:22:30.963921,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=1.051
2026-05-25T22:22:30.979751,GOAL_SENT,Visual homing nav goal sent,"standoff=(1.636,0.575)"
2026-05-25T22:22:30.989850,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T22:22:32.655094,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.848
2026-05-25T22:22:43.435838,SAFETY_ABORT,Visual servo: marker lost >2 s,
2026-05-25T22:23:18.862792,RESET,Mission reset triggered by service call,
2026-05-25T22:23:18.864884,STATE_CHANGE,Transitioned to IDLE,via reset
2026-05-25T22:23:31.046087,GOAL_POSE,RViz zone goal received,"(1.47,0.50)"
2026-05-25T22:23:31.054111,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T22:23:43.315346,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.824
2026-05-25T22:24:00.641158,SAFETY_ABORT,Visual servo: marker lost >2 s,
2026-05-25T22:25:41.775596,RESET,Mission reset — returned to IDLE,
2026-05-25T22:25:41.786106,GOAL_POSE,RViz zone goal received,"(1.63,0.66)"
2026-05-25T22:25:41.791332,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T22:25:51.710628,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.848
2026-05-25T22:25:57.038476,SAFETY_ABORT,Visual servo: marker lost >2 s,
2026-05-25T22:26:43.259258,RESET,Mission reset triggered by service call,
2026-05-25T22:26:43.259967,STATE_CHANGE,Transitioned to IDLE,via reset
2026-05-25T22:27:33.725855,GOAL_POSE,RViz zone goal received,"(1.65,1.30)"
2026-05-25T22:27:33.730777,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T22:27:36.084619,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.805
2026-05-25T22:27:41.935380,SAFETY_ABORT,Visual servo: marker lost >2 s,
2026-05-25T22:30:04.527385,RESET,Mission reset — returned to IDLE,
2026-05-25T22:30:04.530165,GOAL_POSE,RViz zone goal received,"(1.96,1.63)"
2026-05-25T22:30:04.538665,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T22:30:04.769563,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=1.168
2026-05-25T22:30:04.771676,GOAL_SENT,Visual homing nav goal sent,"standoff=(1.676,1.205)"
2026-05-25T22:30:04.788100,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T22:30:07.142765,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.842
2026-05-25T22:30:12.436070,SAFETY_ABORT,Visual servo: marker lost >2 s,
2026-05-25T22:31:09.171166,RESET,Mission reset — returned to IDLE,
2026-05-25T22:31:09.173669,GOAL_POSE,RViz zone goal received,"(1.91,1.80)"
2026-05-25T22:31:09.188548,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T22:31:26.330736,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.707
2026-05-25T22:31:31.938227,SAFETY_ABORT,Visual servo: marker lost >2 s,
2026-05-25T22:33:21.097047,RESET,Mission reset — returned to IDLE,
2026-05-25T22:33:21.099367,GOAL_POSE,RViz zone goal received,"(2.58,1.71)"
2026-05-25T22:33:21.107250,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T22:33:21.124917,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=1.015
2026-05-25T22:33:21.136827,GOAL_SENT,Visual homing nav goal sent,"standoff=(2.232,1.728)"
2026-05-25T22:33:21.150057,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T22:33:23.010196,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.845
2026-05-25T22:33:26.537611,BLIND_APPROACH,Handoff to dead-reckoning,marker_z=0.341 target=0.291
2026-05-25T22:33:29.141063,MISSION_SUCCESS,Blind approach: standoff reached,traveled=0.296 target=0.291
2026-05-25T22:39:25.934580,RESET,Mission reset — returned to IDLE,
2026-05-25T22:39:25.958603,GOAL_POSE,RViz zone goal received,"(2.49,1.30)"
2026-05-25T22:39:25.964409,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T22:39:26.005529,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.803
2026-05-25T22:39:30.737433,SAFETY_ABORT,Visual servo: marker lost >2 s,
2026-05-25T22:39:54.082369,RESET,Mission reset — returned to IDLE,
2026-05-25T22:39:54.084931,GOAL_POSE,RViz zone goal received,"(2.13,0.96)"
2026-05-25T22:39:54.096782,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T22:39:54.106756,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=1.020
2026-05-25T22:39:54.109736,GOAL_SENT,Visual homing nav goal sent,"standoff=(2.545,1.097)"
2026-05-25T22:39:54.119579,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T22:39:55.870443,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.846
2026-05-25T22:39:59.035676,BLIND_APPROACH,Handoff to dead-reckoning,marker_z=0.449 target=0.349
2026-05-25T22:40:01.237844,MISSION_SUCCESS,Blind approach: standoff reached,traveled=0.349 target=0.349
2026-05-25T22:41:07.689016,RESET,Mission reset — returned to IDLE,
2026-05-25T22:41:07.691430,GOAL_POSE,RViz zone goal received,"(1.73,1.13)"
2026-05-25T22:41:07.697901,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T22:41:07.773024,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=1.051
2026-05-25T22:41:07.780144,GOAL_SENT,Visual homing nav goal sent,"standoff=(2.434,0.991)"
2026-05-25T22:41:07.791278,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T22:41:09.697695,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.844
2026-05-25T22:41:12.735203,BLIND_APPROACH,Handoff to dead-reckoning,marker_z=0.439 target=0.339
2026-05-25T22:41:14.539945,MISSION_SUCCESS,Blind approach: standoff reached,traveled=0.347 target=0.339
2026-05-25T22:41:42.541809,RESET,Mission reset — returned to IDLE,
2026-05-25T22:41:42.546224,GOAL_POSE,RViz zone goal received,"(1.87,1.35)"
2026-05-25T22:41:42.559169,STATE_CHANGE,Transitioned to VISUAL_HOMING,marker3_dist=0.979
2026-05-25T22:41:42.566820,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T22:41:42.569465,GOAL_SENT,Visual homing nav goal sent,"standoff=(2.417,0.969)"
2026-05-25T22:41:42.580699,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-25T22:41:44.192327,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.838
2026-05-25T22:41:47.135116,BLIND_APPROACH,Handoff to dead-reckoning,marker_z=0.432 target=0.282
2026-05-25T22:41:48.939936,MISSION_SUCCESS,Blind approach: standoff reached,traveled=0.294 target=0.282
