wall_time,elapsed_s,phase,cam_tag_x_m,cam_tag_z_m,cam_tag_dist_m,cam_marker_yaw_deg,robot_x,robot_y,robot_yaw_deg,tag_odom_x,tag_odom_y,dock_approach_yaw_deg,t_robot_m,lat_err_m,t_carrot_m,carrot_odom_x,carrot_odom_y,angle_to_carrot_deg,heading_err_deg,wz_proportional,wz_after_deadband,wz_commanded,vx_commanded,k_steer,friction_deadband,lookahead_dist,max_wz,v_linear,actual_vx,actual_wz
1779807963.9730,0.065,SERVO,-0.1414,0.5642,0.5816,0.46,0.2034,0.0118,14.00,0.8388,0.3160,25.58,-0.7045,0.0000,-0.5545,0.3387,0.0766,25.58,11.58,0.8031,0.8031,0.8031,0.2000,1.500,0.000,0.150,3.500,0.200,0.1251,0.4135
1779807964.0669,0.159,SERVO,-0.1414,0.5642,0.5816,0.46,0.2165,0.0153,15.54,0.8388,0.3160,25.58,-0.6911,-0.0026,-0.5411,0.3507,0.0823,26.56,11.02,0.7645,0.7645,0.7645,0.2000,1.500,0.000,0.150,3.500,0.200,0.0585,0.1935
1779807964.1620,0.254,SERVO,-0.1111,0.5422,0.5535,0.28,0.2305,0.0192,16.76,0.8388,0.3160,25.58,-0.6768,-0.0050,-0.5268,0.3637,0.0885,27.50,10.74,0.7449,0.7449,0.7449,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779807964.2571,0.349,SERVO,-0.0929,0.5284,0.5365,0.02,0.2478,0.0246,18.20,0.8388,0.3160,25.58,-0.6589,-0.0076,-0.5089,0.3798,0.0963,28.50,10.30,0.7144,0.7144,0.7144,0.2000,1.500,0.000,0.150,3.500,0.200,0.2000,0.7449
1779807964.3654,0.457,SERVO,-0.0929,0.5284,0.5365,0.02,0.2659,0.0308,19.78,0.8388,0.3160,25.58,-0.6399,-0.0099,-0.4899,0.3970,0.1045,29.36,9.57,0.6638,0.6638,0.6638,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779807964.4711,0.560,SERVO,-0.0728,0.5103,0.5155,0.08,0.2851,0.0381,21.96,0.8388,0.3160,25.58,-0.6194,-0.0116,-0.4694,0.4154,0.1133,30.00,8.04,0.5576,0.5576,0.5576,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779807964.5690,0.661,SERVO,-0.0516,0.4930,0.4957,-0.31,0.3048,0.0462,23.50,0.8388,0.3160,25.58,-0.5982,-0.0128,-0.4482,0.4346,0.1225,30.45,6.95,0.4823,0.4823,0.4823,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779807964.6626,0.755,SERVO,-0.0516,0.4930,0.4957,-0.31,0.3227,0.0544,25.47,0.8388,0.3160,25.58,-0.5785,-0.0131,-0.4285,0.4523,0.1310,30.57,5.10,0.3542,0.3542,0.3542,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779807964.7647,0.857,SERVO,-0.0516,0.4930,0.4957,-0.31,0.3394,0.0627,27.46,0.8388,0.3160,25.58,-0.5599,-0.0128,-0.4099,0.4691,0.1390,30.46,3.00,0.2085,0.2085,0.2085,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
1779807964.8622,0.954,SERVO,-0.0375,0.4774,0.4788,-0.09,0.3557,0.0715,29.30,0.8388,0.3160,25.58,-0.5414,-0.0119,-0.3914,0.4858,0.1470,30.14,0.84,0.0584,0.0000,0.0000,0.2000,1.500,0.000,0.150,3.500,0.200,0.0000,0.0000
