timestamp_iso,event_type,description,value
2026-05-26T04:52:38.382068,NODE_START,DockingSupervisor (RPP + Visual Servo) initialised,
2026-05-26T04:53:13.992157,GOAL_POSE,RViz zone goal received,"(0.33,-0.01)"
2026-05-26T04:53:13.999943,GOAL_ACCEPTED,Nav2 goal accepted,
2026-05-26T04:53:14.019769,STATE_CHANGE,Transitioned to VISUAL_SERVO_DOCK,marker3_dist=0.756
2026-05-26T04:53:17.184542,BLIND_APPROACH,Tag lost at close range — blind handoff,last_z=0.420 est_z=0.302 tag_age=0.59
2026-05-26T04:53:17.785409,MISSION_SUCCESS,Blind approach: standoff reached,traveled=0.115 target=0.102
